Name: GPe [GABA], Title: Raster plot from device '95233', Hist: False
111.7 :    2 : [34416, 34450]
114.3 :    1 : [34450]
114.4 :    1 : [34416]
116.4 :    1 : [34450]
116.6 :    1 : [34416]
118.6 :    1 : [34450]
118.9 :    1 : [34416]
120.7 :    1 : [34450]
121.4 :    1 : [34416]
122.8 :    1 : [34450]
123.8 :    1 : [34416]
124.9 :    1 : [34450]
125.9 :    1 : [34416]
127.0 :    1 : [34450]
128.0 :    1 : [34416]
129.1 :    1 : [34450]
130.5 :    1 : [34416]
131.2 :    1 : [34450]
132.6 :    1 : [34416]
133.3 :    1 : [34450]
134.7 :    1 : [34416]
135.4 :    1 : [34450]
136.8 :    1 : [34416]
137.5 :    1 : [34450]
138.9 :    1 : [34416]
139.6 :    1 : [34450]
141.0 :    1 : [34416]
141.7 :    1 : [34450]
143.8 :    1 : [34416]
144.3 :    1 : [34450]
146.2 :    1 : [34416]
146.7 :    1 : [34450]
148.8 :    1 : [34416]
149.3 :    1 : [34450]
151.7 :    1 : [34416]
152.2 :    1 : [34450]
154.9 :    1 : [34416]
155.4 :    1 : [34450]
157.0 :    1 : [34416]
157.5 :    1 : [34450]
160.5 :    1 : [34416]
161.0 :    1 : [34450]
162.7 :    1 : [34416]
163.2 :    1 : [34450]
164.9 :    1 : [34416]
165.4 :    1 : [34450]
167.5 :    1 : [34416]
168.0 :    1 : [34450]
170.5 :    1 : [34416]
171.0 :    1 : [34450]
