Name: Raphe nuclei [dr], Title: Raster plot from device '95199', Hist: False
110.7 :    1 : [8502]
110.8 :    2 : [8462, 8549]
111.0 :    2 : [8455, 8486]
111.2 :    2 : [8505, 8540]
111.3 :    1 : [8489]
111.4 :    3 : [8480, 8529, 8534]
111.5 :    2 : [8476, 8539]
111.6 :    2 : [8463, 8528]
111.7 :    2 : [8466, 8543]
111.8 :    3 : [8457, 8510, 8533]
111.9 :    1 : [8498]
112.0 :    3 : [8485, 8492, 8512]
112.1 :    3 : [8453, 8506, 8537]
112.2 :    2 : [8461, 8472]
112.5 :    1 : [8465]
112.6 :    2 : [8515, 8535]
113.0 :    2 : [8511, 8538]
113.1 :    1 : [8458]
113.2 :    1 : [8509]
113.3 :    2 : [8502, 8548]
113.4 :    1 : [8455]
113.6 :    1 : [8540]
113.7 :    3 : [8460, 8462, 8544]
113.8 :    1 : [8505]
113.9 :    5 : [8454, 8484, 8486, 8489, 8541]
114.0 :    1 : [8543]
114.1 :    2 : [8456, 8466]
114.2 :    3 : [8480, 8514, 8532]
114.3 :    3 : [8498, 8512, 8533]
114.4 :    5 : [8457, 8463, 8476, 8528, 8546]
114.5 :    4 : [8483, 8510, 8534, 8537]
114.6 :    3 : [8453, 8485, 8506]
114.7 :    5 : [8492, 8501, 8529, 8539, 8549]
114.8 :   28 : [8450, 8452, 8459, 8461, 8467, 8468, 8469, 8471, 8472, 8473, 8475, 8477, 8481, 8488, 8494, 8495, 8499, 8503, 8513, 8516, 8518, 8519, 8523, 8525, 8526, 8527, 8531, 8536]
114.9 :   25 : [8451, 8464, 8465, 8474, 8478, 8479, 8482, 8487, 8490, 8491, 8493, 8496, 8497, 8500, 8504, 8507, 8508, 8517, 8521, 8522, 8524, 8530, 8535, 8542, 8547]
115.0 :    4 : [8470, 8515, 8520, 8545]
115.2 :    1 : [8511]
115.3 :    1 : [8538]
115.4 :    2 : [8458, 8502]
115.6 :    3 : [8455, 8509, 8548]
115.8 :    1 : [8540]
115.9 :    3 : [8462, 8505, 8544]
116.1 :    4 : [8454, 8460, 8486, 8541]
116.2 :    1 : [8489]
116.3 :    3 : [8466, 8484, 8543]
116.4 :    1 : [8498]
116.5 :    5 : [8476, 8480, 8512, 8532, 8533]
116.6 :    4 : [8456, 8463, 8510, 8537]
116.7 :    1 : [8514]
116.8 :    5 : [8457, 8483, 8485, 8528, 8534]
116.9 :    2 : [8492, 8546]
117.0 :    6 : [8453, 8461, 8478, 8506, 8535, 8539]
117.1 :    7 : [8469, 8472, 8501, 8503, 8515, 8523, 8529]
117.2 :   13 : [8452, 8465, 8468, 8471, 8488, 8495, 8499, 8513, 8525, 8527, 8530, 8536, 8549]
117.3 :   29 : [8450, 8451, 8459, 8467, 8473, 8474, 8475, 8477, 8479, 8481, 8487, 8490, 8491, 8494, 8496, 8497, 8500, 8504, 8507, 8508, 8511, 8516, 8518, 8519, 8522, 8524, 8526, 8531, 8542]
117.4 :    9 : [8464, 8470, 8482, 8493, 8517, 8520, 8521, 8545, 8547]
117.6 :    3 : [8458, 8502, 8538]
117.7 :    3 : [8455, 8509, 8548]
117.9 :    1 : [8540]
118.0 :    3 : [8462, 8505, 8544]
118.2 :    3 : [8454, 8486, 8541]
118.3 :    1 : [8460]
118.4 :    4 : [8466, 8484, 8489, 8543]
118.5 :    1 : [8498]
118.6 :    5 : [8476, 8480, 8512, 8532, 8533]
118.7 :    4 : [8456, 8463, 8510, 8537]
118.9 :    5 : [8483, 8485, 8514, 8528, 8534]
119.0 :    1 : [8492]
119.1 :    6 : [8453, 8457, 8478, 8535, 8539, 8546]
119.2 :    6 : [8461, 8469, 8472, 8503, 8506, 8529]
119.3 :    4 : [8471, 8513, 8515, 8523]
