Name: SNc [DA], Title: Raster plot from device '95191', Hist: False
110.6 :    2 : [5909, 5960]
110.7 :    1 : [5952]
110.8 :    2 : [5882, 5899]
110.9 :    1 : [5931]
111.0 :    2 : [5875, 5959]
111.1 :    2 : [5879, 5938]
111.3 :    1 : [5885]
111.4 :    4 : [5863, 5886, 5906, 5946]
111.5 :    2 : [5878, 5939]
111.6 :    2 : [5894, 5930]
111.7 :    2 : [5868, 5949]
111.9 :    1 : [5927]
112.2 :    1 : [5955]
112.3 :    2 : [5900, 5948]
112.4 :    2 : [5867, 5884]
112.5 :    1 : [5958]
112.9 :    3 : [5909, 5952, 5960]
113.0 :    2 : [5872, 5931]
113.1 :    3 : [5882, 5933, 5959]
113.3 :    3 : [5908, 5953, 5957]
113.4 :    2 : [5891, 5899]
113.5 :    2 : [5922, 5932]
113.6 :    1 : [5875]
113.7 :    3 : [5863, 5879, 5938]
113.8 :    2 : [5878, 5886]
113.9 :    3 : [5885, 5894, 5930]
114.0 :    1 : [5946]
114.1 :    4 : [5906, 5907, 5939, 5961]
114.2 :    3 : [5868, 5873, 5927]
114.4 :    1 : [5949]
114.5 :    4 : [5900, 5917, 5941, 5955]
114.6 :    2 : [5884, 5948]
114.7 :    2 : [5867, 5958]
115.0 :    2 : [5920, 5960]
115.1 :    3 : [5909, 5931, 5952]
115.2 :    3 : [5882, 5912, 5959]
115.4 :    2 : [5933, 5947]
115.5 :    1 : [5953]
115.6 :    2 : [5908, 5918]
115.7 :    1 : [5872]
115.8 :    4 : [5863, 5877, 5922, 5938]
115.9 :   57 : [5862, 5864, 5865, 5866, 5869, 5870, 5871, 5874, 5876, 5878, 5880, 5881, 5883, 5887, 5888, 5889, 5890, 5891, 5892, 5893, 5895, 5896, 5897, 5898, 5901, 5902, 5903, 5904, 5905, 5910, 5911, 5913, 5914, 5915, 5916, 5919, 5921, 5923, 5924, 5925, 5926, 5928, 5929, 5932, 5934, 5935, 5936, 5937, 5940, 5942, 5943, 5944, 5945, 5950, 5951, 5954, 5956]
116.0 :    4 : [5879, 5894, 5930, 5957]
116.1 :    2 : [5886, 5946]
116.2 :    2 : [5907, 5961]
116.3 :    2 : [5868, 5873]
116.4 :    1 : [5939]
116.5 :    1 : [5899]
116.6 :    1 : [5900]
116.7 :    5 : [5917, 5927, 5941, 5948, 5955]
116.8 :    2 : [5867, 5958]
116.9 :    1 : [5884]
117.0 :    1 : [5875]
117.1 :    1 : [5885]
117.2 :    5 : [5906, 5909, 5920, 5931, 5960]
117.3 :    2 : [5882, 5959]
117.4 :    1 : [5912]
117.5 :    1 : [5947]
117.6 :    2 : [5933, 5952]
117.7 :    2 : [5908, 5918]
117.8 :    2 : [5949, 5953]
117.9 :    3 : [5877, 5922, 5938]
118.0 :    5 : [5872, 5893, 5896, 5903, 5924]
118.1 :   52 : [5862, 5864, 5865, 5866, 5869, 5870, 5871, 5874, 5876, 5880, 5881, 5883, 5887, 5888, 5889, 5890, 5892, 5894, 5895, 5897, 5898, 5901, 5902, 5904, 5905, 5910, 5911, 5913, 5914, 5915, 5916, 5919, 5921, 5923, 5925, 5926, 5928, 5929, 5930, 5934, 5935, 5936, 5937, 5940, 5942, 5943, 5944, 5945, 5950, 5951, 5954, 5956]
118.2 :    3 : [5878, 5891, 5932]
118.3 :    2 : [5907, 5961]
118.4 :    4 : [5868, 5873, 5879, 5946]
118.7 :    2 : [5900, 5939]
118.8 :    2 : [5886, 5899]
118.9 :    5 : [5867, 5917, 5941, 5955, 5958]
119.0 :    2 : [5884, 5927]
119.4 :    4 : [5863, 5882, 5906, 5957]
119.5 :    3 : [5912, 5920, 5960]
119.6 :    4 : [5885, 5909, 5931, 5947]
119.9 :    3 : [5908, 5933, 5949]
