Name: Striatum [D2], Title: Raster plot from device '95236', Hist: False
152.6 :    1 : [40781]
152.8 :    1 : [40767]
153.0 :    1 : [40790]
153.2 :    1 : [40820]
154.6 :    9 : [40764, 40776, 40783, 40795, 40801, 40804, 40807, 40824, 40841]
154.7 :   12 : [40746, 40749, 40753, 40768, 40774, 40799, 40808, 40811, 40827, 40831, 40832, 40838]
154.8 :   17 : [40750, 40752, 40755, 40760, 40769, 40778, 40780, 40797, 40798, 40815, 40825, 40829, 40834, 40835, 40836, 40837, 40842]
154.9 :    6 : [40796, 40806, 40818, 40822, 40823, 40839]
155.0 :    8 : [40744, 40757, 40759, 40766, 40771, 40779, 40805, 40840]
155.1 :    2 : [40791, 40802]
155.2 :    2 : [40751, 40809]
155.4 :    2 : [40781, 40830]
155.7 :    2 : [40789, 40820]
156.8 :   14 : [40747, 40756, 40763, 40765, 40770, 40777, 40782, 40788, 40794, 40800, 40803, 40812, 40828, 40843]
156.9 :   11 : [40745, 40758, 40786, 40792, 40793, 40810, 40813, 40814, 40819, 40821, 40826]
157.0 :   10 : [40754, 40761, 40762, 40773, 40775, 40801, 40807, 40824, 40833, 40841]
157.1 :   12 : [40746, 40749, 40753, 40764, 40774, 40776, 40783, 40787, 40795, 40804, 40811, 40832]
157.2 :    6 : [40768, 40772, 40785, 40799, 40827, 40838]
157.3 :    8 : [40760, 40769, 40808, 40815, 40825, 40831, 40835, 40842]
157.4 :    3 : [40755, 40780, 40829]
157.5 :    5 : [40750, 40752, 40797, 40798, 40837]
157.6 :    3 : [40778, 40823, 40836]
157.7 :    1 : [40822]
157.8 :    3 : [40796, 40818, 40834]
159.2 :    8 : [40747, 40763, 40765, 40777, 40782, 40800, 40803, 40812]
159.3 :    9 : [40756, 40770, 40786, 40788, 40792, 40794, 40810, 40828, 40843]
159.4 :    4 : [40758, 40813, 40819, 40821]
159.5 :    3 : [40745, 40814, 40826]
159.6 :    2 : [40793, 40833]
159.7 :    4 : [40761, 40762, 40773, 40775]
160.0 :    1 : [40754]
163.4 :    1 : [40820]
