Name: STN [Glu], Title: Raster plot from device '4791', Hist: False
112.6 :    9 : [614, 615, 618, 619, 624, 625, 631, 632, 636]
112.7 :    7 : [616, 620, 621, 622, 629, 633, 634]
114.7 :    6 : [615, 618, 619, 624, 632, 636]
114.8 :   10 : [614, 616, 620, 621, 622, 625, 629, 631, 633, 634]
116.9 :    7 : [614, 616, 621, 625, 629, 631, 633]
117.6 :    1 : [615]
117.7 :    1 : [620]
117.9 :    3 : [618, 624, 636]
118.0 :    2 : [619, 632]
118.1 :    2 : [622, 634]
119.0 :    2 : [629, 633]
119.7 :    1 : [625]
119.8 :    1 : [631]
119.9 :    1 : [614]
120.0 :    1 : [616]
120.1 :    1 : [621]
120.4 :    2 : [615, 620]
120.7 :    1 : [618]
120.8 :    2 : [624, 636]
120.9 :    1 : [619]
121.0 :    3 : [622, 632, 634]
121.8 :    1 : [629]
121.9 :    1 : [633]
122.5 :    1 : [625]
122.6 :    1 : [631]
122.7 :    1 : [614]
123.0 :    1 : [615]
123.1 :    2 : [616, 620]
123.4 :    1 : [621]
123.5 :    1 : [618]
123.6 :    2 : [619, 636]
123.7 :    1 : [624]
123.8 :    2 : [622, 634]
123.9 :    1 : [632]
124.9 :    1 : [629]
125.1 :    2 : [625, 633]
125.4 :    1 : [614]
125.5 :    1 : [631]
125.6 :    2 : [615, 620]
126.1 :    1 : [616]
126.3 :    2 : [618, 619]
126.4 :    1 : [636]
126.5 :    2 : [622, 634]
126.6 :    1 : [624]
126.7 :    2 : [621, 632]
127.7 :    1 : [625]
128.0 :    1 : [629]
128.1 :    2 : [614, 620]
128.2 :    2 : [615, 631]
128.3 :    1 : [633]
128.8 :    1 : [619]
129.1 :    2 : [616, 618]
129.2 :    3 : [622, 634, 636]
129.4 :    1 : [624]
129.6 :    1 : [632]
129.9 :    1 : [621]
130.2 :    1 : [625]
130.7 :    1 : [620]
130.8 :    2 : [614, 615]
131.1 :    2 : [629, 631]
131.5 :    2 : [619, 633]
131.9 :    1 : [634]
132.0 :    4 : [616, 618, 622, 636]
132.2 :    1 : [624]
132.4 :    1 : [632]
132.9 :    1 : [625]
133.2 :    1 : [621]
133.4 :    1 : [620]
133.5 :    1 : [615]
133.6 :    2 : [614, 633]
133.9 :    1 : [631]
134.1 :    1 : [619]
134.3 :    1 : [629]
134.8 :    2 : [622, 634]
134.9 :    1 : [618]
135.0 :    1 : [636]
135.1 :    2 : [616, 624]
135.2 :    1 : [632]
135.7 :    1 : [625]
136.1 :    1 : [620]
136.3 :    1 : [615]
136.5 :    1 : [614]
136.6 :    1 : [621]
136.8 :    3 : [619, 631, 633]
137.5 :    1 : [629]
137.8 :    2 : [622, 634]
138.0 :    2 : [618, 636]
138.1 :    1 : [624]
138.2 :    1 : [616]
138.4 :    2 : [625, 632]
138.9 :    2 : [620, 633]
139.2 :    1 : [615]
139.5 :    1 : [614]
139.6 :    1 : [619]
139.8 :    1 : [631]
140.2 :    1 : [621]
140.8 :    1 : [622]
140.9 :    1 : [629]
141.0 :    1 : [634]
141.2 :    1 : [636]
141.3 :    1 : [618]
141.4 :    1 : [624]
141.5 :    1 : [625]
141.6 :    1 : [616]
141.8 :    1 : [632]
142.0 :    1 : [620]
142.3 :    1 : [621]
142.4 :    1 : [615]
142.5 :    1 : [633]
142.7 :    2 : [614, 619]
143.0 :    1 : [629]
143.2 :    1 : [631]
143.3 :    1 : [636]
143.4 :    1 : [618]
143.5 :    1 : [624]
143.7 :    1 : [616]
143.9 :    1 : [632]
144.2 :    1 : [622]
144.4 :    1 : [621]
144.5 :    1 : [634]
144.6 :    1 : [633]
144.9 :    1 : [625]
145.3 :    1 : [631]
145.5 :    1 : [620]
146.0 :    1 : [615]
146.2 :    1 : [619]
146.3 :    2 : [614, 622]
146.5 :    1 : [621]
146.6 :    1 : [634]
146.7 :    1 : [636]
146.8 :    1 : [629]
146.9 :    2 : [618, 633]
147.0 :    1 : [625]
147.1 :    1 : [624]
147.4 :    1 : [616]
147.6 :    1 : [620]
147.7 :    1 : [632]
148.1 :    1 : [615]
148.3 :    1 : [619]
148.4 :    1 : [614]
148.7 :    1 : [634]
148.8 :    2 : [621, 636]
149.0 :    2 : [629, 631]
149.1 :    1 : [618]
149.2 :    1 : [624]
149.4 :    1 : [633]
149.6 :    1 : [616]
149.7 :    1 : [620]
149.9 :    1 : [632]
150.1 :    1 : [622]
150.2 :    1 : [615]
150.4 :    1 : [619]
150.5 :    1 : [614]
150.8 :    2 : [625, 634]
151.0 :    1 : [636]
151.3 :    1 : [631]
151.4 :    1 : [618]
151.5 :    2 : [624, 629]
151.6 :    1 : [621]
151.8 :    1 : [620]
152.0 :    1 : [616]
152.3 :    2 : [615, 622]
152.4 :    2 : [632, 633]
152.5 :    1 : [619]
152.6 :    1 : [614]
153.0 :    2 : [625, 634]
153.5 :    1 : [636]
153.7 :    1 : [631]
153.9 :    2 : [618, 620]
154.1 :    1 : [624]
154.3 :    1 : [629]
154.6 :    1 : [619]
154.7 :    1 : [615]
154.8 :    2 : [616, 622]
155.0 :    1 : [614]
155.2 :    1 : [632]
155.3 :    1 : [621]
155.5 :    1 : [625]
155.7 :    1 : [634]
156.3 :    1 : [636]
156.5 :    2 : [620, 631]
157.0 :    1 : [618]
157.2 :    1 : [624]
157.3 :    1 : [619]
157.4 :    1 : [615]
157.6 :    1 : [622]
157.8 :    1 : [614]
158.4 :    2 : [616, 625]
158.8 :    1 : [629]
159.2 :    1 : [634]
159.7 :    1 : [620]
159.8 :    1 : [632]
160.1 :    1 : [636]
160.3 :    1 : [631]
160.5 :    1 : [619]
161.3 :    1 : [615]
161.8 :    1 : [614]
162.0 :    1 : [622]
163.8 :    1 : [625]
311.9 :    4 : [619, 622, 624, 629]
312.0 :    7 : [614, 616, 618, 620, 621, 631, 633]
314.3 :    1 : [633]
315.5 :    1 : [621]
316.4 :    1 : [633]
317.2 :    1 : [624]
317.8 :    1 : [621]
317.9 :    1 : [620]
319.6 :    1 : [633]
319.8 :    1 : [624]
319.9 :    1 : [621]
320.3 :    1 : [620]
321.0 :    1 : [618]
321.2 :    1 : [619]
321.9 :    1 : [624]
322.4 :    1 : [620]
322.7 :    1 : [633]
323.3 :    1 : [618]
323.4 :    1 : [621]
323.9 :    1 : [622]
324.0 :    1 : [619]
324.5 :    1 : [620]
325.3 :    1 : [624]
325.5 :    1 : [618]
325.8 :    1 : [633]
326.2 :    1 : [619]
326.4 :    1 : [631]
326.6 :    1 : [621]
326.7 :    1 : [622]
327.6 :    1 : [618]
327.7 :    1 : [620]
328.3 :    1 : [619]
328.4 :    1 : [624]
328.8 :    4 : [616, 622, 631, 633]
329.2 :    1 : [614]
329.9 :    1 : [621]
330.6 :    1 : [620]
330.7 :    1 : [618]
330.9 :    2 : [622, 631]
331.0 :    1 : [629]
331.1 :    1 : [616]
331.4 :    1 : [624]
331.5 :    1 : [619]
331.6 :    2 : [614, 633]
332.9 :    1 : [621]
333.2 :    1 : [616]
333.5 :    1 : [620]
333.7 :    1 : [614]
333.9 :    1 : [629]
334.0 :    1 : [618]
334.3 :    1 : [624]
334.4 :    2 : [622, 631]
334.6 :    2 : [619, 633]
335.3 :    1 : [616]
335.8 :    1 : [614]
336.1 :    1 : [621]
336.3 :    1 : [620]
336.7 :    1 : [629]
337.3 :    2 : [618, 624]
337.6 :    2 : [619, 633]
337.8 :    2 : [622, 631]
337.9 :    1 : [614]
338.8 :    1 : [616]
339.2 :    2 : [620, 629]
339.3 :    1 : [621]
339.9 :    1 : [622]
340.3 :    1 : [624]
340.5 :    1 : [618]
340.6 :    1 : [619]
340.7 :    1 : [633]
341.1 :    1 : [631]
341.5 :    1 : [629]
341.6 :    1 : [614]
342.0 :    1 : [620]
342.4 :    1 : [616]
342.5 :    1 : [621]
343.1 :    1 : [622]
343.4 :    1 : [624]
343.7 :    1 : [614]
343.8 :    1 : [619]
344.0 :    2 : [618, 633]
