Name: NAc [ACh], Title: Raster plot from device '30063', Hist: False
426.7 :    3 : [16, 16, 16]
430.1 :    3 : [16, 16, 16]
433.5 :    3 : [16, 16, 16]
435.8 :    3 : [16, 16, 16]
438.4 :    3 : [16, 16, 16]
440.6 :    3 : [16, 16, 16]
442.8 :    3 : [16, 16, 16]
446.3 :    3 : [16, 16, 16]
448.5 :    3 : [16, 16, 16]
452.0 :    3 : [16, 16, 16]
454.3 :    3 : [16, 16, 16]
458.2 :    3 : [16, 16, 16]
460.5 :    3 : [16, 16, 16]
465.3 :    3 : [16, 16, 16]
467.8 :    3 : [16, 16, 16]
470.5 :    3 : [16, 16, 16]
473.3 :    3 : [16, 16, 16]
475.5 :    3 : [16, 16, 16]
477.7 :    3 : [16, 16, 16]
479.8 :    3 : [16, 16, 16]
481.9 :    3 : [16, 16, 16]
484.1 :    3 : [16, 16, 16]
486.3 :    3 : [16, 16, 16]
488.6 :    3 : [16, 16, 16]
490.8 :    3 : [16, 16, 16]
493.0 :    3 : [16, 16, 16]
495.5 :    3 : [16, 16, 16]
497.7 :    3 : [16, 16, 16]
499.8 :    3 : [16, 16, 16]
502.0 :    3 : [16, 16, 16]
504.2 :    3 : [16, 16, 16]
506.6 :    3 : [16, 16, 16]
508.8 :    3 : [16, 16, 16]
510.9 :    3 : [16, 16, 16]
513.0 :    3 : [16, 16, 16]
515.3 :    3 : [16, 16, 16]
517.5 :    3 : [16, 16, 16]
519.6 :    3 : [16, 16, 16]
521.8 :    3 : [16, 16, 16]
524.0 :    3 : [16, 16, 16]
526.3 :    3 : [16, 16, 16]
528.4 :    3 : [16, 16, 16]
530.9 :    3 : [16, 16, 16]
533.2 :    3 : [16, 16, 16]
535.7 :    3 : [16, 16, 16]
537.9 :    3 : [16, 16, 16]
540.1 :    3 : [16, 16, 16]
542.2 :    3 : [16, 16, 16]
544.3 :    3 : [16, 16, 16]
547.2 :    3 : [16, 16, 16]
549.4 :    3 : [16, 16, 16]
551.6 :    3 : [16, 16, 16]
558.1 :    3 : [16, 16, 16]
560.3 :    3 : [16, 16, 16]
562.5 :    3 : [16, 16, 16]
564.6 :    3 : [16, 16, 16]
566.8 :    3 : [16, 16, 16]
569.0 :    3 : [16, 16, 16]
571.9 :    3 : [16, 16, 16]
574.0 :    3 : [16, 16, 16]
576.2 :    3 : [16, 16, 16]
578.7 :    3 : [16, 16, 16]
581.4 :    3 : [16, 16, 16]
583.6 :    3 : [16, 16, 16]
585.8 :    3 : [16, 16, 16]
588.1 :    3 : [16, 16, 16]
590.5 :    3 : [16, 16, 16]
592.7 :    3 : [16, 16, 16]
594.9 :    3 : [16, 16, 16]
597.1 :    3 : [16, 16, 16]
599.3 :    3 : [16, 16, 16]
601.4 :    3 : [16, 16, 16]
603.7 :    3 : [16, 16, 16]
605.9 :    3 : [16, 16, 16]
608.0 :    3 : [16, 16, 16]
610.1 :    3 : [16, 16, 16]
612.3 :    3 : [16, 16, 16]
