Name: NAc [GABA1], Title: Raster plot from device '30073', Hist: False
417.3 :    2 : [283, 289]
417.4 :    2 : [284, 287]
417.5 :    6 : [285, 285, 292, 292, 292, 292]
419.6 :    1 : [289]
419.7 :    2 : [283, 287]
419.8 :    7 : [284, 285, 285, 292, 292, 292, 292]
421.7 :    1 : [289]
421.8 :    2 : [283, 287]
421.9 :    7 : [284, 285, 285, 292, 292, 292, 292]
423.8 :    1 : [289]
423.9 :    2 : [283, 287]
424.0 :    7 : [284, 285, 285, 292, 292, 292, 292]
425.9 :    1 : [289]
426.0 :    2 : [283, 287]
426.1 :    7 : [284, 285, 285, 292, 292, 292, 292]
428.0 :    1 : [289]
428.1 :    2 : [283, 287]
428.2 :    7 : [284, 285, 285, 292, 292, 292, 292]
430.1 :    1 : [289]
430.2 :    2 : [283, 287]
430.3 :    7 : [284, 285, 285, 292, 292, 292, 292]
432.2 :    1 : [289]
432.3 :    2 : [283, 287]
432.4 :    7 : [284, 285, 285, 292, 292, 292, 292]
434.3 :    1 : [289]
434.4 :    2 : [283, 287]
434.5 :    7 : [284, 285, 285, 292, 292, 292, 292]
436.4 :    1 : [289]
436.5 :    2 : [283, 287]
436.6 :    7 : [284, 285, 285, 292, 292, 292, 292]
438.5 :    1 : [289]
438.6 :    2 : [283, 287]
438.7 :    7 : [284, 285, 285, 292, 292, 292, 292]
440.6 :    1 : [289]
440.7 :    2 : [283, 287]
440.8 :    7 : [284, 285, 285, 292, 292, 292, 292]
442.7 :    1 : [289]
442.8 :    2 : [283, 287]
442.9 :    7 : [284, 285, 285, 292, 292, 292, 292]
444.8 :    1 : [289]
444.9 :    2 : [283, 287]
445.0 :    7 : [284, 285, 285, 292, 292, 292, 292]
446.9 :    1 : [289]
447.0 :    2 : [283, 287]
447.1 :    7 : [284, 285, 285, 292, 292, 292, 292]
449.0 :    1 : [289]
449.1 :    2 : [283, 287]
449.2 :    7 : [284, 285, 285, 292, 292, 292, 292]
451.1 :    1 : [289]
451.2 :    2 : [283, 287]
