Name: PPTg [GABA], Title: Raster plot from device '30064', Hist: False
420.7 :    2 : [26, 26]
427.3 :    2 : [28, 28]
427.6 :    2 : [26, 26]
431.5 :    2 : [26, 26]
436.0 :    2 : [26, 26]
442.8 :    2 : [26, 26]
444.6 :    2 : [28, 28]
451.5 :    2 : [26, 26]
458.2 :    2 : [28, 28]
469.2 :    2 : [26, 26]
483.4 :    2 : [26, 26]
494.6 :    2 : [26, 26]
502.0 :    2 : [26, 26]
507.3 :    2 : [26, 26]
516.4 :    2 : [26, 26]
532.5 :    2 : [26, 26]
537.8 :    2 : [26, 26]
542.6 :    2 : [26, 26]
559.8 :    2 : [26, 26]
567.8 :    2 : [26, 26]
578.7 :    2 : [26, 26]
583.4 :    2 : [26, 26]
587.3 :    2 : [26, 26]
