Name: Striatum [D1], Title: Raster plot from device '30085', Hist: False
225.7 :    2 : [9644, 9697]
225.8 :    1 : [9580]
251.5 :    1 : [9237]
266.0 :    1 : [9616]
280.3 :    1 : [9668]
345.0 :    1 : [9390]
415.8 :    1 : [9329]
416.0 :    2 : [9129, 9752]
416.1 :    1 : [9487]
416.2 :    3 : [9258, 9676, 9790]
416.4 :    1 : [9930]
416.5 :    2 : [9527, 9621]
416.6 :    1 : [9212]
416.7 :    1 : [9818]
416.9 :    1 : [9856]
417.6 :    3 : [9201, 9578, 9829]
417.8 :    1 : [9159]
417.9 :    1 : [9658]
418.7 :    2 : [9129, 9714]
418.8 :    1 : [9329]
418.9 :    1 : [9258]
419.0 :    3 : [9487, 9676, 9930]
419.1 :    2 : [9621, 9790]
419.2 :    2 : [9527, 9818]
419.3 :    1 : [9752]
419.5 :    1 : [9212]
420.1 :    1 : [9201]
420.3 :    1 : [9578]
420.5 :    1 : [9829]
421.3 :    2 : [9159, 9714]
422.4 :    1 : [9658]
422.8 :    1 : [9818]
423.0 :    1 : [9829]
423.9 :    1 : [9714]
424.0 :    1 : [9676]
424.2 :    1 : [9212]
424.4 :    2 : [9129, 9258]
424.5 :    1 : [9578]
424.7 :    2 : [9658, 9752]
424.9 :    1 : [9818]
425.1 :    1 : [9159]
425.3 :    1 : [9829]
426.1 :    1 : [9676]
426.2 :    1 : [9621]
426.3 :    2 : [9212, 9714]
426.5 :    3 : [9129, 9258, 9930]
426.6 :    1 : [9578]
426.7 :    1 : [9329]
426.8 :    1 : [9752]
426.9 :    1 : [9487]
427.0 :    2 : [9658, 9856]
427.1 :    1 : [9818]
427.2 :    1 : [9159]
427.4 :    1 : [9829]
427.5 :    1 : [9201]
428.2 :    1 : [9676]
428.3 :    1 : [9621]
428.4 :    1 : [9212]
428.5 :    1 : [9714]
428.6 :    3 : [9129, 9258, 9930]
428.9 :    4 : [9329, 9527, 9578, 9790]
429.0 :    2 : [9487, 9752]
429.3 :    2 : [9818, 9856]
429.4 :    1 : [9658]
429.5 :    1 : [9829]
429.6 :    2 : [9159, 9201]
430.3 :    1 : [9676]
430.4 :    1 : [9621]
430.5 :    1 : [9212]
430.6 :    1 : [9714]
430.7 :    2 : [9129, 9930]
430.8 :    1 : [9258]
431.0 :    2 : [9329, 9527]
431.1 :    4 : [9487, 9578, 9752, 9790]
431.5 :    2 : [9818, 9856]
431.6 :    1 : [9658]
431.7 :    2 : [9201, 9829]
431.9 :    1 : [9159]
432.5 :    1 : [9676]
432.7 :    1 : [9212]
432.8 :    1 : [9930]
433.2 :    1 : [9129]
