Name: Motor cortex [Glu0], Title: Raster plot from device '10147', Hist: False
110.5 :    6 : [5832, 6094, 6127, 6455, 6538, 6546]
110.6 :    4 : [5736, 6226, 6343, 6504]
110.7 :    2 : [6075, 6119]
110.8 :    4 : [5858, 5884, 5988, 6515]
111.2 :    2 : [5802, 5880]
111.6 :    1 : [6390]
111.7 :    1 : [6004]
112.1 :    1 : [5774]
112.6 :    3 : [5832, 6538, 6546]
112.7 :    2 : [6094, 6343]
112.8 :    4 : [6075, 6119, 6127, 6156]
112.9 :    4 : [5736, 5858, 6455, 6504]
113.1 :    1 : [5884]
113.3 :    1 : [5880]
113.5 :    1 : [5802]
113.7 :    1 : [6390]
114.0 :    2 : [5988, 6226]
114.3 :    1 : [6004]
114.6 :    1 : [5774]
114.7 :    2 : [5832, 6546]
114.8 :    2 : [6094, 6515]
114.9 :    1 : [6075]
115.0 :    2 : [6455, 6504]
115.1 :    1 : [6156]
115.2 :    1 : [5884]
115.4 :    1 : [5736]
115.8 :    1 : [6390]
115.9 :    1 : [6538]
116.1 :    3 : [5858, 5988, 6226]
116.4 :    1 : [6004]
116.6 :    1 : [5880]
116.7 :    3 : [5774, 5802, 6127]
116.8 :    2 : [5832, 6119]
116.9 :    1 : [6094]
117.0 :    1 : [6075]
117.1 :    1 : [6504]
117.2 :    2 : [6156, 6343]
117.5 :    2 : [5736, 6455]
117.9 :    1 : [6390]
118.0 :    1 : [6538]
118.2 :    3 : [5858, 5988, 6546]
118.4 :    1 : [6226]
118.5 :    1 : [6004]
118.7 :    1 : [5880]
118.8 :    2 : [5802, 6127]
118.9 :    1 : [6119]
119.0 :    2 : [5832, 5884]
119.1 :    2 : [5774, 6094]
119.2 :    1 : [6504]
119.3 :    1 : [6343]
119.6 :    1 : [6455]
120.3 :    2 : [5858, 5988]
120.4 :    1 : [6075]
120.6 :    2 : [6004, 6226]
120.7 :    1 : [6546]
120.8 :    1 : [5880]
121.0 :    2 : [5736, 6119]
121.1 :    3 : [5832, 5884, 6127]
121.3 :    2 : [5802, 6504]
121.5 :    3 : [6156, 6343, 6538]
121.8 :    1 : [6515]
122.1 :    1 : [6390]
122.5 :    1 : [6075]
122.6 :    1 : [5988]
122.7 :    2 : [6004, 6094]
122.9 :    1 : [5880]
123.0 :    1 : [6546]
123.1 :    2 : [5736, 6226]
123.2 :    1 : [6127]
123.4 :    2 : [5802, 6504]
123.5 :    1 : [6455]
123.6 :    2 : [6156, 6343]
123.9 :    1 : [5774]
124.0 :    1 : [5858]
124.4 :    1 : [5832]
124.5 :    2 : [5884, 6538]
124.6 :    1 : [6119]
124.7 :    1 : [6075]
124.9 :    2 : [5988, 6094]
125.1 :    1 : [6546]
125.2 :    1 : [5736]
125.3 :    1 : [6226]
125.6 :    1 : [6504]
125.7 :    1 : [6156]
125.9 :    1 : [6455]
126.5 :    1 : [5832]
126.6 :    1 : [6390]
126.7 :    2 : [5880, 6004]
126.9 :    1 : [6119]
127.1 :    2 : [5884, 6538]
127.7 :    1 : [5736]
127.9 :    1 : [6127]
210.5 :    5 : [5802, 6094, 6119, 6538, 6546]
210.6 :    3 : [5774, 6004, 6226]
210.7 :    1 : [6515]
210.8 :    2 : [6156, 6455]
210.9 :    2 : [5736, 6390]
211.2 :    2 : [5880, 5884]
211.3 :    1 : [5832]
211.4 :    2 : [5858, 6075]
212.1 :    1 : [6504]
212.2 :    1 : [5988]
212.6 :    3 : [6094, 6538, 6546]
212.7 :    2 : [5802, 6226]
212.8 :    2 : [6119, 6515]
213.0 :    3 : [5736, 6127, 6390]
213.1 :    1 : [6156]
213.2 :    1 : [5774]
213.3 :    1 : [5884]
213.4 :    2 : [5832, 5880]
213.5 :    2 : [5858, 6075]
213.7 :    1 : [6455]
214.1 :    1 : [6004]
214.3 :    1 : [6504]
214.6 :    1 : [5988]
214.7 :    3 : [6094, 6538, 6546]
214.9 :    1 : [6119]
215.1 :    1 : [6226]
215.2 :    1 : [6156]
215.3 :    2 : [5774, 6127]
215.5 :    2 : [5880, 5884]
215.8 :    2 : [5736, 6455]
216.0 :    1 : [6390]
216.2 :    3 : [5802, 6004, 6515]
216.6 :    1 : [5832]
216.7 :    2 : [5858, 5988]
216.8 :    1 : [6538]
217.0 :    2 : [6119, 6504]
217.2 :    2 : [6226, 6546]
217.3 :    2 : [6075, 6156]
217.4 :    1 : [6127]
217.6 :    1 : [5880]
217.7 :    1 : [5884]
217.9 :    3 : [5736, 6094, 6455]
218.3 :    1 : [6515]
218.6 :    1 : [5774]
218.8 :    2 : [5858, 5988]
219.0 :    2 : [6390, 6538]
219.1 :    1 : [6504]
219.3 :    2 : [6226, 6546]
219.4 :    1 : [6075]
219.5 :    1 : [6127]
219.7 :    1 : [5802]
219.8 :    1 : [5884]
220.0 :    2 : [5736, 6455]
220.1 :    2 : [5832, 5880]
220.4 :    1 : [6515]
220.8 :    3 : [5774, 6004, 6119]
221.1 :    1 : [6538]
221.3 :    1 : [6094]
221.4 :    1 : [6226]
221.6 :    1 : [6127]
221.9 :    2 : [5884, 5988]
222.2 :    2 : [5832, 5858]
222.4 :    1 : [6546]
222.5 :    3 : [5880, 6390, 6515]
222.9 :    2 : [5774, 6004]
223.0 :    1 : [5802]
223.1 :    1 : [6075]
223.3 :    2 : [6455, 6504]
223.4 :    2 : [5736, 6094]
223.5 :    1 : [6226]
224.0 :    2 : [5884, 5988]
224.3 :    2 : [5858, 6119]
224.5 :    1 : [6546]
224.6 :    1 : [6390]
224.8 :    1 : [6538]
225.1 :    1 : [5802]
225.4 :    2 : [6455, 6504]
225.5 :    1 : [5736]
225.8 :    1 : [5832]
226.0 :    1 : [6515]
226.1 :    2 : [5884, 6004]
226.2 :    1 : [5988]
226.4 :    1 : [5858]
226.6 :    1 : [6546]
226.7 :    1 : [6119]
226.9 :    1 : [5774]
227.2 :    1 : [6094]
227.3 :    1 : [6538]
227.6 :    1 : [5802]
228.2 :    1 : [5736]
310.5 :    6 : [5802, 6094, 6119, 6343, 6455, 6546]
310.6 :    1 : [5774]
310.7 :    2 : [5880, 6515]
310.8 :    3 : [5988, 6004, 6075]
310.9 :    2 : [5858, 6127]
311.1 :    1 : [6390]
311.2 :    1 : [6538]
311.4 :    1 : [5736]
311.5 :    1 : [5884]
311.6 :    1 : [6504]
312.4 :    1 : [5832]
312.6 :    4 : [6094, 6343, 6455, 6546]
312.7 :    2 : [5774, 6119]
312.8 :    2 : [5880, 6515]
312.9 :    2 : [6004, 6075]
313.0 :    1 : [5858]
313.2 :    3 : [5802, 6127, 6390]
313.3 :    1 : [6538]
313.7 :    1 : [6504]
313.8 :    2 : [5736, 5884]
314.0 :    1 : [5988]
314.5 :    1 : [5832]
314.7 :    2 : [6455, 6546]
314.9 :    2 : [5880, 6343]
315.0 :    2 : [5774, 6075]
315.1 :    1 : [5858]
315.2 :    1 : [6119]
315.3 :    2 : [6127, 6390]
315.7 :    1 : [5802]
315.9 :    2 : [5736, 6094]
316.2 :    2 : [6004, 6515]
316.6 :    1 : [6538]
316.7 :    1 : [5884]
316.8 :    1 : [6455]
317.0 :    1 : [6343]
317.1 :    2 : [5774, 6075]
317.2 :    1 : [5858]
317.5 :    2 : [5988, 6504]
317.7 :    1 : [6127]
317.8 :    1 : [5832]
318.0 :    2 : [6094, 6546]
318.1 :    1 : [5880]
318.5 :    1 : [6515]
318.7 :    2 : [6390, 6538]
319.0 :    1 : [5884]
319.3 :    2 : [6075, 6455]
319.4 :    2 : [5774, 6119]
319.6 :    1 : [6504]
319.7 :    2 : [5988, 6004]
320.0 :    1 : [5736]
320.2 :    1 : [5880]
320.3 :    1 : [6343]
320.6 :    2 : [5858, 6515]
321.0 :    1 : [6538]
321.1 :    2 : [5832, 5884]
321.2 :    1 : [6094]
321.4 :    2 : [6075, 6455]
321.5 :    2 : [5774, 6119]
321.7 :    1 : [6504]
321.8 :    1 : [5988]
321.9 :    2 : [6390, 6546]
322.1 :    1 : [5736]
322.3 :    1 : [5880]
322.4 :    1 : [6343]
322.7 :    1 : [5858]
323.1 :    2 : [6004, 6538]
323.2 :    2 : [5832, 5884]
323.3 :    2 : [6094, 6515]
323.5 :    2 : [6075, 6455]
324.0 :    1 : [6390]
324.3 :    1 : [5736]
324.6 :    1 : [6546]
324.7 :    1 : [6119]
324.9 :    1 : [5774]
325.3 :    2 : [5832, 6004]
325.4 :    2 : [6504, 6515]
325.5 :    1 : [5988]
325.6 :    1 : [6075]
325.7 :    1 : [6343]
325.8 :    1 : [5880]
326.1 :    1 : [6390]
326.5 :    1 : [5858]
327.3 :    1 : [6538]
410.5 :    3 : [6075, 6390, 6515]
410.6 :    2 : [5832, 5884]
410.7 :    3 : [5880, 6004, 6546]
410.8 :    2 : [5858, 6094]
