Name: PPTg [ACh], Title: Raster plot from device '10122', Hist: False
211.0 :    2 : [2, 2]
213.1 :    2 : [2, 2]
214.6 :    2 : [4, 4]
216.6 :    2 : [2, 2]
216.7 :    2 : [4, 4]
218.8 :    2 : [2, 2]
219.3 :    2 : [4, 4]
222.3 :    2 : [4, 4]
311.4 :    2 : [2, 2]
315.4 :    2 : [4, 4]
317.5 :    2 : [4, 4]
318.4 :    2 : [2, 2]
319.8 :    2 : [4, 4]
320.5 :    2 : [2, 2]
323.7 :    2 : [4, 4]
325.4 :    2 : [2, 2]
411.2 :    2 : [2, 2]
417.2 :    2 : [2, 2]
419.5 :    2 : [2, 2]
422.1 :    2 : [2, 2]
424.9 :    2 : [2, 2]
512.4 :    2 : [2, 2]
514.6 :    2 : [2, 2]
517.4 :    2 : [2, 2]
520.6 :    2 : [2, 2]
522.8 :    2 : [2, 2]
525.4 :    2 : [2, 2]
