Name: SNc [DA], Title: Raster plot from device '10131', Hist: False
114.2 :    1 : [117]
119.1 :    1 : [114]
121.2 :    1 : [114]
124.5 :    1 : [114]
210.9 :    1 : [114]
213.0 :    1 : [114]
216.2 :    1 : [114]
216.7 :    1 : [115]
219.2 :    1 : [115]
219.6 :    1 : [114]
222.5 :    1 : [115]
222.6 :    1 : [114]
311.9 :    1 : [115]
314.6 :    1 : [115]
317.5 :    1 : [115]
319.7 :    1 : [115]
412.1 :    1 : [115]
414.2 :    1 : [115]
417.1 :    1 : [115]
419.3 :    1 : [115]
422.1 :    1 : [115]
425.0 :    1 : [115]
510.6 :    1 : [115]
512.7 :    1 : [115]
515.3 :    1 : [115]
519.1 :    1 : [115]
521.8 :    1 : [115]
523.9 :    1 : [115]
