Name: Striatum [D2], Title: Raster plot from device '10146', Hist: False
112.0 :   11 : [4368, 4397, 4446, 4453, 4466, 4469, 4478, 4478, 4506, 4527, 4585]
112.1 :   15 : [4346, 4346, 4359, 4370, 4383, 4404, 4489, 4505, 4516, 4562, 4574, 4575, 4575, 4578, 4606]
114.1 :    2 : [4469, 4585]
114.2 :   10 : [4346, 4346, 4359, 4370, 4383, 4505, 4527, 4562, 4575, 4575]
114.3 :    2 : [4404, 4506]
114.5 :    2 : [4446, 4516]
115.0 :    3 : [4368, 4453, 4606]
115.1 :    3 : [4397, 4478, 4478]
115.3 :    1 : [4578]
115.4 :    1 : [4574]
115.5 :    1 : [4489]
212.1 :    1 : [4453]
212.6 :    3 : [4368, 4505, 4606]
214.3 :    1 : [4516]
214.5 :    1 : [4397]
215.4 :    1 : [4453]
215.9 :    1 : [4368]
216.6 :    1 : [4516]
217.5 :    1 : [4397]
221.4 :    1 : [4516]
226.6 :    1 : [4446]
312.2 :    1 : [4368]
312.4 :    1 : [4397]
312.6 :    1 : [4453]
312.7 :    1 : [4505]
312.9 :    1 : [4359]
313.0 :    1 : [4469]
315.0 :    4 : [4397, 4527, 4575, 4575]
315.4 :    2 : [4359, 4368]
315.8 :    1 : [4453]
316.0 :    1 : [4505]
316.5 :    1 : [4469]
317.4 :    1 : [4527]
317.5 :    2 : [4575, 4575]
320.4 :    1 : [4527]
412.2 :    1 : [4453]
412.3 :    3 : [4368, 4397, 4505]
412.5 :    1 : [4359]
412.9 :    2 : [4575, 4575]
414.5 :    1 : [4368]
414.6 :    1 : [4505]
414.7 :    1 : [4397]
414.9 :    1 : [4453]
416.8 :    1 : [4397]
512.1 :    1 : [4453]
512.5 :    1 : [4397]
512.6 :    1 : [4368]
515.1 :    1 : [4453]
515.6 :    1 : [4397]
515.8 :    1 : [4368]
