Name: Striatum [tan], Title: Raster plot from device '10140', Hist: False
114.0 :    2 : [448, 452]
114.5 :    1 : [435]
114.8 :    1 : [453]
114.9 :    1 : [465]
115.1 :    1 : [460]
115.2 :    1 : [455]
117.0 :    1 : [452]
117.1 :    2 : [443, 453]
212.5 :    1 : [435]
212.6 :    1 : [460]
213.0 :    1 : [458]
213.2 :    3 : [445, 445, 445]
215.4 :    1 : [435]
215.9 :    2 : [448, 460]
216.0 :    4 : [437, 445, 445, 445]
216.3 :    1 : [458]
221.2 :    1 : [455]
312.5 :    1 : [455]
312.7 :    1 : [450]
314.9 :    1 : [458]
315.2 :    3 : [445, 445, 445]
315.3 :    2 : [435, 448]
317.2 :    1 : [458]
317.4 :    4 : [445, 445, 445, 448]
318.0 :    1 : [435]
520.0 :    1 : [435]
