Name: Thalamus [Glu], Title: Raster plot from device '10143', Hist: False
112.4 :   23 : [1012, 1016, 1019, 1033, 1057, 1071, 1074, 1076, 1082, 1085, 1088, 1115, 1120, 1139, 1141, 1150, 1162, 1171, 1172, 1180, 1183, 1183, 1190]
112.5 :    1 : [1154]
114.6 :   14 : [1012, 1019, 1057, 1074, 1088, 1120, 1141, 1150, 1162, 1171, 1172, 1183, 1183, 1190]
114.7 :    9 : [1016, 1033, 1071, 1076, 1082, 1085, 1115, 1139, 1180]
114.8 :    1 : [1154]
117.7 :    2 : [1033, 1088]
117.8 :    8 : [1019, 1074, 1139, 1150, 1162, 1171, 1172, 1190]
117.9 :    6 : [1012, 1016, 1141, 1180, 1183, 1183]
118.0 :    4 : [1057, 1076, 1082, 1120]
118.1 :    3 : [1071, 1085, 1115]
118.3 :    1 : [1154]
119.9 :    2 : [1033, 1088]
120.0 :    1 : [1139]
120.1 :    4 : [1150, 1171, 1180, 1190]
120.2 :    4 : [1019, 1074, 1162, 1172]
120.3 :    3 : [1012, 1183, 1183]
120.4 :    2 : [1016, 1141]
120.5 :    2 : [1076, 1082]
120.6 :    2 : [1057, 1085]
120.7 :    1 : [1120]
120.8 :    1 : [1071]
120.9 :    1 : [1115]
211.8 :    1 : [1120]
212.0 :    5 : [1076, 1150, 1172, 1183, 1183]
212.1 :    3 : [1074, 1115, 1180]
212.2 :    2 : [1033, 1085]
212.3 :    4 : [1012, 1016, 1071, 1082]
212.4 :    1 : [1190]
212.5 :    1 : [1154]
213.9 :    1 : [1120]
214.1 :    5 : [1076, 1150, 1172, 1183, 1183]
214.2 :    3 : [1074, 1115, 1180]
214.3 :    2 : [1033, 1085]
214.4 :    4 : [1012, 1016, 1071, 1082]
214.5 :    1 : [1190]
214.6 :    1 : [1154]
216.3 :    1 : [1120]
216.5 :    3 : [1076, 1183, 1183]
216.6 :    4 : [1085, 1115, 1150, 1172]
216.8 :    5 : [1033, 1071, 1074, 1180, 1190]
217.1 :    2 : [1016, 1082]
217.6 :    1 : [1012]
218.3 :    1 : [1154]
219.2 :    1 : [1016]
219.7 :    1 : [1012]
220.1 :    1 : [1120]
220.2 :    1 : [1076]
220.3 :    3 : [1172, 1183, 1183]
220.4 :    3 : [1085, 1115, 1150]
220.6 :    1 : [1190]
220.8 :    2 : [1033, 1180]
220.9 :    1 : [1071]
221.5 :    1 : [1074]
311.9 :    1 : [1120]
312.0 :    1 : [1085]
312.1 :    4 : [1071, 1074, 1183, 1183]
312.2 :    2 : [1150, 1180]
312.3 :    2 : [1115, 1154]
312.4 :    1 : [1016]
312.5 :    1 : [1190]
314.0 :    1 : [1120]
314.1 :    1 : [1085]
314.2 :    3 : [1071, 1183, 1183]
314.3 :    2 : [1150, 1180]
314.4 :    2 : [1115, 1154]
314.5 :    1 : [1016]
314.6 :    1 : [1190]
315.0 :    1 : [1074]
316.6 :    1 : [1071]
316.7 :    4 : [1085, 1120, 1150, 1180]
316.8 :    2 : [1183, 1183]
316.9 :    1 : [1115]
317.0 :    1 : [1190]
317.6 :    1 : [1154]
318.1 :    1 : [1074]
318.5 :    1 : [1016]
318.8 :    3 : [1085, 1120, 1150]
318.9 :    2 : [1183, 1183]
319.0 :    1 : [1115]
319.1 :    1 : [1190]
320.7 :    1 : [1074]
321.1 :    1 : [1180]
411.8 :    2 : [1085, 1180]
412.0 :    1 : [1074]
412.2 :    5 : [1016, 1115, 1150, 1154, 1190]
412.3 :    2 : [1071, 1120]
413.9 :    1 : [1085]
414.3 :    5 : [1016, 1115, 1150, 1154, 1190]
414.4 :    2 : [1071, 1120]
414.7 :    1 : [1180]
414.9 :    1 : [1074]
416.8 :    1 : [1085]
417.7 :    2 : [1115, 1190]
417.8 :    1 : [1016]
418.0 :    3 : [1071, 1120, 1154]
418.1 :    1 : [1180]
418.3 :    1 : [1074]
418.4 :    1 : [1150]
419.4 :    1 : [1085]
512.0 :    1 : [1074]
512.1 :    1 : [1115]
512.2 :    1 : [1150]
512.4 :    1 : [1016]
512.5 :    1 : [1120]
512.6 :    3 : [1085, 1154, 1180]
512.7 :    1 : [1071]
514.1 :    1 : [1074]
514.3 :    2 : [1115, 1150]
514.6 :    2 : [1016, 1120]
514.8 :    1 : [1071]
514.9 :    1 : [1085]
515.0 :    2 : [1154, 1180]
516.9 :    1 : [1071]
517.0 :    1 : [1085]
517.1 :    1 : [1180]
517.2 :    1 : [1154]
517.6 :    1 : [1074]
518.0 :    1 : [1115]
518.1 :    2 : [1120, 1150]
518.5 :    1 : [1016]
519.2 :    1 : [1180]
519.4 :    1 : [1085]
