Name: Striatum [tan], Title: Raster plot from device '10140', Hist: False
113.0 :    1 : [435]
113.2 :    1 : [448]
113.4 :    1 : [452]
114.2 :    1 : [453]
114.3 :    1 : [465]
115.8 :    1 : [448]
116.4 :    2 : [453, 465]
116.7 :    1 : [455]
118.0 :    1 : [448]
118.7 :    2 : [453, 465]
119.5 :    1 : [455]
120.5 :    1 : [448]
121.2 :    2 : [453, 465]
122.3 :    1 : [455]
123.2 :    1 : [448]
124.1 :    2 : [453, 465]
126.2 :    1 : [455]
127.1 :    1 : [448]
213.6 :    1 : [445]
214.9 :    1 : [464]
312.5 :    1 : [448]
313.3 :    1 : [457]
313.4 :    1 : [454]
413.2 :    1 : [448]
413.4 :    1 : [458]
