Name: L3 [Glu], Title: Raster plot from device '2090', Hist: False
215.9 :    5 : [7, 8, 9, 13, 18]
216.0 :    9 : [6, 10, 11, 12, 16, 19, 20, 21, 22]
216.1 :    1 : [23]
216.2 :    1 : [17]
218.2 :    1 : [8]
218.3 :    7 : [7, 9, 11, 13, 18, 20, 22]
218.4 :    6 : [6, 10, 12, 16, 19, 21]
218.5 :    2 : [17, 23]
220.8 :    1 : [13]
220.9 :    7 : [9, 10, 16, 17, 19, 21, 22]
221.0 :    5 : [7, 8, 11, 18, 20]
221.1 :    1 : [6]
221.2 :    1 : [23]
221.3 :    1 : [12]
264.0 :    1 : [10]
264.4 :    1 : [23]
265.3 :    3 : [7, 19, 22]
265.4 :    1 : [12]
265.8 :    1 : [21]
265.9 :    1 : [20]
266.1 :    1 : [18]
266.2 :    2 : [9, 16]
266.3 :    2 : [6, 17]
266.6 :    1 : [8]
266.8 :    1 : [11]
266.9 :    1 : [10]
267.3 :    1 : [13]
267.4 :    1 : [23]
267.7 :    2 : [7, 22]
267.8 :    1 : [12]
267.9 :    1 : [19]
268.2 :    1 : [21]
268.4 :    1 : [20]
268.6 :    1 : [18]
268.7 :    1 : [9]
268.8 :    2 : [6, 16]
269.0 :    1 : [17]
269.1 :    1 : [8]
269.5 :    1 : [11]
269.8 :    2 : [10, 13]
270.6 :    1 : [7]
270.9 :    2 : [20, 22]
271.1 :    1 : [12]
271.2 :    1 : [21]
271.3 :    1 : [9]
271.6 :    2 : [6, 18]
271.7 :    1 : [8]
271.8 :    1 : [16]
272.0 :    1 : [11]
273.0 :    1 : [13]
303.5 :    1 : [23]
305.3 :    2 : [17, 19]
308.1 :    1 : [19]
308.2 :    1 : [23]
308.9 :    1 : [7]
309.4 :    1 : [17]
310.4 :    1 : [6]
310.6 :    1 : [9]
311.2 :    1 : [10]
311.3 :    1 : [11]
311.4 :    1 : [8]
311.9 :    1 : [7]
312.7 :    1 : [12]
312.9 :    1 : [18]
315.1 :    1 : [21]
315.5 :    1 : [16]
316.0 :    1 : [22]
317.8 :    1 : [20]
318.5 :    1 : [13]
319.5 :    1 : [22]
319.6 :    1 : [21]
320.2 :    1 : [16]
320.4 :    1 : [20]
321.3 :    1 : [13]
323.9 :    1 : [20]
336.1 :    1 : [10]
336.4 :    1 : [11]
337.6 :    1 : [6]
337.7 :    1 : [18]
338.1 :    1 : [9]
339.4 :    2 : [8, 12]
340.4 :    1 : [11]
340.8 :    1 : [6]
341.1 :    1 : [18]
341.2 :    1 : [19]
341.9 :    1 : [9]
343.2 :    1 : [17]
343.5 :    1 : [8]
345.6 :    1 : [23]
348.6 :    2 : [7, 23]
352.0 :    1 : [7]
354.6 :    1 : [16]
355.4 :    1 : [21]
355.7 :    1 : [22]
355.8 :    1 : [17]
358.2 :    1 : [16]
358.8 :    1 : [22]
359.3 :    1 : [13]
359.4 :    1 : [21]
362.0 :    1 : [13]
363.0 :    1 : [10]
364.1 :    1 : [20]
365.3 :    1 : [13]
365.7 :    1 : [12]
366.1 :    1 : [10]
369.3 :    1 : [12]
370.4 :    1 : [19]
373.2 :    1 : [19]
374.8 :    1 : [6]
376.5 :    1 : [11]
378.1 :    1 : [8]
378.2 :    1 : [18]
379.5 :    1 : [11]
379.7 :    1 : [6]
380.4 :    1 : [9]
382.3 :    1 : [18]
383.5 :    1 : [9]
384.7 :    1 : [17]
385.2 :    1 : [23]
385.8 :    1 : [7]
388.3 :    1 : [23]
388.9 :    1 : [20]
389.3 :    1 : [7]
391.2 :    1 : [16]
392.1 :    1 : [17]
394.1 :    1 : [22]
395.4 :    1 : [16]
395.9 :    1 : [21]
398.3 :    1 : [22]
399.4 :    1 : [21]
401.0 :    1 : [10]
403.9 :    1 : [8]
407.7 :    1 : [12]
409.1 :    1 : [13]
410.4 :    1 : [19]
411.0 :    1 : [12]
414.2 :    1 : [19]
414.7 :    1 : [20]
415.1 :    1 : [11]
415.9 :    1 : [6]
416.8 :    1 : [18]
418.4 :    1 : [9]
418.7 :    1 : [11]
418.9 :    1 : [6]
421.5 :    1 : [18]
422.0 :    1 : [9]
423.6 :    1 : [23]
426.7 :    1 : [23]
428.1 :    1 : [10]
428.6 :    1 : [7]
429.9 :    1 : [17]
430.5 :    1 : [16]
430.9 :    1 : [8]
431.5 :    1 : [7]
432.0 :    1 : [10]
432.1 :    1 : [22]
432.5 :    1 : [17]
432.9 :    1 : [13]
433.5 :    1 : [8]
433.7 :    1 : [16]
435.4 :    1 : [21]
438.8 :    1 : [21]
440.5 :    1 : [20]
448.3 :    1 : [19]
450.1 :    1 : [12]
450.5 :    1 : [11]
451.3 :    1 : [19]
452.8 :    1 : [12]
453.9 :    1 : [18]
455.8 :    1 : [6]
456.9 :    1 : [22]
460.2 :    1 : [9]
460.3 :    1 : [6]
460.4 :    1 : [22]
460.9 :    1 : [13]
463.3 :    2 : [9, 23]
463.7 :    1 : [7]
463.9 :    1 : [13]
464.2 :    1 : [20]
465.2 :    1 : [10]
465.9 :    1 : [17]
467.1 :    1 : [23]
468.2 :    1 : [7]
469.4 :    1 : [10]
471.0 :    1 : [16]
471.3 :    1 : [8]
474.2 :    1 : [8]
474.9 :    1 : [16]
475.0 :    1 : [11]
476.5 :    1 : [21]
479.4 :    1 : [21]
480.8 :    1 : [17]
481.8 :    1 : [18]
484.5 :    1 : [18]
486.2 :    1 : [12]
487.7 :    2 : [18, 20]
489.6 :    1 : [19]
491.7 :    1 : [6]
493.5 :    1 : [19]
498.1 :    2 : [11, 22]
499.0 :    1 : [9]
499.1 :    1 : [23]
500.5 :    1 : [13]
500.7 :    1 : [22]
502.0 :    1 : [11]
502.1 :    1 : [9]
504.3 :    1 : [13]
504.6 :    1 : [22]
505.3 :    2 : [7, 10]
508.1 :    1 : [7]
509.7 :    1 : [10]
510.8 :    1 : [8]
511.4 :    1 : [16]
512.2 :    1 : [17]
512.9 :    1 : [12]
514.8 :    1 : [8]
