Name: L4 [Glu 1], Title: Raster plot from device '2094', Hist: False
215.9 :    6 : [34, 35, 36, 38, 55, 61]
216.0 :    5 : [54, 56, 57, 58, 59]
216.1 :    4 : [37, 40, 41, 60]
216.2 :    1 : [39]
218.2 :    3 : [35, 38, 55]
218.3 :    6 : [34, 36, 54, 56, 58, 61]
218.4 :    6 : [37, 40, 41, 57, 59, 60]
218.5 :    1 : [39]
220.8 :    2 : [35, 54]
220.9 :    4 : [36, 40, 56, 58]
221.0 :    8 : [34, 37, 38, 41, 55, 57, 60, 61]
221.3 :    1 : [59]
221.4 :    1 : [39]
264.1 :    2 : [35, 36]
264.2 :    1 : [58]
264.8 :    1 : [38]
264.9 :    3 : [39, 55, 60]
265.1 :    1 : [40]
265.2 :    1 : [57]
266.0 :    1 : [54]
266.4 :    1 : [34]
266.9 :    1 : [61]
267.0 :    1 : [37]
267.1 :    1 : [59]
267.2 :    1 : [41]
267.3 :    3 : [36, 38, 56]
267.4 :    1 : [39]
267.6 :    1 : [35]
267.7 :    2 : [55, 57]
267.8 :    1 : [60]
267.9 :    1 : [40]
268.1 :    1 : [58]
268.5 :    1 : [54]
268.8 :    1 : [34]
269.4 :    1 : [59]
269.5 :    1 : [37]
269.6 :    2 : [41, 61]
269.8 :    1 : [56]
270.3 :    1 : [39]
270.9 :    2 : [54, 55]
271.3 :    1 : [57]
272.1 :    2 : [37, 41]
272.4 :    1 : [56]
272.7 :    1 : [61]
302.2 :    1 : [35]
303.2 :    1 : [60]
303.6 :    1 : [36]
304.2 :    1 : [38]
305.2 :    1 : [58]
305.3 :    1 : [40]
306.3 :    1 : [34]
306.9 :    1 : [36]
307.3 :    1 : [59]
307.6 :    1 : [38]
307.7 :    1 : [60]
308.0 :    1 : [40]
308.1 :    1 : [58]
309.0 :    1 : [34]
309.9 :    1 : [59]
311.1 :    1 : [40]
311.2 :    1 : [54]
313.1 :    1 : [57]
313.8 :    1 : [55]
314.8 :    1 : [56]
315.0 :    1 : [39]
317.5 :    1 : [55]
317.6 :    1 : [41]
318.1 :    1 : [61]
318.2 :    2 : [37, 56]
318.3 :    1 : [57]
318.7 :    1 : [39]
320.5 :    1 : [41]
321.1 :    1 : [37]
321.5 :    1 : [61]
326.1 :    1 : [35]
336.3 :    1 : [54]
339.6 :    1 : [54]
340.2 :    1 : [38]
342.5 :    1 : [36]
342.7 :    1 : [34]
344.7 :    1 : [58]
344.9 :    1 : [60]
346.1 :    1 : [36]
347.4 :    1 : [59]
347.6 :    1 : [58]
348.9 :    1 : [60]
349.4 :    1 : [35]
350.2 :    1 : [59]
350.8 :    1 : [40]
352.4 :    1 : [57]
353.0 :    1 : [55]
353.4 :    1 : [59]
354.5 :    1 : [56]
355.9 :    1 : [39]
356.2 :    1 : [55]
356.8 :    1 : [57]
356.9 :    1 : [37]
357.1 :    1 : [61]
358.1 :    1 : [41]
359.2 :    1 : [56]
359.7 :    1 : [39]
360.3 :    1 : [37]
360.7 :    1 : [38]
361.2 :    1 : [41]
361.3 :    1 : [61]
366.9 :    1 : [35]
370.4 :    1 : [34]
373.5 :    1 : [34]
377.2 :    1 : [54]
377.3 :    1 : [40]
380.2 :    1 : [36]
380.5 :    1 : [54]
380.8 :    1 : [40]
381.1 :    1 : [58]
382.9 :    1 : [60]
386.3 :    1 : [38]
387.3 :    1 : [60]
391.9 :    1 : [55]
393.9 :    1 : [35]
394.1 :    1 : [57]
395.9 :    1 : [59]
396.1 :    1 : [56]
396.2 :    2 : [39, 41]
396.4 :    1 : [61]
396.6 :    1 : [37]
396.8 :    1 : [57]
398.3 :    1 : [35]
398.6 :    1 : [59]
399.2 :    1 : [56]
399.4 :    1 : [37]
399.5 :    2 : [39, 41]
399.8 :    1 : [61]
405.5 :    1 : [58]
406.7 :    1 : [36]
408.4 :    1 : [38]
408.8 :    1 : [34]
409.1 :    1 : [58]
410.2 :    1 : [36]
410.7 :    1 : [55]
413.3 :    1 : [34]
417.1 :    1 : [40]
417.6 :    1 : [54]
420.0 :    1 : [40]
420.4 :    1 : [54]
423.5 :    1 : [60]
427.1 :    1 : [60]
431.3 :    1 : [38]
433.2 :    1 : [37]
433.4 :    1 : [57]
433.5 :    1 : [35]
433.8 :    1 : [56]
433.9 :    1 : [41]
434.5 :    1 : [59]
435.2 :    1 : [61]
435.6 :    1 : [39]
436.5 :    2 : [35, 57]
436.7 :    1 : [37]
437.4 :    2 : [56, 59]
437.5 :    1 : [41]
438.0 :    1 : [61]
438.1 :    1 : [55]
