Name: L5 [Glu], Title: Raster plot from device '2096', Hist: False
215.9 :    4 : [66, 67, 69, 72]
216.0 :    2 : [68, 71]
216.1 :    2 : [70, 73]
218.3 :    2 : [67, 72]
218.4 :    3 : [66, 69, 71]
218.5 :    3 : [68, 70, 73]
221.2 :    2 : [68, 69]
221.4 :    3 : [67, 71, 72]
221.5 :    1 : [73]
221.8 :    2 : [66, 70]
265.3 :    1 : [66]
265.5 :    1 : [67]
265.8 :    1 : [68]
266.3 :    1 : [72]
266.6 :    1 : [71]
267.7 :    3 : [69, 70, 73]
268.3 :    1 : [67]
268.7 :    1 : [68]
270.9 :    1 : [73]
271.7 :    1 : [71]
272.6 :    1 : [69]
289.3 :    1 : [66]
290.7 :    1 : [70]
293.3 :    1 : [72]
293.9 :    1 : [70]
294.5 :    1 : [66]
296.2 :    1 : [72]
304.9 :    1 : [67]
306.1 :    1 : [68]
306.8 :    1 : [71]
307.0 :    1 : [69]
308.3 :    1 : [73]
309.3 :    2 : [68, 71]
310.1 :    2 : [67, 69]
311.0 :    1 : [73]
312.6 :    1 : [68]
329.4 :    1 : [66]
329.5 :    1 : [70]
329.8 :    1 : [72]
344.6 :    1 : [67]
347.3 :    1 : [69]
347.4 :    1 : [73]
347.7 :    1 : [71]
348.0 :    1 : [67]
350.6 :    1 : [69]
350.7 :    1 : [71]
352.4 :    1 : [73]
354.4 :    1 : [66]
354.5 :    1 : [70]
355.5 :    1 : [68]
357.0 :    1 : [72]
358.6 :    1 : [66]
359.0 :    1 : [70]
359.9 :    1 : [68]
382.8 :    1 : [72]
384.5 :    1 : [67]
385.7 :    2 : [69, 72]
386.1 :    1 : [73]
387.0 :    1 : [71]
389.5 :    1 : [67]
389.8 :    1 : [71]
391.5 :    1 : [73]
394.1 :    1 : [70]
395.4 :    1 : [66]
395.8 :    1 : [68]
397.3 :    1 : [70]
398.8 :    2 : [66, 68]
407.8 :    1 : [69]
419.3 :    1 : [72]
424.7 :    1 : [67]
427.9 :    1 : [71]
428.9 :    1 : [67]
429.4 :    1 : [73]
431.1 :    1 : [71]
431.4 :    1 : [70]
432.2 :    1 : [73]
434.9 :    1 : [70]
435.4 :    1 : [68]
435.7 :    1 : [66]
437.2 :    1 : [69]
438.4 :    1 : [68]
438.8 :    1 : [66]
440.4 :    1 : [69]
444.5 :    1 : [72]
449.2 :    1 : [72]
463.3 :    1 : [67]
467.0 :    1 : [67]
467.3 :    1 : [73]
468.7 :    1 : [71]
469.3 :    1 : [70]
471.2 :    1 : [73]
472.1 :    1 : [71]
473.8 :    1 : [70]
474.7 :    1 : [68]
474.8 :    2 : [66, 69]
478.3 :    1 : [68]
478.8 :    1 : [66]
478.9 :    1 : [69]
485.2 :    1 : [72]
499.5 :    1 : [67]
509.3 :    1 : [73]
509.4 :    1 : [70]
510.0 :    1 : [71]
511.9 :    1 : [73]
512.3 :    1 : [72]
512.4 :    1 : [70]
512.7 :    1 : [71]
