Name: GPi [GABA], Title: Raster plot from device '2474', Hist: False
 15.3 :    1 : [295]
 15.4 :    9 : [291, 292, 293, 294, 296, 297, 298, 299, 300]
 17.5 :    8 : [291, 292, 293, 294, 295, 296, 298, 299]
 17.6 :    2 : [297, 300]
 19.9 :    1 : [296]
 20.0 :    2 : [292, 299]
 20.1 :    3 : [291, 295, 298]
 20.2 :    1 : [294]
 20.3 :    1 : [293]
 22.0 :    1 : [300]
173.6 :    1 : [296]
173.8 :    2 : [295, 299]
174.3 :    1 : [293]
218.6 :    1 : [294]
218.7 :    1 : [292]
219.1 :    1 : [300]
219.2 :    2 : [291, 295]
219.4 :    1 : [293]
219.5 :    1 : [298]
219.6 :    1 : [299]
219.7 :    1 : [296]
221.5 :    1 : [292]
221.8 :    1 : [291]
221.9 :    1 : [297]
222.0 :    1 : [300]
