Name: Striatum [D1], Title: Raster plot from device '5456', Hist: False
214.1 :    1 : [883]
214.2 :    2 : [947, 982]
214.3 :    3 : [888, 895, 902]
214.5 :    1 : [892]
214.6 :    1 : [887]
214.7 :    2 : [913, 959]
214.8 :    2 : [891, 907]
214.9 :    4 : [910, 925, 948, 969]
215.0 :    5 : [918, 951, 957, 966, 978]
215.1 :    4 : [884, 944, 949, 970]
215.2 :    4 : [952, 954, 971, 975]
215.3 :    5 : [906, 921, 923, 933, 973]
215.4 :    2 : [934, 964]
215.5 :    1 : [926]
215.6 :    1 : [937]
215.7 :    1 : [908]
215.8 :    1 : [916]
215.9 :    2 : [889, 919]
216.1 :    3 : [915, 930, 958]
216.2 :    2 : [900, 927]
216.3 :    2 : [901, 939]
216.4 :    8 : [897, 903, 914, 928, 938, 942, 963, 976]
216.5 :    4 : [883, 893, 917, 974]
216.6 :   11 : [886, 898, 909, 922, 932, 936, 941, 947, 955, 956, 982]
216.7 :    8 : [888, 895, 899, 902, 935, 945, 972, 977]
216.8 :    5 : [885, 940, 946, 979, 981]
216.9 :    8 : [892, 912, 943, 950, 953, 960, 962, 967]
217.0 :    1 : [887]
217.1 :    5 : [913, 920, 959, 961, 980]
217.2 :    3 : [891, 907, 929]
217.3 :    6 : [910, 911, 925, 948, 968, 969]
217.4 :    9 : [884, 918, 944, 949, 951, 957, 966, 970, 978]
217.6 :    6 : [905, 952, 954, 971, 973, 975]
217.7 :    5 : [906, 921, 923, 933, 965]
217.8 :    2 : [934, 964]
217.9 :    2 : [926, 937]
218.0 :    1 : [924]
218.1 :    1 : [908]
218.2 :    4 : [890, 904, 916, 931]
218.3 :    2 : [889, 919]
218.4 :    1 : [930]
218.5 :    1 : [958]
218.6 :    4 : [883, 900, 915, 927]
218.7 :    4 : [901, 939, 947, 982]
218.8 :   11 : [888, 895, 897, 902, 903, 914, 928, 938, 942, 963, 976]
218.9 :   13 : [886, 893, 894, 898, 909, 917, 922, 932, 936, 941, 955, 956, 974]
219.0 :    1 : [892]
219.1 :    6 : [887, 899, 935, 945, 972, 977]
219.2 :    8 : [885, 896, 913, 940, 946, 959, 979, 981]
219.3 :    9 : [891, 907, 912, 943, 950, 953, 960, 962, 967]
219.4 :    6 : [910, 920, 925, 948, 969, 980]
219.5 :   10 : [884, 918, 944, 949, 951, 957, 961, 966, 970, 978]
219.6 :    1 : [929]
219.7 :    7 : [911, 952, 954, 968, 971, 973, 975]
219.8 :    4 : [906, 921, 923, 933]
219.9 :    2 : [934, 964]
220.0 :    3 : [905, 926, 937]
220.1 :    1 : [965]
220.2 :    1 : [908]
220.3 :    1 : [916]
220.4 :    3 : [889, 919, 924]
220.5 :    1 : [930]
220.6 :    4 : [890, 904, 931, 958]
220.7 :    4 : [883, 900, 915, 927]
220.8 :    4 : [901, 939, 947, 982]
220.9 :   11 : [888, 895, 897, 902, 903, 914, 928, 938, 942, 963, 976]
221.0 :   12 : [886, 893, 898, 909, 917, 922, 932, 936, 941, 955, 956, 974]
221.1 :    1 : [892]
221.2 :    6 : [887, 899, 935, 945, 972, 977]
221.3 :    8 : [885, 894, 913, 940, 946, 959, 979, 981]
221.4 :    9 : [891, 907, 912, 943, 950, 953, 960, 962, 967]
221.5 :    6 : [910, 920, 925, 948, 969, 980]
