Name: Striatum [D2], Title: Raster plot from device '5457', Hist: False
 19.7 :    1 : [1113]
 20.1 :    1 : [1107]
 20.2 :    1 : [1025]
 20.3 :    1 : [1071]
 20.4 :    1 : [1042]
 20.5 :    2 : [1060, 1076]
 20.6 :    8 : [1030, 1040, 1062, 1073, 1087, 1088, 1092, 1095]
 20.7 :    6 : [1049, 1064, 1066, 1070, 1086, 1091]
 20.8 :   10 : [1029, 1037, 1057, 1067, 1077, 1083, 1096, 1102, 1104, 1112]
 20.9 :    4 : [1033, 1069, 1108, 1111]
 21.0 :    4 : [1041, 1044, 1085, 1105]
 21.1 :    7 : [1039, 1065, 1078, 1079, 1109, 1110, 1119]
 21.2 :    5 : [1046, 1053, 1082, 1084, 1098]
 21.3 :    3 : [1035, 1048, 1080]
 21.4 :    5 : [1045, 1052, 1054, 1055, 1101]
 21.5 :    4 : [1024, 1072, 1093, 1103]
 21.6 :    3 : [1043, 1051, 1099]
 21.7 :    6 : [1031, 1032, 1038, 1056, 1089, 1121]
 21.8 :    7 : [1023, 1028, 1058, 1059, 1068, 1100, 1106]
 21.9 :    1 : [1061]
 22.0 :    6 : [1050, 1081, 1114, 1115, 1117, 1118]
 22.1 :    6 : [1026, 1036, 1074, 1094, 1113, 1120]
 22.2 :    1 : [1090]
 22.3 :    3 : [1027, 1047, 1116]
 22.5 :    2 : [1063, 1075]
 22.6 :    1 : [1107]
 22.7 :    2 : [1025, 1034]
 22.8 :    1 : [1071]
 22.9 :    4 : [1042, 1060, 1076, 1097]
 23.0 :    1 : [1022]
 23.1 :    3 : [1066, 1088, 1095]
 23.2 :   17 : [1029, 1030, 1040, 1049, 1057, 1062, 1064, 1067, 1070, 1073, 1077, 1086, 1087, 1091, 1092, 1104, 1112]
 23.3 :    4 : [1037, 1083, 1096, 1102]
 23.4 :    7 : [1033, 1041, 1044, 1069, 1105, 1108, 1111]
 23.5 :    4 : [1078, 1079, 1109, 1110]
 23.6 :    9 : [1039, 1046, 1053, 1065, 1082, 1084, 1085, 1098, 1119]
 23.7 :    1 : [1080]
