Name: Motor cortex [Glu1], Title: Raster plot from device '20338', Hist: False
270.8 :    2 : [1805, 1835]
270.9 :    1 : [1759]
271.0 :    3 : [1767, 1772, 1791]
271.1 :    4 : [1773, 1780, 1794, 1824]
271.2 :   17 : [1751, 1755, 1760, 1766, 1776, 1782, 1783, 1788, 1803, 1804, 1806, 1807, 1815, 1825, 1827, 1844, 1849]
271.3 :   11 : [1754, 1763, 1775, 1779, 1786, 1808, 1814, 1821, 1823, 1838, 1840]
271.4 :   21 : [1752, 1756, 1758, 1761, 1768, 1769, 1770, 1774, 1792, 1796, 1798, 1811, 1813, 1830, 1831, 1832, 1837, 1839, 1842, 1843, 1848]
271.5 :   16 : [1757, 1764, 1771, 1777, 1787, 1789, 1793, 1799, 1800, 1819, 1826, 1828, 1833, 1834, 1836, 1846]
271.6 :   11 : [1753, 1778, 1784, 1785, 1795, 1797, 1817, 1818, 1841, 1845, 1847]
271.7 :    9 : [1762, 1765, 1790, 1802, 1809, 1810, 1812, 1816, 1822]
271.8 :    3 : [1750, 1781, 1829]
272.1 :    2 : [1801, 1820]
273.1 :    1 : [1835]
273.2 :    1 : [1805]
273.3 :    4 : [1759, 1767, 1772, 1791]
273.4 :    4 : [1773, 1780, 1794, 1824]
273.5 :   18 : [1751, 1755, 1760, 1763, 1766, 1776, 1782, 1783, 1788, 1803, 1804, 1806, 1807, 1815, 1825, 1827, 1844, 1849]
273.6 :   12 : [1754, 1775, 1779, 1786, 1796, 1808, 1814, 1821, 1823, 1838, 1840, 1848]
273.7 :   21 : [1752, 1756, 1758, 1761, 1768, 1769, 1770, 1774, 1787, 1792, 1793, 1798, 1811, 1813, 1830, 1831, 1832, 1837, 1839, 1842, 1843]
273.8 :   19 : [1753, 1757, 1764, 1771, 1777, 1784, 1789, 1795, 1799, 1800, 1817, 1819, 1826, 1828, 1833, 1834, 1836, 1846, 1847]
273.9 :   11 : [1762, 1765, 1778, 1785, 1797, 1802, 1810, 1812, 1818, 1841, 1845]
274.0 :    4 : [1790, 1809, 1816, 1822]
274.1 :    3 : [1750, 1781, 1829]
274.3 :    1 : [1820]
274.4 :    1 : [1801]
275.2 :    1 : [1835]
275.3 :    1 : [1805]
275.4 :    4 : [1759, 1767, 1772, 1791]
275.5 :    4 : [1773, 1780, 1794, 1824]
275.6 :   18 : [1751, 1755, 1760, 1763, 1766, 1776, 1782, 1783, 1788, 1803, 1804, 1806, 1807, 1815, 1825, 1827, 1844, 1849]
275.7 :   12 : [1754, 1775, 1779, 1786, 1796, 1808, 1814, 1821, 1823, 1838, 1840, 1848]
275.8 :   21 : [1752, 1756, 1758, 1761, 1768, 1769, 1770, 1774, 1787, 1792, 1793, 1798, 1811, 1813, 1830, 1831, 1832, 1837, 1839, 1842, 1843]
275.9 :   19 : [1753, 1757, 1764, 1771, 1777, 1784, 1789, 1795, 1799, 1800, 1817, 1819, 1826, 1828, 1833, 1834, 1836, 1846, 1847]
276.0 :   11 : [1762, 1765, 1778, 1785, 1797, 1802, 1810, 1812, 1818, 1841, 1845]
276.1 :    4 : [1790, 1809, 1816, 1822]
276.2 :    3 : [1750, 1781, 1829]
276.4 :    1 : [1820]
276.5 :    1 : [1801]
277.3 :    1 : [1835]
277.4 :    1 : [1805]
277.5 :    4 : [1759, 1767, 1772, 1791]
277.6 :    4 : [1773, 1780, 1794, 1824]
277.7 :   18 : [1751, 1755, 1760, 1763, 1766, 1776, 1782, 1783, 1788, 1803, 1804, 1806, 1807, 1815, 1825, 1827, 1844, 1849]
277.8 :   12 : [1754, 1775, 1779, 1786, 1796, 1808, 1814, 1821, 1823, 1838, 1840, 1848]
277.9 :   21 : [1752, 1756, 1758, 1761, 1768, 1769, 1770, 1774, 1787, 1792, 1793, 1798, 1811, 1813, 1830, 1831, 1832, 1837, 1839, 1842, 1843]
278.0 :   19 : [1753, 1757, 1764, 1771, 1777, 1784, 1789, 1795, 1799, 1800, 1817, 1819, 1826, 1828, 1833, 1834, 1836, 1846, 1847]
278.1 :   11 : [1762, 1765, 1778, 1785, 1797, 1802, 1810, 1812, 1818, 1841, 1845]
278.2 :    4 : [1790, 1809, 1816, 1822]
278.3 :    3 : [1750, 1781, 1829]
278.5 :    1 : [1820]
278.6 :    1 : [1801]
279.4 :    1 : [1835]
279.5 :    1 : [1805]
279.6 :    4 : [1759, 1767, 1772, 1791]
279.7 :    4 : [1773, 1780, 1794, 1824]
279.8 :   18 : [1751, 1755, 1760, 1763, 1766, 1776, 1782, 1783, 1788, 1803, 1804, 1806, 1807, 1815, 1825, 1827, 1844, 1849]
279.9 :   12 : [1754, 1775, 1779, 1786, 1796, 1808, 1814, 1821, 1823, 1838, 1840, 1848]
280.0 :   21 : [1752, 1756, 1758, 1761, 1768, 1769, 1770, 1774, 1787, 1792, 1793, 1798, 1811, 1813, 1830, 1831, 1832, 1837, 1839, 1842, 1843]
