Name: NAc [GABA1], Title: Raster plot from device '20318', Hist: False
215.5 :    2 : [322, 327]
215.6 :    2 : [325, 326]
215.7 :    3 : [323, 324, 328]
215.8 :    2 : [321, 330]
215.9 :    1 : [329]
217.8 :    1 : [322]
217.9 :    1 : [327]
218.1 :    2 : [324, 330]
218.2 :    4 : [321, 323, 325, 328]
218.3 :    1 : [326]
218.5 :    1 : [329]
219.9 :    1 : [322]
220.0 :    1 : [327]
220.2 :    2 : [324, 330]
220.3 :    4 : [321, 323, 325, 328]
220.5 :    1 : [326]
220.6 :    1 : [329]
222.0 :    1 : [322]
222.1 :    1 : [327]
222.3 :    2 : [324, 330]
222.4 :    4 : [321, 323, 325, 328]
222.6 :    1 : [326]
222.7 :    1 : [329]
224.1 :    1 : [322]
224.2 :    1 : [327]
224.4 :    2 : [324, 330]
224.5 :    4 : [321, 323, 325, 328]
224.7 :    1 : [326]
224.8 :    1 : [329]
226.2 :    1 : [322]
226.3 :    1 : [327]
226.5 :    2 : [324, 330]
226.6 :    4 : [321, 323, 325, 328]
226.8 :    1 : [326]
226.9 :    1 : [329]
228.3 :    1 : [322]
228.4 :    1 : [327]
228.6 :    2 : [324, 330]
228.7 :    4 : [321, 323, 325, 328]
228.9 :    1 : [326]
229.0 :    1 : [329]
230.4 :    1 : [322]
230.5 :    1 : [327]
230.7 :    2 : [324, 330]
230.8 :    4 : [321, 323, 325, 328]
231.0 :    1 : [326]
231.1 :    1 : [329]
232.5 :    1 : [322]
232.6 :    1 : [327]
232.8 :    2 : [324, 330]
232.9 :    4 : [321, 323, 325, 328]
233.2 :    2 : [326, 329]
234.6 :    1 : [322]
234.7 :    1 : [327]
234.9 :    2 : [324, 330]
235.0 :    4 : [321, 323, 325, 328]
235.3 :    2 : [326, 329]
236.7 :    1 : [322]
236.8 :    1 : [327]
237.0 :    2 : [324, 330]
237.1 :    4 : [321, 323, 325, 328]
237.5 :    1 : [329]
237.9 :    1 : [326]
238.8 :    1 : [322]
238.9 :    1 : [327]
239.1 :    2 : [324, 330]
239.2 :    4 : [321, 323, 325, 328]
239.6 :    1 : [329]
240.0 :    1 : [326]
240.9 :    1 : [322]
241.0 :    1 : [327]
241.2 :    2 : [324, 330]
241.3 :    3 : [321, 325, 328]
242.4 :    1 : [323]
242.8 :    1 : [329]
242.9 :    1 : [326]
243.0 :    1 : [322]
243.1 :    1 : [327]
243.3 :    2 : [324, 330]
243.4 :    3 : [321, 325, 328]
244.9 :    1 : [329]
245.0 :    2 : [323, 326]
245.1 :    1 : [322]
245.2 :    1 : [327]
245.4 :    1 : [330]
245.5 :    1 : [324]
245.6 :    1 : [321]
245.8 :    1 : [325]
247.3 :    1 : [323]
248.2 :    1 : [321]
248.6 :    1 : [325]
248.7 :    1 : [322]
248.9 :    3 : [327, 329, 330]
249.3 :    1 : [324]
249.4 :    1 : [323]
249.5 :    1 : [326]
250.3 :    1 : [321]
250.8 :    1 : [325]
251.0 :    3 : [322, 327, 329]
251.1 :    1 : [330]
251.6 :    2 : [323, 326]
253.6 :    1 : [325]
253.7 :    1 : [321]
254.1 :    1 : [323]
254.2 :    1 : [322]
255.9 :    3 : [321, 325, 326]
256.4 :    2 : [323, 330]
256.5 :    1 : [322]
258.3 :    1 : [321]
258.6 :    1 : [323]
258.7 :    1 : [330]
259.5 :    1 : [322]
260.1 :    1 : [325]
260.4 :    1 : [321]
260.7 :    1 : [323]
261.6 :    1 : [322]
263.2 :    1 : [325]
263.8 :    1 : [321]
266.0 :    1 : [321]
266.3 :    1 : [323]
266.6 :    1 : [322]
268.1 :    1 : [321]
268.6 :    1 : [323]
268.7 :    1 : [322]
270.6 :    1 : [321]
271.2 :    1 : [323]
272.5 :    1 : [322]
272.7 :    1 : [321]
274.9 :    1 : [321]
275.2 :    1 : [323]
275.6 :    1 : [322]
277.4 :    1 : [321]
278.3 :    1 : [322]
282.4 :    1 : [323]
