Name: Thalamus [Glu], Title: Raster plot from device '20337', Hist: False
268.0 :    1 : [1403]
268.1 :    1 : [1317]
268.9 :    1 : [1332]
269.2 :    1 : [1314]
269.4 :    1 : [1330]
269.6 :    2 : [1315, 1408]
269.7 :    1 : [1393]
269.8 :    2 : [1312, 1409]
269.9 :    1 : [1401]
270.2 :    1 : [1358]
270.3 :    1 : [1384]
270.5 :    1 : [1318]
270.6 :    2 : [1317, 1403]
270.7 :    1 : [1354]
270.8 :    2 : [1399, 1411]
271.2 :    1 : [1367]
271.4 :    2 : [1332, 1357]
271.7 :    2 : [1314, 1344]
271.8 :    6 : [1320, 1333, 1351, 1353, 1364, 1378]
271.9 :    6 : [1313, 1330, 1377, 1382, 1387, 1392]
272.0 :    2 : [1368, 1380]
272.1 :    1 : [1315]
272.2 :    2 : [1393, 1408]
272.3 :    4 : [1312, 1338, 1372, 1409]
272.4 :    4 : [1343, 1345, 1361, 1401]
272.5 :    3 : [1342, 1350, 1402]
272.7 :    5 : [1317, 1325, 1358, 1390, 1403]
272.8 :    1 : [1384]
272.9 :    1 : [1339]
273.0 :    3 : [1318, 1326, 1359]
273.1 :    2 : [1319, 1352]
273.2 :    3 : [1336, 1349, 1354]
273.3 :    3 : [1375, 1398, 1411]
273.4 :    1 : [1399]
273.5 :    4 : [1332, 1370, 1395, 1405]
273.6 :    2 : [1356, 1394]
273.7 :    2 : [1337, 1360]
273.8 :    3 : [1314, 1367, 1383]
273.9 :    2 : [1357, 1373]
274.0 :    3 : [1330, 1379, 1388]
274.1 :    2 : [1347, 1363]
274.2 :    4 : [1315, 1335, 1344, 1374]
274.3 :    6 : [1331, 1333, 1353, 1378, 1393, 1408]
274.4 :   10 : [1312, 1313, 1320, 1323, 1351, 1364, 1377, 1382, 1387, 1409]
274.5 :    3 : [1380, 1392, 1401]
274.6 :    1 : [1368]
274.7 :    2 : [1386, 1407]
274.8 :    4 : [1317, 1358, 1372, 1403]
274.9 :    5 : [1338, 1341, 1348, 1361, 1384]
275.0 :    5 : [1342, 1343, 1345, 1365, 1396]
275.1 :    3 : [1318, 1350, 1402]
275.2 :    4 : [1325, 1369, 1390, 1410]
275.3 :    2 : [1340, 1354]
275.4 :    3 : [1324, 1339, 1411]
275.5 :    4 : [1326, 1359, 1376, 1399]
275.6 :    3 : [1319, 1332, 1397]
275.7 :    3 : [1336, 1349, 1352]
275.8 :    2 : [1375, 1398]
275.9 :    2 : [1314, 1367]
276.0 :    2 : [1357, 1400]
276.1 :    6 : [1330, 1356, 1370, 1394, 1395, 1405]
276.2 :    2 : [1337, 1360]
276.3 :    5 : [1315, 1316, 1327, 1328, 1344]
276.4 :    9 : [1322, 1333, 1353, 1371, 1378, 1381, 1383, 1393, 1408]
276.5 :   13 : [1312, 1313, 1320, 1351, 1355, 1364, 1373, 1377, 1379, 1382, 1387, 1388, 1409]
276.6 :    5 : [1347, 1363, 1380, 1392, 1401]
276.7 :    3 : [1335, 1368, 1374]
276.8 :    1 : [1321]
276.9 :    8 : [1317, 1323, 1331, 1346, 1358, 1372, 1389, 1403]
277.0 :    4 : [1338, 1361, 1384, 1385]
277.1 :    4 : [1342, 1343, 1345, 1391]
277.2 :    6 : [1318, 1334, 1350, 1386, 1402, 1407]
277.3 :    3 : [1325, 1390, 1404]
277.4 :    4 : [1341, 1348, 1354, 1362]
277.5 :    4 : [1339, 1365, 1396, 1411]
277.6 :    4 : [1326, 1329, 1359, 1399]
277.7 :    3 : [1319, 1332, 1406]
277.8 :    5 : [1336, 1349, 1352, 1369, 1410]
277.9 :    4 : [1324, 1340, 1375, 1398]
278.0 :    2 : [1314, 1367]
278.1 :    2 : [1357, 1376]
278.2 :    7 : [1330, 1356, 1370, 1394, 1395, 1397, 1405]
278.3 :    2 : [1337, 1360]
278.4 :    2 : [1315, 1344]
278.5 :    8 : [1333, 1353, 1366, 1378, 1383, 1393, 1400, 1408]
278.6 :   12 : [1312, 1313, 1320, 1351, 1364, 1373, 1377, 1379, 1382, 1387, 1388, 1409]
278.7 :    5 : [1347, 1363, 1380, 1392, 1401]
278.8 :    6 : [1316, 1327, 1328, 1335, 1368, 1374]
278.9 :    2 : [1322, 1371]
279.0 :    8 : [1317, 1323, 1331, 1355, 1358, 1372, 1381, 1403]
279.1 :    3 : [1338, 1361, 1384]
279.2 :    3 : [1342, 1343, 1345]
279.3 :    6 : [1318, 1321, 1350, 1386, 1402, 1407]
279.4 :    4 : [1325, 1346, 1389, 1390]
279.5 :    4 : [1341, 1348, 1354, 1385]
279.6 :    5 : [1339, 1365, 1391, 1396, 1411]
279.7 :    4 : [1326, 1334, 1359, 1399]
279.8 :    3 : [1319, 1332, 1404]
279.9 :    6 : [1336, 1349, 1352, 1362, 1369, 1410]
280.0 :    4 : [1324, 1340, 1375, 1398]
280.1 :    3 : [1314, 1329, 1367]
280.2 :    2 : [1357, 1376]
280.3 :    8 : [1330, 1356, 1370, 1394, 1395, 1397, 1405, 1406]
280.4 :    2 : [1337, 1360]
280.5 :    2 : [1315, 1344]
280.6 :    7 : [1333, 1353, 1378, 1383, 1393, 1400, 1408]
280.7 :   12 : [1312, 1313, 1320, 1351, 1364, 1373, 1377, 1379, 1382, 1387, 1388, 1409]
280.8 :    5 : [1347, 1363, 1380, 1392, 1401]
280.9 :    6 : [1316, 1327, 1328, 1335, 1368, 1374]
281.0 :    3 : [1322, 1366, 1371]
281.1 :    8 : [1317, 1323, 1331, 1355, 1358, 1372, 1381, 1403]
281.2 :    3 : [1338, 1361, 1384]
281.3 :    3 : [1342, 1343, 1345]
281.4 :    6 : [1318, 1321, 1350, 1386, 1402, 1407]
281.5 :    4 : [1325, 1346, 1389, 1390]
281.6 :    4 : [1341, 1348, 1354, 1385]
281.7 :    5 : [1339, 1365, 1391, 1396, 1411]
281.8 :    4 : [1326, 1334, 1359, 1399]
281.9 :    3 : [1319, 1332, 1404]
282.0 :    6 : [1336, 1349, 1352, 1362, 1369, 1410]
282.1 :    4 : [1324, 1340, 1375, 1398]
282.2 :    3 : [1314, 1329, 1367]
282.3 :    2 : [1357, 1376]
282.4 :    8 : [1330, 1356, 1370, 1394, 1395, 1397, 1405, 1406]
282.5 :    2 : [1337, 1360]
282.6 :    2 : [1315, 1344]
282.7 :    7 : [1333, 1353, 1378, 1383, 1393, 1400, 1408]
282.8 :   12 : [1312, 1313, 1320, 1351, 1364, 1373, 1377, 1379, 1382, 1387, 1388, 1409]
282.9 :    5 : [1347, 1363, 1380, 1392, 1401]
283.0 :    6 : [1316, 1327, 1328, 1335, 1368, 1374]
283.1 :    3 : [1322, 1366, 1371]
283.2 :    8 : [1317, 1323, 1331, 1355, 1358, 1372, 1381, 1403]
283.3 :    3 : [1338, 1361, 1384]
283.4 :    3 : [1342, 1343, 1345]
283.5 :    6 : [1318, 1321, 1350, 1386, 1402, 1407]
283.6 :    4 : [1325, 1346, 1389, 1390]
283.7 :    4 : [1341, 1348, 1354, 1385]
283.8 :    5 : [1339, 1365, 1391, 1396, 1411]
283.9 :    4 : [1326, 1334, 1359, 1399]
284.0 :    3 : [1319, 1332, 1404]
284.1 :    6 : [1336, 1349, 1352, 1362, 1369, 1410]
284.2 :    4 : [1324, 1340, 1375, 1398]
284.3 :    3 : [1314, 1329, 1367]
284.4 :    2 : [1357, 1376]
284.5 :    8 : [1330, 1356, 1370, 1394, 1395, 1397, 1405, 1406]
284.6 :    2 : [1337, 1360]
284.7 :    2 : [1315, 1344]
284.8 :    7 : [1333, 1353, 1378, 1383, 1393, 1400, 1408]
284.9 :   12 : [1312, 1313, 1320, 1351, 1364, 1373, 1377, 1379, 1382, 1387, 1388, 1409]
285.0 :    5 : [1347, 1363, 1380, 1392, 1401]
285.1 :    6 : [1316, 1327, 1328, 1335, 1368, 1374]
285.2 :    3 : [1322, 1366, 1371]
285.3 :    8 : [1317, 1323, 1331, 1355, 1358, 1372, 1381, 1403]
285.4 :    3 : [1338, 1361, 1384]
285.5 :    3 : [1342, 1343, 1345]
285.6 :    6 : [1318, 1321, 1350, 1386, 1402, 1407]
285.7 :    4 : [1325, 1346, 1389, 1390]
285.8 :    4 : [1341, 1348, 1354, 1385]
285.9 :    5 : [1339, 1365, 1391, 1396, 1411]
286.0 :    4 : [1326, 1334, 1359, 1399]
286.1 :    3 : [1319, 1332, 1404]
286.2 :    6 : [1336, 1349, 1352, 1362, 1369, 1410]
286.3 :    4 : [1324, 1340, 1375, 1398]
286.4 :    3 : [1314, 1329, 1367]
286.5 :    2 : [1357, 1376]
286.6 :    8 : [1330, 1356, 1370, 1394, 1395, 1397, 1405, 1406]
286.7 :    2 : [1337, 1360]
286.8 :    2 : [1315, 1344]
286.9 :    7 : [1333, 1353, 1378, 1383, 1393, 1400, 1408]
287.0 :   12 : [1312, 1313, 1320, 1351, 1364, 1373, 1377, 1379, 1382, 1387, 1388, 1409]
287.1 :    5 : [1347, 1363, 1380, 1392, 1401]
287.2 :    6 : [1316, 1327, 1328, 1335, 1368, 1374]
287.3 :    3 : [1322, 1366, 1371]
287.4 :    8 : [1317, 1323, 1331, 1355, 1358, 1372, 1381, 1403]
287.5 :    3 : [1338, 1361, 1384]
287.6 :    3 : [1342, 1343, 1345]
287.7 :    6 : [1318, 1321, 1350, 1386, 1402, 1407]
287.8 :    4 : [1325, 1346, 1389, 1390]
287.9 :    4 : [1341, 1348, 1354, 1385]
288.0 :    5 : [1339, 1365, 1391, 1396, 1411]
288.1 :    4 : [1326, 1334, 1359, 1399]
288.2 :    3 : [1319, 1332, 1404]
288.3 :    6 : [1336, 1349, 1352, 1362, 1369, 1410]
288.4 :    4 : [1324, 1340, 1375, 1398]
288.5 :    3 : [1314, 1329, 1367]
288.6 :    2 : [1357, 1376]
288.7 :    8 : [1330, 1356, 1370, 1394, 1395, 1397, 1405, 1406]
288.8 :    2 : [1337, 1360]
288.9 :    2 : [1315, 1344]
289.0 :    7 : [1333, 1353, 1378, 1383, 1393, 1400, 1408]
289.1 :   12 : [1312, 1313, 1320, 1351, 1364, 1373, 1377, 1379, 1382, 1387, 1388, 1409]
289.2 :    5 : [1347, 1363, 1380, 1392, 1401]
289.3 :    6 : [1316, 1327, 1328, 1335, 1368, 1374]
289.4 :    3 : [1322, 1366, 1371]
289.5 :    8 : [1317, 1323, 1331, 1355, 1358, 1372, 1381, 1403]
289.6 :    3 : [1338, 1361, 1384]
289.7 :    3 : [1342, 1343, 1345]
289.8 :    6 : [1318, 1321, 1350, 1386, 1402, 1407]
289.9 :    4 : [1325, 1346, 1389, 1390]
290.0 :    4 : [1341, 1348, 1354, 1385]
290.1 :    5 : [1339, 1365, 1391, 1396, 1411]
