Name: NAc [GABA1], Title: Raster plot from device '20318', Hist: False
215.4 :    3 : [322, 325, 327]
215.5 :    3 : [323, 326, 328]
215.6 :    3 : [321, 324, 330]
215.8 :    1 : [329]
217.7 :    1 : [322]
217.8 :    5 : [323, 324, 325, 327, 328]
217.9 :    2 : [321, 330]
218.0 :    1 : [326]
218.1 :    1 : [329]
219.8 :    1 : [322]
219.9 :    5 : [323, 324, 325, 327, 328]
220.0 :    2 : [321, 330]
220.1 :    1 : [326]
220.2 :    1 : [329]
221.9 :    1 : [322]
222.0 :    5 : [323, 324, 325, 327, 328]
222.1 :    2 : [321, 330]
222.2 :    1 : [326]
222.3 :    1 : [329]
224.0 :    1 : [322]
224.1 :    5 : [323, 324, 325, 327, 328]
224.2 :    2 : [321, 330]
224.3 :    1 : [326]
224.4 :    1 : [329]
226.1 :    1 : [322]
226.2 :    5 : [323, 324, 325, 327, 328]
226.3 :    2 : [321, 330]
226.4 :    1 : [326]
226.5 :    1 : [329]
228.2 :    1 : [322]
228.3 :    5 : [323, 324, 325, 327, 328]
228.4 :    2 : [321, 330]
228.5 :    1 : [326]
228.6 :    1 : [329]
230.3 :    1 : [322]
230.4 :    5 : [323, 324, 325, 327, 328]
230.5 :    2 : [321, 330]
230.6 :    1 : [326]
230.7 :    1 : [329]
232.4 :    1 : [322]
232.5 :    5 : [323, 324, 325, 327, 328]
232.6 :    2 : [321, 330]
232.9 :    1 : [329]
233.4 :    1 : [326]
234.5 :    1 : [322]
234.6 :    5 : [323, 324, 325, 327, 328]
234.7 :    2 : [321, 330]
235.0 :    1 : [329]
235.5 :    1 : [326]
236.6 :    1 : [322]
236.7 :    5 : [323, 324, 325, 327, 328]
236.8 :    2 : [321, 330]
246.7 :    1 : [323]
248.8 :    1 : [323]
251.1 :    1 : [323]
