Name: Striatum [D2], Title: Raster plot from device '20340', Hist: False
 16.0 :    4 : [2829, 2850, 2895, 2913]
 16.1 :   34 : [2819, 2820, 2822, 2824, 2827, 2828, 2831, 2832, 2834, 2836, 2841, 2845, 2848, 2849, 2856, 2866, 2871, 2876, 2880, 2883, 2886, 2888, 2890, 2891, 2896, 2897, 2898, 2900, 2901, 2902, 2903, 2904, 2912, 2914]
 16.2 :   39 : [2821, 2825, 2826, 2833, 2837, 2838, 2842, 2846, 2847, 2852, 2857, 2858, 2860, 2861, 2863, 2864, 2865, 2867, 2872, 2873, 2875, 2877, 2878, 2879, 2881, 2884, 2885, 2887, 2889, 2892, 2894, 2906, 2907, 2908, 2909, 2910, 2911, 2916, 2917]
 16.3 :   23 : [2818, 2823, 2830, 2835, 2839, 2840, 2843, 2844, 2851, 2853, 2854, 2855, 2859, 2862, 2868, 2869, 2870, 2874, 2882, 2893, 2899, 2905, 2915]
 18.6 :    1 : [2829]
 18.7 :   19 : [2820, 2828, 2831, 2832, 2836, 2845, 2848, 2849, 2850, 2866, 2871, 2880, 2895, 2896, 2898, 2901, 2902, 2903, 2912]
 18.8 :   14 : [2819, 2822, 2824, 2827, 2834, 2876, 2886, 2888, 2890, 2891, 2897, 2904, 2913, 2914]
 18.9 :    4 : [2855, 2856, 2883, 2900]
 19.0 :   12 : [2818, 2839, 2840, 2841, 2843, 2844, 2851, 2859, 2868, 2874, 2899, 2915]
 19.1 :    8 : [2823, 2853, 2854, 2862, 2869, 2882, 2893, 2905]
 19.3 :    3 : [2830, 2835, 2870]
 19.8 :    1 : [2911]
 19.9 :    1 : [2864]
 20.0 :    2 : [2877, 2894]
 20.1 :    2 : [2885, 2887]
 20.2 :    3 : [2821, 2852, 2865]
 20.5 :    2 : [2872, 2908]
 54.1 :    1 : [2847]
 56.8 :    1 : [2847]
 57.4 :    1 : [2826]
 59.7 :    1 : [2846]
 60.1 :    1 : [2826]
 62.2 :    1 : [2909]
 62.3 :    1 : [2837]
 62.5 :    1 : [2857]
 62.6 :    1 : [2917]
 62.7 :    1 : [2884]
 63.0 :    1 : [2867]
 63.2 :    1 : [2875]
 63.4 :    1 : [2916]
 63.7 :    1 : [2881]
 64.4 :    1 : [2842]
 64.5 :    1 : [2858]
 65.1 :    1 : [2857]
 65.2 :    1 : [2917]
 65.6 :    1 : [2867]
 65.8 :    1 : [2875]
 66.3 :    1 : [2881]
 67.0 :    1 : [2858]
 68.4 :    1 : [2873]
 68.5 :    1 : [2889]
 68.7 :    2 : [2863, 2878]
 70.0 :    1 : [2852]
 70.2 :    1 : [2913]
 70.5 :    1 : [2858]
 71.0 :    1 : [2873]
 71.1 :    1 : [2889]
 71.2 :    3 : [2861, 2863, 2878]
 72.6 :    1 : [2852]
 72.8 :    1 : [2913]
 73.7 :    1 : [2861]
 74.9 :    2 : [2863, 2878]
 77.1 :    1 : [2861]
 80.1 :    1 : [2910]
 83.6 :    1 : [2885]
 91.9 :    1 : [2846]
 94.3 :    1 : [2909]
 94.5 :    1 : [2884]
 94.6 :    1 : [2846]
 95.9 :    1 : [2916]
 96.6 :    1 : [2842]
