Name: VTA [DA1], Title: Raster plot from device '20322', Hist: False
216.8 :    2 : [363, 367]
218.3 :    2 : [362, 370]
218.4 :    1 : [366]
218.9 :    1 : [364]
219.4 :    1 : [365]
219.8 :    2 : [363, 368]
221.0 :    1 : [367]
227.4 :    1 : [369]
232.3 :    1 : [361]
719.0 :    1 : [361]
721.3 :    1 : [369]
721.8 :    1 : [367]
725.6 :    1 : [363]
725.9 :    1 : [365]
726.1 :    1 : [370]
730.9 :    1 : [366]
733.8 :    1 : [364]
782.6 :    1 : [364]
783.6 :    1 : [366]
788.2 :    1 : [362]
