Name: MnR  [5HT], Title: Raster plot from device '20289', Hist: False
413.0 :    1 : [185]
414.7 :    1 : [187]
417.0 :    1 : [182]
417.5 :    1 : [185]
417.7 :    1 : [183]
417.9 :    1 : [187]
420.6 :    1 : [181]
420.9 :    2 : [183, 187]
421.8 :    1 : [185]
422.0 :    1 : [182]
422.7 :    1 : [184]
424.0 :    1 : [186]
425.2 :    1 : [181]
425.5 :    1 : [187]
426.0 :    1 : [183]
426.6 :    1 : [185]
427.2 :    2 : [182, 184]
427.3 :    1 : [186]
429.3 :    1 : [187]
430.2 :    1 : [185]
431.4 :    1 : [181]
432.4 :    1 : [183]
432.6 :    1 : [187]
433.7 :    1 : [190]
434.3 :    1 : [182]
434.4 :    1 : [186]
435.3 :    1 : [185]
435.4 :    1 : [187]
436.7 :    2 : [181, 184]
437.8 :    1 : [182]
438.8 :    1 : [187]
439.1 :    1 : [186]
439.2 :    1 : [185]
442.1 :    3 : [183, 187, 190]
442.9 :    1 : [184]
443.9 :    1 : [182]
444.6 :    1 : [185]
444.7 :    1 : [181]
445.3 :    1 : [183]
445.6 :    1 : [186]
446.9 :    1 : [187]
447.5 :    1 : [185]
449.8 :    1 : [183]
450.6 :    1 : [186]
451.9 :    1 : [182]
452.3 :    1 : [184]
452.9 :    1 : [181]
453.0 :    1 : [185]
453.7 :    1 : [187]
456.3 :    1 : [187]
458.9 :    1 : [185]
459.0 :    1 : [187]
462.4 :    2 : [185, 186]
463.6 :    1 : [187]
464.6 :    1 : [184]
466.2 :    1 : [185]
466.4 :    1 : [187]
466.6 :    1 : [190]
467.8 :    1 : [181]
469.4 :    1 : [187]
472.0 :    1 : [190]
472.2 :    1 : [182]
472.4 :    1 : [185]
473.4 :    1 : [181]
475.1 :    1 : [187]
475.4 :    1 : [182]
475.6 :    1 : [190]
477.0 :    1 : [185]
479.2 :    1 : [182]
480.0 :    1 : [186]
480.1 :    1 : [185]
481.1 :    1 : [187]
481.3 :    1 : [183]
481.8 :    1 : [181]
482.3 :    1 : [182]
483.1 :    1 : [190]
485.2 :    1 : [184]
485.4 :    1 : [182]
485.5 :    1 : [187]
486.2 :    1 : [185]
488.6 :    1 : [184]
489.2 :    1 : [183]
489.7 :    1 : [187]
490.6 :    1 : [182]
492.1 :    1 : [185]
492.5 :    1 : [187]
493.4 :    1 : [186]
494.3 :    1 : [183]
494.9 :    1 : [185]
495.0 :    1 : [182]
495.6 :    1 : [187]
496.5 :    1 : [190]
498.3 :    1 : [187]
499.8 :    1 : [190]
502.4 :    1 : [186]
503.7 :    1 : [184]
504.2 :    2 : [187, 190]
504.9 :    1 : [183]
505.2 :    1 : [185]
507.3 :    1 : [184]
507.6 :    1 : [190]
508.3 :    1 : [185]
