Name: GPe [GABA], Title: Raster plot from device '20319', Hist: False
446.4 :    1 : [499]
446.6 :    1 : [506]
448.3 :    1 : [489]
450.8 :    1 : [497]
451.6 :    1 : [510]
451.7 :    1 : [525]
451.9 :    1 : [524]
452.1 :    1 : [518]
452.4 :    1 : [513]
452.9 :    1 : [488]
453.5 :    1 : [502]
453.6 :    1 : [511]
453.7 :    1 : [504]
453.8 :    1 : [503]
454.1 :    1 : [521]
454.2 :    2 : [515, 522]
454.6 :    1 : [507]
454.8 :    1 : [516]
454.9 :    2 : [494, 508]
455.0 :    1 : [505]
455.1 :    1 : [527]
455.2 :    1 : [517]
455.3 :    1 : [512]
455.4 :    1 : [520]
455.9 :    1 : [486]
456.4 :    1 : [493]
456.7 :    1 : [519]
458.6 :    1 : [523]
458.7 :    2 : [491, 496]
458.8 :    1 : [528]
458.9 :    1 : [495]
459.0 :    1 : [490]
461.0 :    1 : [501]
464.9 :    1 : [509]
466.4 :    1 : [492]
466.6 :    1 : [485]
477.7 :    1 : [526]
477.8 :    1 : [487]
479.7 :    1 : [500]
491.0 :    1 : [498]
