Name: GPi [GABA], Title: Raster plot from device '20304', Hist: False
 15.1 :    9 : [291, 292, 293, 294, 295, 296, 297, 299, 300]
 15.2 :    1 : [298]
 17.2 :    8 : [291, 292, 293, 294, 295, 296, 299, 300]
 17.3 :    1 : [297]
 17.4 :    1 : [298]
 19.4 :    3 : [291, 292, 295]
 19.5 :    5 : [293, 294, 296, 299, 300]
 19.7 :    1 : [297]
 19.9 :    1 : [298]
 23.4 :    1 : [295]
 39.3 :    3 : [291, 292, 294]
 39.4 :    2 : [293, 300]
 39.5 :    2 : [296, 299]
 40.0 :    1 : [297]
 41.8 :    1 : [298]
 43.5 :    1 : [300]
 57.4 :    2 : [293, 294]
 57.5 :    3 : [291, 292, 296]
 57.7 :    1 : [299]
 57.8 :    1 : [297]
 58.6 :    1 : [298]
 60.0 :    1 : [294]
 60.2 :    1 : [293]
 60.3 :    1 : [300]
 60.4 :    1 : [291]
 60.7 :    2 : [292, 296]
 61.3 :    1 : [299]
 76.0 :    1 : [297]
 76.1 :    1 : [300]
 76.2 :    1 : [291]
 76.5 :    3 : [293, 294, 298]
 76.9 :    1 : [292]
 77.5 :    1 : [296]
 78.2 :    1 : [299]
 79.4 :    1 : [300]
 94.0 :    2 : [291, 293]
 94.1 :    2 : [292, 294]
 94.2 :    1 : [299]
 94.3 :    1 : [296]
 94.5 :    1 : [298]
 96.5 :    1 : [297]
112.5 :    1 : [297]
113.2 :    1 : [296]
113.8 :    1 : [292]
114.0 :    1 : [294]
114.8 :    1 : [298]
130.5 :    3 : [292, 294, 296]
130.8 :    1 : [297]
131.4 :    1 : [298]
133.4 :    1 : [292]
134.0 :    2 : [296, 297]
134.7 :    1 : [294]
149.6 :    1 : [298]
150.6 :    1 : [292]
151.2 :    1 : [294]
151.5 :    1 : [296]
167.2 :    2 : [292, 294]
167.4 :    1 : [296]
167.5 :    1 : [298]
185.2 :    2 : [292, 294]
185.4 :    1 : [296]
186.0 :    1 : [298]
189.5 :    1 : [296]
203.3 :    1 : [292]
203.4 :    1 : [294]
204.2 :    1 : [298]
206.7 :    1 : [292]
207.8 :    1 : [294]
222.8 :    1 : [298]
223.6 :    1 : [292]
224.2 :    1 : [294]
240.3 :    2 : [292, 294]
240.9 :    1 : [298]
258.1 :    1 : [292]
258.2 :    1 : [294]
259.0 :    1 : [298]
262.2 :    1 : [294]
262.4 :    1 : [292]
277.8 :    1 : [298]
278.2 :    1 : [294]
279.1 :    1 : [292]
294.8 :    1 : [294]
295.2 :    1 : [292]
295.6 :    1 : [298]
312.7 :    1 : [294]
312.9 :    1 : [292]
313.6 :    1 : [298]
316.1 :    1 : [294]
330.8 :    1 : [292]
332.1 :    1 : [298]
332.6 :    1 : [294]
349.3 :    1 : [292]
349.8 :    1 : [294]
350.7 :    1 : [298]
367.1 :    1 : [292]
367.4 :    1 : [294]
368.5 :    1 : [298]
385.9 :    1 : [292]
386.0 :    1 : [294]
388.4 :    1 : [298]
389.0 :    1 : [294]
403.8 :    1 : [292]
405.4 :    2 : [294, 298]
407.1 :    1 : [292]
418.2 :    1 : [298]
418.3 :    1 : [294]
