Name: Prefrontal cortex [Glu0], Title: Raster plot from device '20323', Hist: False
415.6 :    1 : [854]
415.7 :    1 : [801]
415.8 :    1 : [798]
416.2 :    1 : [848]
416.4 :    1 : [791]
416.5 :    1 : [879]
416.6 :    1 : [793]
416.7 :    3 : [788, 821, 876]
416.8 :    1 : [828]
417.0 :    1 : [881]
417.1 :    3 : [794, 796, 816]
417.2 :    1 : [823]
417.3 :    1 : [877]
418.1 :   10 : [806, 814, 817, 832, 833, 836, 842, 855, 861, 873]
418.2 :    5 : [807, 820, 829, 835, 840]
418.6 :    5 : [792, 797, 803, 818, 846]
418.8 :    1 : [799]
419.0 :   11 : [790, 802, 822, 826, 838, 853, 854, 860, 867, 870, 872]
419.1 :    9 : [801, 815, 825, 827, 831, 843, 848, 859, 874]
419.2 :    5 : [798, 819, 856, 858, 864]
419.3 :    4 : [847, 849, 850, 852]
419.4 :    2 : [787, 793]
419.5 :    5 : [800, 824, 876, 878, 879]
419.6 :    7 : [786, 805, 811, 863, 866, 871, 875]
419.7 :    5 : [788, 810, 828, 837, 881]
419.8 :    6 : [789, 791, 813, 823, 834, 865]
419.9 :    4 : [794, 821, 869, 877]
420.0 :    4 : [796, 812, 816, 880]
420.1 :    4 : [841, 845, 862, 868]
420.2 :    1 : [795]
420.3 :    3 : [808, 830, 844]
420.4 :    1 : [839]
420.5 :    2 : [806, 809]
420.6 :    5 : [814, 833, 840, 842, 873]
420.7 :    4 : [807, 820, 832, 851]
420.8 :    2 : [836, 857]
420.9 :    1 : [861]
421.0 :    1 : [855]
421.1 :    2 : [797, 846]
421.3 :    2 : [803, 835]
421.4 :    2 : [792, 829]
421.5 :    4 : [801, 817, 848, 854]
421.6 :    2 : [802, 872]
421.7 :    6 : [799, 818, 819, 822, 859, 874]
421.8 :    3 : [815, 826, 860]
421.9 :    3 : [790, 793, 838]
422.0 :    8 : [798, 825, 853, 856, 858, 867, 876, 879]
422.1 :    7 : [800, 811, 823, 824, 831, 864, 870]
422.2 :   10 : [788, 827, 828, 843, 850, 852, 863, 871, 877, 881]
422.3 :    3 : [789, 810, 878]
422.4 :    5 : [791, 837, 847, 865, 866]
422.5 :    7 : [786, 787, 794, 805, 816, 869, 880]
422.6 :    2 : [796, 821]
422.7 :    2 : [795, 849]
422.9 :    1 : [806]
423.0 :    4 : [833, 840, 841, 868]
423.1 :    1 : [873]
423.2 :    3 : [814, 839, 842]
423.3 :    3 : [820, 845, 862]
423.4 :    1 : [807]
423.5 :    5 : [812, 830, 832, 844, 875]
423.6 :    3 : [797, 813, 834]
423.7 :    3 : [836, 846, 861]
423.8 :    5 : [801, 803, 808, 848, 851]
423.9 :    2 : [809, 854]
424.1 :    3 : [792, 802, 835]
424.2 :    6 : [819, 822, 855, 857, 872, 874]
424.3 :    3 : [793, 826, 859]
424.4 :    9 : [799, 815, 817, 818, 823, 829, 860, 876, 879]
424.5 :    8 : [790, 798, 811, 824, 825, 853, 856, 877]
424.6 :    6 : [788, 838, 858, 864, 871, 881]
424.7 :    6 : [800, 828, 831, 863, 867, 870]
424.8 :    2 : [789, 852]
424.9 :    6 : [791, 810, 816, 843, 850, 880]
425.0 :    5 : [827, 837, 865, 869, 878]
425.1 :    5 : [786, 794, 796, 805, 866]
425.2 :    1 : [795]
425.3 :    1 : [847]
425.4 :    2 : [787, 806]
425.5 :    3 : [821, 833, 840]
425.8 :    1 : [873]
426.0 :    2 : [814, 842]
426.1 :    1 : [820]
426.2 :    2 : [801, 841]
426.3 :    3 : [797, 807, 848]
426.4 :    3 : [803, 854, 861]
426.5 :    4 : [802, 832, 846, 868]
426.6 :    1 : [839]
426.7 :    3 : [819, 822, 874]
426.8 :    7 : [792, 823, 826, 830, 836, 849, 872]
426.9 :   11 : [793, 811, 812, 815, 835, 844, 851, 859, 860, 877, 879]
427.0 :    6 : [798, 799, 834, 845, 871, 876]
427.1 :    7 : [790, 824, 856, 858, 862, 864, 881]
427.2 :    3 : [808, 853, 863]
427.3 :    6 : [788, 800, 809, 829, 838, 880]
427.4 :    9 : [789, 791, 813, 816, 825, 831, 852, 855, 867]
427.5 :    3 : [817, 870, 875]
427.6 :    3 : [810, 857, 869]
427.7 :    2 : [796, 828]
427.8 :    2 : [794, 795]
427.9 :    4 : [806, 837, 865, 878]
428.0 :    3 : [805, 818, 850]
428.1 :    2 : [786, 840]
428.2 :    1 : [833]
428.3 :    2 : [843, 866]
428.6 :    2 : [821, 827]
428.7 :    2 : [842, 873]
428.8 :    4 : [787, 801, 847, 848]
428.9 :    1 : [814]
429.0 :    2 : [803, 854]
429.1 :    2 : [797, 820]
429.2 :    1 : [861]
429.3 :    2 : [807, 832]
429.4 :    3 : [802, 823, 846]
429.5 :    5 : [811, 819, 871, 876, 877]
429.6 :    8 : [792, 793, 798, 815, 826, 860, 872, 874]
429.7 :    6 : [822, 839, 853, 863, 879, 880]
429.8 :    8 : [790, 799, 824, 836, 841, 856, 858, 864]
429.9 :    3 : [852, 868, 881]
430.0 :    4 : [789, 816, 851, 859]
430.1 :    5 : [791, 800, 830, 831, 835]
430.2 :    6 : [788, 838, 844, 862, 867, 869]
430.3 :    2 : [829, 845]
430.4 :    1 : [810]
430.5 :    2 : [806, 870]
430.6 :    2 : [796, 855]
430.7 :    3 : [795, 840, 849]
430.9 :    1 : [825]
431.0 :    1 : [833]
431.1 :    3 : [805, 808, 865]
431.2 :    2 : [794, 828]
431.3 :    1 : [809]
431.4 :    2 : [786, 801]
431.6 :    2 : [812, 850]
431.7 :    1 : [848]
431.8 :    2 : [814, 837]
432.0 :    3 : [817, 834, 854]
432.1 :    1 : [866]
432.2 :    2 : [813, 873]
432.3 :    2 : [821, 878]
432.4 :    4 : [797, 802, 823, 842]
432.5 :    1 : [793]
432.6 :    1 : [877]
432.7 :    3 : [827, 875, 881]
432.8 :    4 : [818, 846, 861, 876]
432.9 :    4 : [792, 820, 832, 872]
433.0 :    4 : [798, 807, 816, 843]
433.2 :    2 : [803, 879]
433.3 :    1 : [787]
433.4 :    1 : [788]
433.6 :    1 : [815]
433.7 :    1 : [860]
433.8 :    2 : [799, 826]
434.0 :    3 : [835, 836, 874]
434.1 :    5 : [790, 791, 822, 853, 858]
434.2 :    3 : [811, 824, 856]
434.3 :    3 : [801, 806, 819]
434.4 :    1 : [859]
434.5 :    1 : [871]
434.6 :    1 : [796]
434.7 :    1 : [829]
434.9 :    1 : [864]
435.0 :    1 : [840]
435.5 :    2 : [789, 794]
435.6 :    1 : [867]
435.7 :    2 : [854, 855]
435.9 :    1 : [863]
436.1 :    1 : [793]
436.3 :    1 : [868]
436.4 :    1 : [877]
436.5 :    1 : [792]
436.8 :    2 : [800, 823]
437.1 :    2 : [795, 828]
437.2 :    2 : [817, 820]
437.3 :    2 : [814, 848]
437.6 :    2 : [810, 880]
437.7 :    1 : [852]
437.8 :    4 : [788, 816, 824, 881]
437.9 :    5 : [802, 806, 826, 842, 861]
438.0 :    4 : [869, 870, 873, 879]
438.1 :    2 : [801, 838]
438.2 :    2 : [791, 807]
438.3 :    1 : [850]
438.4 :    5 : [798, 833, 840, 856, 864]
438.6 :    5 : [790, 799, 832, 849, 854]
438.7 :    5 : [797, 837, 858, 874, 878]
438.8 :    2 : [821, 866]
438.9 :    9 : [793, 794, 796, 815, 825, 847, 860, 865, 876]
439.0 :    1 : [805]
439.1 :    2 : [818, 835]
439.2 :    3 : [831, 839, 877]
439.3 :    2 : [829, 846]
439.4 :    2 : [803, 843]
439.5 :    4 : [836, 855, 859, 872]
439.6 :    3 : [792, 819, 875]
439.7 :    6 : [812, 822, 823, 853, 867, 871]
440.0 :    1 : [830]
440.2 :    2 : [786, 813]
440.3 :    1 : [814]
440.4 :    3 : [787, 828, 848]
440.6 :    1 : [811]
440.7 :    2 : [863, 881]
440.8 :    4 : [801, 802, 820, 845]
441.0 :    3 : [800, 806, 879]
441.1 :    2 : [791, 841]
441.2 :    6 : [808, 810, 824, 826, 840, 842]
441.3 :    6 : [809, 817, 854, 861, 864, 873]
441.4 :    4 : [788, 789, 807, 856]
441.5 :    2 : [798, 874]
441.6 :    4 : [790, 793, 816, 850]
441.7 :    3 : [797, 878, 880]
441.8 :    4 : [799, 832, 868, 869]
441.9 :    5 : [794, 815, 858, 876, 877]
442.0 :    2 : [838, 860]
442.1 :    3 : [796, 825, 833]
442.2 :    2 : [818, 837]
442.3 :    3 : [795, 834, 852]
442.5 :    3 : [792, 803, 844]
442.6 :    2 : [823, 827]
442.7 :    1 : [821]
442.8 :    2 : [862, 870]
443.3 :    1 : [847]
443.4 :    2 : [828, 866]
443.7 :    2 : [835, 848]
443.8 :    1 : [836]
443.9 :    1 : [829]
444.0 :    2 : [819, 846]
444.1 :    2 : [801, 855]
444.2 :    4 : [814, 843, 854, 867]
444.3 :    3 : [820, 849, 859]
444.4 :    3 : [791, 805, 872]
444.5 :    3 : [822, 840, 879]
444.6 :    3 : [798, 806, 864]
444.7 :    1 : [873]
444.8 :    4 : [826, 842, 874, 881]
444.9 :    1 : [824]
445.0 :    1 : [810]
445.1 :    1 : [831]
445.2 :    2 : [802, 871]
445.5 :    1 : [807]
445.6 :    1 : [800]
445.8 :    2 : [797, 856]
445.9 :    1 : [790]
446.3 :    1 : [850]
446.4 :    1 : [793]
446.5 :    3 : [788, 853, 861]
446.6 :    3 : [817, 833, 877]
446.7 :    2 : [823, 876]
446.8 :   12 : [794, 799, 801, 815, 816, 828, 832, 848, 854, 860, 863, 869]
446.9 :    6 : [796, 803, 818, 821, 858, 878]
447.0 :    5 : [792, 837, 838, 852, 880]
447.1 :    2 : [825, 865]
447.2 :    3 : [791, 820, 836]
447.3 :    1 : [819]
447.4 :    3 : [811, 814, 842]
447.5 :    6 : [786, 787, 798, 829, 835, 879]
447.6 :    2 : [855, 867]
447.7 :    3 : [806, 843, 875]
447.8 :    1 : [834]
447.9 :    1 : [840]
448.1 :    1 : [874]
448.4 :    2 : [859, 881]
448.5 :    2 : [870, 872]
448.6 :    3 : [802, 822, 846]
448.7 :    1 : [805]
448.8 :    2 : [812, 826]
448.9 :    1 : [813]
449.0 :    1 : [830]
449.6 :    1 : [841]
450.4 :    1 : [866]
450.5 :    1 : [801]
450.7 :    3 : [793, 807, 873]
450.8 :    4 : [810, 824, 854, 864]
450.9 :    1 : [848]
451.0 :    3 : [797, 800, 856]
451.1 :    3 : [790, 820, 871]
451.2 :    7 : [791, 798, 828, 840, 845, 847, 879]
451.3 :    7 : [808, 809, 814, 823, 833, 849, 850]
451.4 :    3 : [806, 861, 874]
451.5 :    2 : [827, 842]
451.6 :    3 : [815, 819, 831]
451.7 :    4 : [803, 821, 876, 877]
451.8 :    1 : [881]
451.9 :    3 : [826, 836, 860]
452.1 :    3 : [788, 838, 852]
452.2 :    1 : [835]
452.3 :    1 : [846]
454.0 :    2 : [817, 832]
454.1 :    5 : [794, 802, 816, 818, 867]
454.2 :    2 : [799, 829]
454.3 :    4 : [796, 858, 869, 880]
454.4 :    2 : [792, 801]
454.5 :    5 : [789, 795, 837, 855, 863]
454.6 :    2 : [793, 854]
454.7 :    1 : [791]
454.8 :    4 : [822, 825, 859, 878]
454.9 :    3 : [820, 877, 879]
455.0 :    3 : [806, 824, 840]
455.1 :    4 : [823, 839, 856, 864]
455.2 :    4 : [788, 798, 807, 848]
455.3 :    3 : [826, 843, 873]
455.4 :    4 : [861, 872, 874, 881]
455.5 :    4 : [790, 814, 828, 842]
455.6 :    2 : [800, 810]
455.7 :    1 : [870]
455.9 :    2 : [797, 866]
456.1 :    2 : [833, 853]
456.2 :    6 : [815, 821, 850, 860, 862, 876]
456.5 :    2 : [803, 836]
456.6 :    1 : [852]
456.7 :    2 : [786, 846]
456.8 :    2 : [819, 835]
456.9 :    3 : [805, 871, 875]
457.0 :    5 : [811, 830, 838, 865, 868]
457.1 :    4 : [801, 812, 849, 854]
457.2 :    3 : [787, 793, 802]
457.3 :    1 : [794]
457.4 :    4 : [813, 816, 831, 844]
457.5 :    2 : [799, 859]
457.6 :    5 : [791, 792, 796, 877, 879]
457.7 :    1 : [817]
457.8 :    1 : [858]
457.9 :    4 : [806, 822, 832, 867]
458.0 :    2 : [823, 829]
458.3 :    3 : [820, 824, 840]
458.4 :    2 : [825, 881]
458.5 :    4 : [848, 855, 856, 863]
458.7 :    3 : [814, 826, 847]
458.8 :    2 : [788, 880]
458.9 :    4 : [808, 809, 828, 864]
459.0 :    1 : [807]
459.4 :    2 : [810, 837]
459.5 :    1 : [790]
459.6 :    4 : [798, 861, 873, 874]
459.7 :    5 : [800, 818, 842, 869, 872]
459.8 :    1 : [797]
460.0 :    5 : [827, 833, 845, 854, 866]
460.1 :    3 : [801, 850, 878]
460.3 :    2 : [815, 821]
460.4 :    1 : [876]
460.6 :    1 : [836]
460.7 :    4 : [793, 803, 860, 879]
460.8 :    2 : [791, 846]
461.0 :    3 : [789, 795, 835]
461.2 :    4 : [794, 816, 843, 870]
461.3 :    2 : [796, 877]
461.5 :    2 : [799, 823]
461.7 :    3 : [792, 806, 817]
462.1 :    1 : [832]
462.2 :    1 : [788]
462.5 :    1 : [881]
463.0 :    1 : [838]
463.1 :    4 : [802, 820, 829, 840]
463.2 :    1 : [819]
463.3 :    2 : [849, 858]
463.5 :    1 : [824]
463.6 :    6 : [801, 805, 848, 853, 854, 856]
463.7 :    3 : [855, 867, 871]
463.8 :    3 : [791, 807, 859]
463.9 :    7 : [793, 798, 811, 842, 852, 861, 874]
464.0 :    4 : [814, 826, 828, 876]
464.1 :    3 : [803, 834, 879]
464.2 :    5 : [818, 825, 868, 875, 878]
464.3 :   11 : [787, 790, 794, 796, 797, 822, 823, 836, 860, 863, 877]
464.4 :    6 : [792, 800, 821, 833, 865, 873]
464.5 :    1 : [816]
464.6 :    1 : [864]
464.7 :    2 : [786, 815]
464.8 :    3 : [799, 806, 817]
464.9 :    1 : [831]
465.0 :    1 : [835]
465.1 :    2 : [813, 843]
465.3 :    1 : [837]
465.4 :    1 : [832]
465.8 :    1 : [788]
465.9 :    1 : [869]
466.0 :    1 : [847]
466.1 :    2 : [810, 850]
466.2 :    1 : [846]
466.5 :    2 : [801, 854]
466.6 :    3 : [789, 870, 872]
466.8 :    1 : [881]
466.9 :    1 : [791]
467.0 :    1 : [793]
467.1 :    3 : [819, 820, 848]
467.2 :    4 : [792, 842, 856, 861]
467.3 :    3 : [794, 874, 877]
467.4 :    4 : [796, 802, 858, 876]
467.5 :    5 : [795, 803, 807, 853, 878]
467.6 :    1 : [823]
467.7 :    2 : [829, 840]
467.8 :    2 : [818, 838]
467.9 :    4 : [798, 816, 855, 860]
468.0 :    4 : [828, 862, 867, 879]
468.1 :    1 : [844]
468.2 :    2 : [797, 825]
468.3 :    2 : [826, 834]
468.4 :    4 : [800, 821, 833, 836]
468.5 :    3 : [806, 815, 817]
468.6 :    1 : [814]
468.7 :    1 : [790]
