Name: Prefrontal cortex [Glu1], Title: Raster plot from device '20324', Hist: False
416.0 :    2 : [933, 961]
416.2 :    1 : [943]
416.4 :    4 : [905, 910, 929, 971]
416.6 :    3 : [888, 911, 957]
416.7 :    1 : [894]
416.8 :    3 : [936, 953, 967]
417.0 :    2 : [886, 944]
417.1 :    3 : [912, 928, 941]
418.1 :   12 : [887, 892, 893, 898, 913, 915, 923, 950, 952, 955, 963, 969]
418.2 :    5 : [902, 904, 926, 937, 948]
418.4 :    2 : [895, 927]
418.6 :    2 : [970, 975]
418.7 :    2 : [884, 889]
418.8 :    1 : [974]
418.9 :    3 : [931, 961, 966]
419.0 :    4 : [899, 932, 940, 973]
419.1 :    4 : [882, 922, 930, 943]
419.2 :    2 : [942, 945]
419.3 :    4 : [890, 933, 934, 939]
419.4 :    2 : [907, 916]
419.5 :    6 : [894, 903, 911, 946, 947, 977]
419.6 :    6 : [891, 905, 935, 957, 964, 972]
419.7 :   10 : [888, 896, 897, 910, 917, 920, 929, 954, 958, 971]
419.8 :    8 : [900, 918, 921, 936, 949, 953, 967, 976]
419.9 :    8 : [909, 912, 924, 938, 941, 944, 956, 965]
420.0 :    4 : [906, 908, 951, 959]
420.1 :    4 : [901, 914, 919, 928]
420.2 :    2 : [883, 960]
420.3 :    3 : [885, 886, 962]
420.5 :    2 : [925, 955]
420.6 :    3 : [887, 913, 963]
420.7 :    4 : [892, 948, 968, 969]
420.8 :    2 : [893, 950]
420.9 :    2 : [895, 952]
421.0 :    3 : [898, 923, 926]
421.1 :    2 : [937, 970]
421.2 :    1 : [902]
421.4 :    2 : [889, 927]
421.5 :    3 : [904, 915, 943]
421.6 :    2 : [884, 961]
421.7 :    1 : [899]
421.8 :    4 : [932, 942, 974, 975]
421.9 :    5 : [894, 930, 931, 940, 945]
422.0 :    7 : [882, 903, 911, 922, 933, 939, 973]
422.1 :    4 : [916, 934, 966, 977]
422.2 :    6 : [910, 920, 929, 946, 947, 957]
422.3 :    9 : [891, 917, 941, 953, 954, 964, 965, 967, 971]
422.4 :    7 : [888, 890, 897, 924, 936, 949, 976]
422.5 :    8 : [901, 905, 908, 912, 935, 938, 956, 958]
422.6 :    6 : [900, 907, 921, 944, 951, 959]
422.7 :    5 : [896, 906, 909, 914, 918]
422.8 :    1 : [928]
422.9 :    3 : [919, 955, 962]
423.0 :    1 : [972]
423.1 :    4 : [886, 887, 913, 963]
423.4 :    1 : [948]
423.5 :    2 : [925, 969]
423.6 :    7 : [883, 885, 892, 893, 895, 950, 970]
423.7 :    1 : [960]
423.8 :    1 : [943]
423.9 :    3 : [898, 923, 968]
424.0 :    3 : [889, 926, 952]
424.1 :    4 : [902, 927, 937, 961]
424.2 :    2 : [884, 899]
424.3 :    5 : [894, 903, 904, 915, 932]
424.4 :    5 : [911, 933, 939, 942, 945]
424.5 :    3 : [882, 940, 974]
424.6 :    8 : [910, 920, 922, 929, 931, 941, 953, 977]
424.7 :    7 : [917, 930, 957, 965, 967, 973, 975]
424.8 :    6 : [891, 901, 924, 954, 964, 966]
424.9 :    8 : [912, 916, 934, 936, 946, 947, 971, 976]
425.0 :    5 : [888, 897, 908, 938, 949]
425.1 :    3 : [905, 935, 959]
425.2 :    2 : [921, 951]
425.3 :    1 : [956]
425.4 :    3 : [906, 944, 955]
425.5 :    1 : [900]
425.6 :    4 : [890, 909, 914, 918]
425.7 :    3 : [958, 962, 963]
425.8 :    3 : [887, 913, 928]
426.0 :    1 : [907]
426.1 :    1 : [919]
426.2 :    3 : [943, 950, 970]
426.3 :    5 : [886, 893, 896, 948, 969]
426.5 :    2 : [889, 895]
426.6 :    2 : [885, 903]
426.7 :    5 : [892, 894, 899, 925, 926]
426.8 :    5 : [902, 932, 939, 945, 961]
426.9 :    7 : [882, 884, 910, 911, 933, 952, 972]
427.0 :    6 : [898, 920, 923, 929, 953, 968]
427.1 :    8 : [901, 922, 924, 937, 940, 941, 942, 965]
427.2 :    5 : [883, 917, 954, 967, 977]
427.3 :    3 : [891, 957, 974]
427.4 :    4 : [904, 912, 960, 964]
427.5 :    3 : [930, 931, 936]
427.6 :    1 : [976]
427.7 :    4 : [897, 908, 938, 949]
427.8 :    4 : [946, 959, 971, 973]
427.9 :    2 : [916, 934]
428.0 :    4 : [888, 955, 966, 975]
428.1 :    2 : [935, 947]
428.2 :    3 : [905, 921, 951]
428.3 :    2 : [915, 927]
428.4 :    1 : [944]
428.5 :    2 : [906, 963]
428.6 :    2 : [887, 913]
428.7 :    1 : [943]
428.8 :    1 : [950]
428.9 :    3 : [893, 900, 918]
429.0 :    4 : [914, 956, 969, 970]
429.1 :    2 : [909, 928]
429.2 :    2 : [886, 962]
429.3 :    4 : [889, 894, 895, 903]
429.4 :    3 : [890, 907, 948]
429.5 :   12 : [892, 899, 901, 919, 920, 924, 926, 932, 945, 953, 958, 961]
429.6 :    6 : [882, 910, 933, 939, 941, 965]
429.7 :    4 : [896, 911, 917, 954]
429.8 :    2 : [922, 940]
429.9 :    4 : [891, 925, 952, 967]
430.0 :    6 : [884, 902, 929, 957, 968, 977]
430.1 :    4 : [912, 923, 937, 964]
430.3 :    3 : [898, 936, 942]
430.4 :    2 : [908, 976]
430.5 :    2 : [938, 974]
430.6 :    3 : [883, 930, 955]
430.7 :    3 : [897, 949, 959]
430.9 :    1 : [971]
431.0 :    2 : [904, 972]
431.1 :    2 : [885, 931]
431.3 :    3 : [916, 935, 973]
431.4 :    1 : [963]
431.5 :    1 : [921]
431.6 :    2 : [943, 946]
431.7 :    3 : [934, 951, 966]
431.9 :    1 : [970]
432.0 :    4 : [887, 888, 905, 913]
432.1 :    1 : [950]
432.2 :    1 : [969]
432.3 :    3 : [927, 944, 975]
432.4 :    1 : [894]
432.5 :    3 : [889, 953, 961]
432.6 :    3 : [903, 915, 960]
432.7 :    3 : [886, 893, 911]
432.8 :    1 : [941]
432.9 :    4 : [895, 906, 928, 947]
433.0 :    4 : [892, 899, 948, 952]
433.1 :    1 : [967]
433.3 :    1 : [933]
433.6 :    3 : [912, 945, 957]
433.7 :    3 : [884, 910, 932]
433.9 :    1 : [926]
434.0 :    2 : [929, 936]
434.1 :    2 : [923, 940]
434.2 :    1 : [902]
434.3 :    3 : [882, 922, 937]
434.4 :    1 : [971]
434.5 :    3 : [898, 917, 939]
434.6 :    1 : [974]
435.5 :    3 : [890, 955, 958]
435.8 :    1 : [943]
435.9 :    1 : [904]
436.0 :    1 : [897]
436.1 :    1 : [911]
436.3 :    2 : [891, 967]
436.4 :    1 : [942]
436.6 :    1 : [894]
436.8 :    3 : [889, 941, 977]
436.9 :    5 : [887, 900, 920, 924, 928]
437.0 :    4 : [949, 952, 963, 965]
437.4 :    2 : [970, 973]
437.5 :    1 : [953]
437.6 :    2 : [888, 909]
437.7 :    1 : [903]
437.8 :    1 : [921]
437.9 :    3 : [883, 929, 948]
438.0 :    4 : [912, 956, 957, 971]
438.1 :    2 : [910, 936]
438.2 :    1 : [926]
438.3 :    2 : [899, 913]
438.5 :    4 : [931, 932, 933, 944]
438.6 :    2 : [884, 939]
438.7 :    3 : [896, 901, 947]
438.8 :    6 : [886, 918, 930, 950, 951, 961]
438.9 :    8 : [892, 893, 911, 915, 917, 943, 964, 969]
439.0 :    3 : [946, 974, 975]
439.1 :    5 : [905, 940, 945, 967, 972]
439.2 :    5 : [882, 902, 922, 935, 937]
439.3 :    2 : [894, 955]
439.5 :    3 : [890, 898, 960]
439.6 :    2 : [904, 923]
439.7 :    1 : [966]
439.8 :    1 : [927]
439.9 :    2 : [958, 976]
440.0 :    3 : [916, 941, 959]
440.1 :    2 : [889, 942]
440.4 :    2 : [907, 970]
440.6 :    2 : [887, 963]
440.7 :    3 : [897, 928, 952]
440.8 :    4 : [903, 908, 929, 954]
440.9 :    4 : [891, 925, 938, 973]
441.0 :    3 : [910, 971, 977]
441.1 :    4 : [934, 936, 948, 957]
441.2 :    1 : [920]
441.3 :    2 : [899, 926]
441.4 :    8 : [888, 906, 912, 914, 921, 932, 943, 965]
441.5 :    3 : [885, 913, 939]
