Name: SNr [GABA], Title: Raster plot from device '20318', Hist: False
 15.0 :    2 : [461, 469]
 15.1 :   19 : [462, 464, 465, 466, 467, 468, 471, 472, 473, 474, 475, 476, 477, 479, 480, 481, 482, 483, 484]
 15.2 :    3 : [463, 470, 478]
 17.1 :    1 : [461]
 17.2 :   19 : [462, 464, 465, 466, 467, 468, 469, 471, 473, 474, 475, 476, 477, 479, 480, 481, 482, 483, 484]
 17.3 :    1 : [472]
 17.4 :    3 : [463, 470, 478]
 19.3 :    1 : [461]
 19.4 :    8 : [466, 467, 468, 471, 474, 476, 479, 482]
 19.5 :    8 : [462, 464, 465, 473, 477, 481, 483, 484]
 19.6 :    3 : [469, 475, 480]
 19.7 :    2 : [470, 472]
 19.9 :    2 : [463, 478]
 22.5 :    1 : [467]
 22.9 :    1 : [461]
 39.2 :    1 : [482]
 39.3 :    6 : [466, 468, 471, 474, 476, 479]
 39.4 :    2 : [483, 484]
 39.5 :    4 : [462, 464, 465, 473]
 39.7 :    2 : [470, 481]
 39.8 :    2 : [475, 477]
 40.0 :    1 : [472]
 40.3 :    2 : [469, 480]
 41.7 :    2 : [463, 478]
 42.1 :    1 : [482]
 43.6 :    1 : [471]
 57.4 :    3 : [468, 479, 483]
 57.5 :    4 : [464, 466, 474, 476]
 57.6 :    3 : [462, 473, 484]
 57.7 :    3 : [465, 470, 481]
 57.8 :    3 : [472, 475, 477]
 57.9 :    2 : [469, 480]
 58.2 :    1 : [482]
 58.6 :    2 : [463, 478]
 59.0 :    1 : [471]
 60.0 :    1 : [479]
 60.1 :    2 : [468, 483]
 60.4 :    1 : [484]
 60.5 :    1 : [474]
 60.6 :    2 : [464, 466]
 60.8 :    1 : [481]
 61.0 :    1 : [470]
 61.1 :    1 : [476]
 61.6 :    1 : [465]
 61.7 :    1 : [462]
 75.8 :    1 : [482]
 75.9 :    4 : [471, 472, 473, 475]
 76.0 :    1 : [477]
 76.1 :    2 : [469, 480]
 76.3 :    1 : [466]
 76.4 :    3 : [468, 476, 479]
 76.5 :    3 : [463, 478, 483]
 76.6 :    1 : [464]
 76.8 :    2 : [474, 484]
 77.2 :    1 : [465]
 78.2 :    1 : [470]
 78.4 :    1 : [462]
 78.5 :    1 : [481]
 78.8 :    1 : [475]
 79.2 :    1 : [480]
 79.3 :    1 : [469]
 93.8 :    1 : [468]
 93.9 :    2 : [466, 476]
 94.0 :    2 : [479, 483]
 94.1 :    4 : [464, 465, 474, 484]
 94.3 :    1 : [462]
 94.4 :    4 : [463, 470, 478, 481]
 94.7 :    1 : [477]
106.1 :    2 : [466, 468]
112.6 :    3 : [465, 470, 477]
112.8 :    1 : [481]
113.8 :    2 : [464, 484]
114.3 :    1 : [476]
114.5 :    1 : [483]
114.7 :    1 : [463]
114.9 :    1 : [478]
115.6 :    1 : [470]
115.7 :    1 : [465]
123.2 :    2 : [466, 468]
124.5 :    1 : [477]
130.3 :    1 : [476]
130.5 :    2 : [483, 484]
130.6 :    2 : [464, 481]
131.3 :    1 : [463]
131.4 :    1 : [478]
133.0 :    1 : [465]
133.5 :    1 : [464]
133.8 :    1 : [484]
134.0 :    1 : [483]
134.8 :    1 : [481]
140.8 :    2 : [466, 468]
141.4 :    1 : [476]
143.0 :    1 : [477]
149.4 :    1 : [465]
149.5 :    1 : [463]
149.6 :    2 : [466, 478]
150.1 :    1 : [464]
150.3 :    1 : [483]
151.5 :    1 : [484]
151.7 :    1 : [468]
153.1 :    1 : [465]
158.9 :    1 : [476]
160.7 :    1 : [477]
167.0 :    1 : [466]
167.1 :    1 : [483]
167.2 :    1 : [464]
167.4 :    1 : [463]
167.5 :    2 : [478, 484]
167.6 :    1 : [468]
168.5 :    1 : [476]
170.4 :    1 : [464]
178.4 :    1 : [477]
179.3 :    1 : [466]
185.1 :    1 : [468]
185.2 :    1 : [483]
185.3 :    1 : [484]
185.6 :    1 : [476]
185.9 :    1 : [463]
186.1 :    1 : [478]
187.8 :    1 : [464]
188.3 :    1 : [483]
195.8 :    1 : [477]
196.3 :    1 : [466]
197.4 :    1 : [468]
197.5 :    1 : [476]
203.3 :    1 : [484]
203.9 :    1 : [464]
204.1 :    1 : [463]
204.9 :    1 : [483]
205.7 :    1 : [478]
213.6 :    2 : [466, 477]
214.2 :    1 : [468]
214.5 :    1 : [476]
221.9 :    1 : [464]
222.0 :    1 : [483]
222.1 :    1 : [484]
222.7 :    1 : [463]
222.9 :    1 : [466]
223.2 :    1 : [478]
226.0 :    1 : [464]
231.2 :    2 : [476, 477]
231.4 :    1 : [468]
239.9 :    1 : [483]
240.0 :    1 : [466]
240.1 :    1 : [484]
240.8 :    1 : [476]
240.9 :    1 : [463]
241.1 :    1 : [478]
241.3 :    1 : [468]
242.1 :    1 : [464]
242.8 :    1 : [477]
257.8 :    1 : [466]
258.0 :    1 : [483]
258.1 :    1 : [484]
258.3 :    1 : [476]
258.7 :    1 : [468]
258.9 :    1 : [464]
259.0 :    1 : [463]
259.2 :    1 : [478]
260.7 :    1 : [477]
261.0 :    1 : [483]
269.2 :    1 : [466]
276.1 :    1 : [476]
276.3 :    2 : [468, 484]
276.8 :    1 : [464]
277.1 :    1 : [463]
277.3 :    1 : [478]
277.6 :    1 : [483]
278.1 :    1 : [477]
286.2 :    1 : [476]
287.1 :    1 : [466]
294.0 :    1 : [468]
294.3 :    1 : [484]
294.4 :    2 : [464, 483]
295.0 :    1 : [463]
296.1 :    1 : [477]
296.9 :    1 : [468]
297.2 :    2 : [466, 478]
304.5 :    1 : [476]
312.7 :    1 : [484]
313.2 :    1 : [466]
313.4 :    1 : [463]
314.0 :    2 : [477, 478]
314.7 :    1 : [476]
314.8 :    1 : [468]
315.5 :    1 : [483]
315.8 :    1 : [464]
316.4 :    1 : [484]
330.7 :    1 : [466]
331.0 :    1 : [483]
331.4 :    3 : [464, 468, 476]
331.7 :    1 : [463]
331.9 :    1 : [478]
332.0 :    1 : [477]
332.9 :    1 : [484]
335.0 :    1 : [464]
342.3 :    1 : [466]
349.3 :    1 : [483]
349.4 :    1 : [476]
349.8 :    1 : [468]
350.1 :    2 : [463, 484]
350.3 :    1 : [477]
350.8 :    1 : [464]
351.4 :    1 : [478]
360.5 :    1 : [466]
361.5 :    1 : [476]
367.1 :    1 : [483]
367.2 :    1 : [468]
367.9 :    1 : [484]
368.0 :    1 : [464]
368.1 :    1 : [463]
368.6 :    1 : [478]
368.7 :    1 : [477]
371.4 :    1 : [468]
377.7 :    1 : [466]
378.7 :    1 : [476]
385.7 :    1 : [484]
385.9 :    1 : [464]
386.2 :    1 : [483]
386.5 :    1 : [463]
386.6 :    1 : [466]
386.9 :    1 : [477]
387.8 :    1 : [468]
388.2 :    1 : [478]
395.8 :    1 : [476]
403.8 :    2 : [483, 484]
404.0 :    1 : [466]
404.3 :    1 : [464]
404.6 :    1 : [468]
404.7 :    2 : [463, 476]
405.2 :    1 : [477]
405.3 :    1 : [478]
406.8 :    1 : [483]
407.6 :    1 : [484]
415.6 :    1 : [466]
417.7 :    1 : [464]
418.0 :    1 : [477]
418.5 :    1 : [468]
418.7 :    1 : [476]
419.1 :    1 : [478]
419.3 :    1 : [463]
