Name: Thalamus [Glu], Title: Raster plot from device '20337', Hist: False
 67.1 :    2 : [1317, 1403]
 67.3 :    1 : [1332]
 68.2 :    1 : [1408]
 68.5 :    1 : [1312]
 68.7 :    3 : [1314, 1315, 1330]
 68.8 :    1 : [1393]
 68.9 :    2 : [1358, 1409]
 69.0 :    1 : [1318]
 69.1 :    2 : [1344, 1401]
 69.3 :    2 : [1353, 1384]
 69.5 :    1 : [1411]
 69.7 :    2 : [1354, 1357]
 69.8 :    1 : [1351]
 69.9 :    2 : [1382, 1392]
 70.0 :    4 : [1364, 1367, 1378, 1399]
 70.1 :    1 : [1313]
 70.2 :    1 : [1368]
 70.3 :    4 : [1320, 1342, 1380, 1387]
 70.6 :    1 : [1350]
 70.7 :    1 : [1377]
 70.8 :    2 : [1333, 1338]
 70.9 :    2 : [1343, 1361]
 71.0 :    4 : [1325, 1336, 1402, 1408]
 71.1 :    4 : [1326, 1339, 1359, 1372]
 71.2 :    2 : [1312, 1356]
 71.3 :    3 : [1345, 1390, 1395]
 71.4 :    5 : [1315, 1319, 1330, 1370, 1398]
 71.5 :    2 : [1314, 1394]
 71.6 :    2 : [1375, 1409]
 71.7 :    5 : [1318, 1337, 1352, 1358, 1379]
 71.8 :    4 : [1344, 1349, 1401, 1405]
 72.0 :    2 : [1363, 1383]
 72.1 :    1 : [1373]
 72.2 :    2 : [1331, 1411]
 72.3 :    1 : [1360]
 72.4 :    3 : [1335, 1354, 1357]
 72.5 :    1 : [1396]
 72.6 :    3 : [1374, 1382, 1392]
 72.7 :    5 : [1347, 1348, 1367, 1378, 1399]
 72.8 :    5 : [1313, 1364, 1365, 1400, 1407]
 73.0 :    3 : [1368, 1369, 1388]
 73.2 :    1 : [1410]
 73.3 :    3 : [1323, 1327, 1350]
 73.4 :    2 : [1322, 1376]
 73.5 :    2 : [1341, 1377]
 73.6 :    5 : [1340, 1343, 1361, 1386, 1397]
 73.7 :    6 : [1325, 1328, 1336, 1355, 1371, 1402]
 73.8 :    6 : [1316, 1326, 1339, 1359, 1372, 1381]
 74.0 :    1 : [1356]
