Name: DR  [5HT], Title: Raster plot from device '2470', Hist: False
412.8 :    1 : [251]
414.1 :    1 : [253]
416.0 :    1 : [251]
416.8 :    1 : [259]
417.8 :    1 : [253]
418.7 :    1 : [260]
419.3 :    1 : [254]
421.0 :    1 : [259]
421.1 :    1 : [255]
421.7 :    1 : [252]
421.9 :    1 : [253]
422.9 :    1 : [260]
423.4 :    1 : [258]
425.1 :    1 : [259]
425.2 :    1 : [253]
425.4 :    1 : [255]
425.7 :    1 : [254]
426.2 :    1 : [258]
430.4 :    1 : [253]
430.9 :    2 : [254, 255]
431.9 :    1 : [258]
434.0 :    1 : [255]
434.4 :    1 : [251]
435.2 :    1 : [258]
436.6 :    1 : [252]
436.9 :    1 : [259]
437.3 :    1 : [260]
439.3 :    1 : [251]
440.2 :    1 : [260]
440.4 :    1 : [254]
442.3 :    1 : [259]
443.7 :    1 : [258]
443.8 :    1 : [260]
444.3 :    1 : [252]
446.7 :    1 : [251]
447.2 :    2 : [255, 258]
449.8 :    1 : [253]
449.9 :    1 : [251]
450.0 :    1 : [258]
450.4 :    1 : [254]
451.1 :    1 : [259]
451.5 :    1 : [255]
453.2 :    1 : [258]
453.3 :    1 : [252]
453.4 :    1 : [260]
453.5 :    1 : [254]
453.7 :    1 : [251]
456.9 :    2 : [255, 258]
457.1 :    1 : [254]
458.1 :    1 : [251]
458.5 :    1 : [252]
459.6 :    1 : [258]
461.0 :    1 : [254]
462.0 :    1 : [251]
462.6 :    1 : [258]
462.7 :    1 : [252]
462.8 :    1 : [253]
465.5 :    1 : [258]
466.4 :    1 : [251]
468.7 :    2 : [252, 260]
469.5 :    1 : [251]
471.3 :    1 : [252]
472.1 :    1 : [258]
472.8 :    1 : [251]
472.9 :    1 : [254]
473.0 :    1 : [260]
475.4 :    1 : [253]
476.0 :    1 : [251]
476.9 :    1 : [258]
479.0 :    1 : [251]
480.5 :    1 : [253]
480.7 :    1 : [254]
480.9 :    1 : [252]
481.8 :    1 : [251]
482.5 :    1 : [258]
484.6 :    2 : [254, 260]
484.7 :    1 : [251]
485.1 :    1 : [252]
485.8 :    1 : [258]
486.5 :    1 : [253]
486.8 :    1 : [255]
488.0 :    1 : [252]
491.0 :    1 : [251]
494.1 :    1 : [252]
494.9 :    1 : [253]
495.9 :    1 : [254]
496.0 :    2 : [251, 260]
496.1 :    1 : [258]
498.3 :    1 : [255]
498.8 :    1 : [258]
499.0 :    1 : [259]
499.2 :    1 : [253]
499.9 :    1 : [254]
500.4 :    1 : [260]
502.1 :    1 : [255]
503.3 :    1 : [251]
504.7 :    1 : [259]
506.3 :    1 : [258]
509.4 :    2 : [255, 258]
509.6 :    1 : [260]
509.9 :    1 : [254]
511.2 :    1 : [253]
712.9 :    1 : [254]
714.2 :    1 : [251]
716.3 :    1 : [252]
716.5 :    1 : [254]
717.4 :    1 : [257]
719.5 :    1 : [253]
719.8 :    1 : [251]
720.0 :    1 : [254]
720.9 :    1 : [258]
722.3 :    1 : [253]
723.2 :    1 : [254]
723.3 :    1 : [260]
726.7 :    1 : [260]
727.7 :    1 : [251]
728.7 :    1 : [254]
730.2 :    1 : [253]
732.3 :    2 : [254, 260]
733.3 :    1 : [253]
734.9 :    1 : [258]
735.8 :    1 : [254]
735.9 :    1 : [251]
737.1 :    1 : [252]
738.1 :    1 : [257]
740.2 :    1 : [253]
740.3 :    1 : [254]
743.5 :    2 : [251, 260]
744.4 :    1 : [253]
745.8 :    1 : [254]
747.0 :    1 : [260]
747.4 :    1 : [252]
748.5 :    1 : [251]
748.8 :    1 : [254]
749.5 :    1 : [253]
749.6 :    1 : [257]
750.7 :    1 : [260]
752.1 :    1 : [254]
755.1 :    1 : [253]
755.2 :    1 : [260]
755.4 :    1 : [254]
755.5 :    1 : [257]
758.7 :    1 : [260]
759.3 :    1 : [254]
760.0 :    1 : [253]
761.6 :    1 : [258]
761.9 :    1 : [260]
762.4 :    1 : [254]
762.7 :    1 : [253]
766.1 :    1 : [257]
766.3 :    1 : [253]
766.5 :    1 : [260]
767.7 :    2 : [251, 252]
767.8 :    1 : [254]
769.4 :    1 : [260]
769.5 :    1 : [253]
770.1 :    1 : [258]
771.3 :    1 : [251]
771.6 :    1 : [257]
773.5 :    1 : [253]
773.7 :    1 : [252]
774.6 :    1 : [258]
775.6 :    1 : [260]
776.9 :    1 : [254]
778.3 :    1 : [258]
779.7 :    1 : [260]
780.6 :    1 : [257]
780.9 :    1 : [254]
782.4 :    1 : [258]
783.3 :    1 : [260]
783.6 :    2 : [251, 252]
783.8 :    1 : [254]
784.3 :    1 : [253]
786.6 :    2 : [252, 258]
787.0 :    1 : [260]
787.7 :    1 : [254]
788.6 :    1 : [253]
790.3 :    1 : [252]
790.7 :    1 : [258]
790.9 :    2 : [251, 260]
791.4 :    1 : [254]
792.4 :    1 : [253]
794.2 :    1 : [258]
794.9 :    1 : [254]
795.1 :    1 : [260]
796.1 :    1 : [253]
797.8 :    2 : [254, 257]
798.7 :    1 : [260]
799.7 :    1 : [253]
800.6 :    1 : [254]
800.7 :    1 : [258]
802.7 :    1 : [251]
803.5 :    1 : [254]
803.8 :    1 : [253]
804.5 :    1 : [260]
806.5 :    1 : [254]
808.8 :    1 : [260]
809.5 :    1 : [254]
810.2 :    1 : [258]
811.7 :    1 : [253]
812.0 :    1 : [257]
