Name: Motor cortex [Glu0], Title: Raster plot from device '2503', Hist: False
 13.4 :    2 : [1147, 1158]
 13.5 :    2 : [1106, 1121]
 13.8 :    1 : [1151]
 13.9 :    1 : [1170]
 14.2 :    1 : [1118]
 14.3 :    2 : [1105, 1126]
 14.4 :    3 : [1077, 1110, 1119]
 14.5 :    3 : [1111, 1116, 1129]
 14.6 :    1 : [1082]
 14.7 :    1 : [1150]
 14.8 :    1 : [1090]
 14.9 :    1 : [1159]
 15.0 :    1 : [1125]
 15.2 :    2 : [1075, 1142]
 15.3 :    1 : [1144]
 15.4 :    3 : [1100, 1136, 1148]
 15.6 :    2 : [1113, 1123]
 15.8 :    2 : [1095, 1137]
 16.0 :    1 : [1146]
 16.2 :    1 : [1166]
 16.3 :    1 : [1098]
 16.4 :    2 : [1087, 1088]
 16.5 :    3 : [1134, 1140, 1164]
 16.6 :    1 : [1103]
 16.7 :    1 : [1145]
 17.0 :    2 : [1074, 1094]
 17.3 :    1 : [1161]
 17.4 :    2 : [1079, 1170]
 17.6 :    1 : [1117]
 17.7 :    1 : [1107]
 17.8 :    2 : [1126, 1127]
 17.9 :    3 : [1090, 1135, 1150]
 18.1 :    2 : [1097, 1115]
 18.3 :    1 : [1121]
 18.6 :    1 : [1111]
 18.7 :    1 : [1168]
 18.9 :    2 : [1129, 1152]
 19.0 :    5 : [1076, 1106, 1116, 1144, 1151]
 19.1 :    1 : [1142]
 19.4 :    1 : [1155]
 19.5 :    1 : [1163]
 19.6 :    2 : [1095, 1118]
 19.7 :    1 : [1084]
 19.8 :    2 : [1077, 1108]
 19.9 :    2 : [1136, 1146]
 20.2 :    1 : [1105]
 20.3 :    1 : [1159]
 20.7 :    1 : [1125]
 20.9 :    2 : [1103, 1134]
 21.0 :    2 : [1090, 1147]
 21.3 :    1 : [1131]
 21.5 :    1 : [1109]
 21.6 :    4 : [1075, 1093, 1100, 1158]
 21.7 :    1 : [1113]
 21.8 :    2 : [1107, 1165]
 21.9 :    1 : [1126]
 22.0 :    2 : [1111, 1143]
 22.1 :    2 : [1121, 1145]
 22.2 :    3 : [1135, 1144, 1161]
 22.3 :    1 : [1164]
 22.4 :    2 : [1087, 1110]
 22.7 :    2 : [1074, 1170]
 22.8 :    1 : [1116]
 22.9 :    2 : [1139, 1149]
 23.1 :    1 : [1082]
 23.2 :    2 : [1106, 1138]
 23.4 :    2 : [1086, 1129]
 23.6 :    2 : [1136, 1150]
 23.7 :    1 : [1119]
 23.8 :    2 : [1078, 1159]
 23.9 :    1 : [1098]
 24.0 :    1 : [1117]
 24.3 :    1 : [1118]
 24.4 :    1 : [1077]
 24.5 :    3 : [1083, 1095, 1147]
 24.9 :    1 : [1088]
 25.0 :    1 : [1075]
 25.3 :    1 : [1090]
 25.4 :    4 : [1079, 1089, 1140, 1161]
 25.6 :    1 : [1122]
 25.7 :    1 : [1170]
 25.9 :    3 : [1087, 1111, 1166]
 26.5 :    1 : [1094]
 26.8 :    1 : [1080]
 27.0 :    2 : [1102, 1159]
 27.1 :    1 : [1142]
 27.2 :    3 : [1103, 1117, 1126]
 27.3 :    1 : [1110]
 27.4 :    2 : [1105, 1152]
 27.5 :    4 : [1076, 1077, 1144, 1148]
 27.6 :    1 : [1106]
 27.9 :    1 : [1125]
 28.0 :    3 : [1095, 1107, 1146]
 28.1 :    4 : [1090, 1116, 1151, 1164]
 28.2 :    3 : [1093, 1147, 1150]
 28.5 :    1 : [1139]
 28.8 :    3 : [1127, 1129, 1153]
 29.3 :    1 : [1118]
 29.4 :    3 : [1134, 1145, 1165]
 29.8 :    3 : [1086, 1166, 1170]
 30.0 :    2 : [1123, 1161]
 30.1 :    1 : [1158]
 30.2 :    1 : [1155]
 30.5 :    2 : [1113, 1121]
 30.8 :    1 : [1111]
 31.0 :    3 : [1089, 1095, 1140]
 31.1 :    2 : [1087, 1098]
 31.2 :    1 : [1112]
 31.3 :    3 : [1078, 1105, 1116]
 31.4 :    1 : [1075]
 31.5 :    1 : [1150]
 31.6 :    1 : [1173]
 31.8 :    1 : [1136]
 31.9 :    4 : [1074, 1142, 1147, 1172]
 32.0 :    4 : [1088, 1106, 1138, 1144]
 32.4 :    1 : [1151]
 32.5 :    1 : [1109]
 32.6 :    1 : [1133]
 32.7 :    1 : [1146]
 32.8 :    1 : [1117]
 32.9 :    2 : [1168, 1170]
 33.3 :    1 : [1103]
 33.5 :    2 : [1131, 1157]
 33.6 :    1 : [1107]
 33.9 :    1 : [1119]
 34.1 :    2 : [1134, 1164]
 34.2 :    1 : [1111]
 34.4 :    2 : [1129, 1159]
 34.5 :    1 : [1086]
 34.8 :    2 : [1083, 1092]
 34.9 :    2 : [1094, 1139]
 35.0 :    2 : [1095, 1147]
 35.1 :    3 : [1100, 1116, 1118]
 35.2 :    4 : [1077, 1079, 1115, 1150]
 35.4 :    1 : [1154]
 35.5 :    1 : [1121]
 35.7 :    1 : [1142]
 36.0 :    2 : [1137, 1144]
 36.1 :    1 : [1078]
 36.2 :    1 : [1113]
 36.3 :    1 : [1153]
 36.4 :    1 : [1165]
 36.5 :    1 : [1089]
 36.6 :    2 : [1106, 1135]
 36.7 :    2 : [1098, 1140]
 36.8 :    2 : [1105, 1151]
 37.0 :    1 : [1155]
 37.1 :    1 : [1126]
 37.3 :    3 : [1082, 1143, 1146]
 37.4 :    2 : [1088, 1136]
 37.5 :    1 : [1075]
 37.6 :    3 : [1107, 1129, 1159]
 37.7 :    1 : [1108]
 37.8 :    1 : [1162]
 38.0 :    1 : [1164]
 38.1 :    2 : [1080, 1166]
 38.2 :    1 : [1074]
 38.3 :    2 : [1087, 1119]
 38.6 :    2 : [1116, 1150]
 38.7 :    2 : [1076, 1147]
 39.1 :    2 : [1090, 1095]
 39.4 :    1 : [1093]
 39.6 :    1 : [1111]
 39.7 :    2 : [1100, 1138]
 39.8 :    2 : [1144, 1163]
 39.9 :    1 : [1089]
 40.0 :    1 : [1117]
 40.1 :    2 : [1106, 1127]
 40.3 :    3 : [1079, 1103, 1152]
 40.5 :    1 : [1105]
 40.7 :    4 : [1092, 1125, 1126, 1140]
 40.8 :    1 : [1133]
 40.9 :    1 : [1075]
 41.0 :    2 : [1142, 1154]
 41.3 :    1 : [1173]
 41.5 :    2 : [1074, 1151]
 41.6 :    4 : [1113, 1139, 1145, 1164]
 41.7 :    2 : [1168, 1170]
 41.8 :    2 : [1116, 1135]
 41.9 :    1 : [1129]
 42.1 :    2 : [1110, 1118]
 42.2 :    2 : [1088, 1159]
 42.3 :    1 : [1090]
 42.4 :    2 : [1082, 1087]
 42.5 :    1 : [1098]
 42.7 :    1 : [1083]
 43.0 :    1 : [1086]
 43.1 :    1 : [1137]
 43.2 :    1 : [1146]
 43.4 :    1 : [1077]
 43.6 :    1 : [1144]
 43.7 :    1 : [1123]
 43.8 :    1 : [1095]
 43.9 :    1 : [1107]
 44.0 :    2 : [1076, 1134]
 44.1 :    1 : [1079]
 44.2 :    1 : [1155]
 44.4 :    2 : [1117, 1154]
 44.6 :    1 : [1119]
 44.7 :    2 : [1078, 1106]
 44.9 :    2 : [1103, 1125]
 45.0 :    1 : [1142]
 45.1 :    3 : [1094, 1140, 1150]
 45.2 :    1 : [1164]
 45.5 :    1 : [1136]
 45.6 :    1 : [1126]
 45.7 :    3 : [1116, 1127, 1166]
 45.9 :    1 : [1170]
 46.1 :    1 : [1089]
 46.4 :    2 : [1075, 1105]
 46.6 :    2 : [1121, 1153]
 46.8 :    3 : [1077, 1118, 1146]
 46.9 :    1 : [1131]
 47.0 :    1 : [1086]
 47.2 :    1 : [1080]
 47.3 :    1 : [1074]
 47.4 :    2 : [1095, 1144]
 47.6 :    1 : [1147]
 47.7 :    2 : [1087, 1135]
 48.0 :    2 : [1103, 1107]
 48.1 :    1 : [1129]
 48.5 :    2 : [1165, 1173]
 48.6 :    3 : [1109, 1154, 1161]
 48.7 :    1 : [1088]
 48.8 :    2 : [1098, 1152]
 49.0 :    2 : [1116, 1164]
 49.1 :    1 : [1163]
 49.2 :    1 : [1150]
 49.3 :    1 : [1138]
 49.5 :    1 : [1159]
 49.6 :    1 : [1170]
 49.7 :    2 : [1102, 1105]
 49.8 :    2 : [1110, 1119]
 49.9 :    1 : [1132]
 50.0 :    1 : [1166]
 50.1 :    2 : [1078, 1117]
 50.2 :    1 : [1125]
 50.6 :    1 : [1171]
 50.8 :    1 : [1094]
 50.9 :    2 : [1095, 1136]
 51.1 :    2 : [1080, 1144]
 51.3 :    1 : [1107]
 51.5 :    1 : [1077]
 51.6 :    1 : [1090]
 51.7 :    2 : [1093, 1167]
 51.8 :    1 : [1121]
 51.9 :    1 : [1147]
 52.0 :    1 : [1111]
 52.1 :    2 : [1142, 1172]
 52.2 :    2 : [1106, 1126]
 52.3 :    1 : [1100]
 52.4 :    1 : [1074]
 52.5 :    1 : [1098]
 52.6 :    2 : [1088, 1123]
 52.7 :    3 : [1075, 1146, 1151]
 52.9 :    3 : [1155, 1158, 1170]
 53.0 :    2 : [1083, 1103]
 53.1 :    1 : [1150]
 53.2 :    1 : [1129]
 53.3 :    3 : [1105, 1112, 1161]
 53.6 :    1 : [1116]
 53.8 :    1 : [1118]
 53.9 :    1 : [1137]
 54.1 :    1 : [1082]
 54.3 :    1 : [1145]
 54.4 :    1 : [1138]
 54.5 :    5 : [1113, 1119, 1133, 1139, 1164]
 54.6 :    1 : [1117]
 54.9 :    1 : [1087]
 55.0 :    2 : [1135, 1144]
 55.2 :    1 : [1149]
 55.3 :    2 : [1111, 1159]
 55.4 :    1 : [1074]
 55.5 :    2 : [1142, 1168]
 55.7 :    2 : [1090, 1110]
 55.8 :    1 : [1093]
 55.9 :    3 : [1094, 1095, 1126]
 56.1 :    2 : [1121, 1147]
 56.2 :    3 : [1107, 1150, 1170]
 56.3 :    3 : [1078, 1106, 1136]
 56.4 :    1 : [1143]
 56.5 :    1 : [1079]
 56.8 :    1 : [1146]
 57.0 :    2 : [1077, 1080]
 57.1 :    2 : [1083, 1129]
 57.4 :    2 : [1091, 1108]
 57.7 :    2 : [1084, 1155]
 57.8 :    2 : [1098, 1158]
 57.9 :    1 : [1161]
 58.0 :    1 : [1162]
 58.2 :    2 : [1086, 1116]
 58.5 :    1 : [1173]
 58.6 :    1 : [1097]
 59.0 :    3 : [1075, 1105, 1166]
 59.2 :    2 : [1151, 1154]
 59.3 :    3 : [1131, 1144, 1170]
 59.5 :    1 : [1171]
 59.7 :    2 : [1095, 1137]
 59.8 :    2 : [1093, 1135]
 59.9 :    3 : [1074, 1125, 1150]
 60.0 :    2 : [1129, 1136]
 60.2 :    1 : [1088]
 60.3 :    4 : [1077, 1087, 1113, 1140]
 60.4 :    1 : [1117]
 60.5 :    3 : [1111, 1119, 1159]
 60.8 :    1 : [1145]
 60.9 :    2 : [1090, 1139]
 61.0 :    1 : [1089]
 61.1 :    1 : [1116]
 61.3 :    1 : [1082]
 61.4 :    1 : [1106]
 61.5 :    1 : [1123]
 62.0 :    2 : [1107, 1138]
 62.2 :    1 : [1147]
 62.4 :    2 : [1142, 1164]
 62.5 :    2 : [1133, 1146]
 62.6 :    1 : [1078]
 62.7 :    2 : [1095, 1158]
 62.8 :    1 : [1105]
 62.9 :    1 : [1080]
 63.1 :    1 : [1079]
 63.4 :    1 : [1086]
