Name: SNr [GABA], Title: Raster plot from device '1513', Hist: False
 16.1 :    3 : [435, 437, 440]
 16.2 :    3 : [431, 432, 434]
 16.4 :    2 : [436, 438]
 16.5 :    1 : [433]
 16.7 :    1 : [439]
 18.4 :    2 : [437, 440]
 18.5 :    4 : [431, 432, 434, 435]
 18.7 :    1 : [438]
 18.8 :    2 : [433, 436]
 19.0 :    1 : [439]
 20.7 :    3 : [431, 437, 440]
 20.8 :    3 : [432, 434, 435]
 21.0 :    3 : [433, 436, 438]
 21.3 :    1 : [439]
 22.9 :    2 : [431, 440]
 23.0 :    2 : [434, 437]
 23.1 :    2 : [432, 435]
 23.2 :    3 : [433, 436, 438]
 23.5 :    1 : [439]
 25.1 :    1 : [440]
 25.2 :    3 : [431, 434, 437]
 25.3 :    1 : [432]
 25.4 :    3 : [433, 435, 438]
 25.5 :    1 : [436]
 25.8 :    1 : [439]
 27.2 :    1 : [440]
 27.3 :    1 : [437]
 27.4 :    1 : [431]
 27.5 :    2 : [432, 434]
 27.6 :    3 : [433, 436, 438]
 27.7 :    1 : [435]
 28.0 :    1 : [439]
 29.6 :    1 : [431]
 29.7 :    2 : [434, 440]
 29.8 :    3 : [432, 436, 437]
 30.0 :    1 : [435]
 30.1 :    2 : [433, 438]
 30.5 :    1 : [439]
 31.8 :    3 : [431, 434, 440]
 31.9 :    2 : [436, 437]
 32.0 :    1 : [432]
 32.2 :    3 : [433, 435, 438]
 32.7 :    1 : [439]
 33.9 :    1 : [440]
 34.0 :    1 : [434]
 34.1 :    3 : [431, 436, 437]
 34.2 :    1 : [432]
 34.4 :    1 : [438]
 34.8 :    1 : [435]
 35.7 :    1 : [433]
 36.0 :    1 : [440]
 36.1 :    1 : [434]
 36.2 :    3 : [431, 436, 437]
 36.5 :    2 : [432, 438]
 37.1 :    1 : [435]
 37.8 :    2 : [433, 439]
 38.2 :    1 : [434]
 38.3 :    1 : [431]
 38.5 :    3 : [436, 437, 440]
 38.7 :    2 : [432, 438]
 39.9 :    2 : [433, 439]
 40.3 :    1 : [434]
 40.4 :    1 : [431]
 40.6 :    3 : [436, 437, 440]
 40.8 :    1 : [438]
 41.0 :    1 : [432]
 41.2 :    1 : [435]
 42.0 :    2 : [433, 439]
 42.4 :    1 : [434]
 42.6 :    1 : [431]
 42.8 :    1 : [440]
 43.0 :    3 : [436, 437, 438]
 43.3 :    2 : [432, 435]
 44.1 :    1 : [439]
 44.5 :    1 : [434]
 44.7 :    1 : [431]
 44.9 :    1 : [440]
 45.1 :    3 : [436, 437, 438]
 46.2 :    1 : [433]
 46.6 :    2 : [434, 439]
 46.9 :    1 : [431]
 47.0 :    1 : [435]
 47.3 :    1 : [438]
 47.5 :    1 : [437]
 48.3 :    1 : [433]
 48.7 :    1 : [439]
 48.8 :    1 : [434]
 49.0 :    1 : [431]
 49.1 :    1 : [435]
 49.4 :    2 : [436, 438]
 49.6 :    1 : [437]
 50.4 :    1 : [432]
 50.7 :    1 : [433]
 50.9 :    1 : [439]
 51.2 :    1 : [440]
 51.3 :    1 : [435]
 51.4 :    1 : [431]
 51.5 :    1 : [436]
 52.5 :    1 : [432]
 52.8 :    1 : [433]
 53.0 :    1 : [439]
 53.3 :    2 : [438, 440]
 53.5 :    2 : [431, 435]
 53.6 :    2 : [434, 436]
 54.6 :    1 : [432]
 54.9 :    2 : [433, 437]
 55.4 :    2 : [438, 440]
 55.7 :    3 : [434, 436, 439]
 56.7 :    1 : [432]
 57.0 :    3 : [431, 433, 437]
 57.1 :    1 : [435]
 57.5 :    1 : [438]
 58.0 :    1 : [434]
 58.4 :    1 : [439]
 59.0 :    1 : [432]
 59.1 :    2 : [431, 437]
 59.2 :    1 : [435]
 59.6 :    1 : [438]
 59.7 :    1 : [436]
 60.1 :    1 : [434]
 60.9 :    1 : [439]
 61.2 :    2 : [431, 437]
 61.4 :    1 : [432]
 61.8 :    1 : [436]
 63.1 :    2 : [433, 439]
 63.3 :    1 : [431]
 63.7 :    2 : [432, 435]
 63.9 :    1 : [438]
 65.2 :    2 : [433, 439]
 65.4 :    2 : [431, 437]
 65.8 :    2 : [434, 435]
 66.0 :    1 : [438]
 66.1 :    1 : [432]
 67.3 :    1 : [433]
 67.5 :    2 : [431, 437]
 67.7 :    1 : [436]
 67.9 :    1 : [434]
 68.2 :    1 : [439]
 68.3 :    1 : [432]
 69.4 :    2 : [433, 435]
 69.6 :    1 : [437]
 69.8 :    1 : [436]
 69.9 :    1 : [431]
 70.0 :    1 : [434]
 70.3 :    1 : [439]
 71.5 :    1 : [435]
 71.7 :    1 : [437]
 71.9 :    2 : [436, 438]
 72.0 :    1 : [431]
 72.1 :    1 : [434]
 72.4 :    1 : [439]
 74.0 :    1 : [438]
 74.1 :    1 : [431]
 74.4 :    1 : [436]
 74.7 :    1 : [439]
 75.7 :    1 : [433]
 76.1 :    1 : [438]
 76.2 :    1 : [431]
 77.6 :    1 : [435]
 77.8 :    1 : [433]
 78.4 :    1 : [431]
 78.6 :    2 : [438, 439]
 78.7 :    2 : [434, 437]
 79.7 :    1 : [435]
 79.9 :    1 : [433]
 80.5 :    1 : [431]
 80.7 :    1 : [439]
 80.8 :    2 : [434, 437]
 81.8 :    1 : [435]
 82.0 :    1 : [433]
 82.6 :    1 : [431]
 83.0 :    1 : [439]
 84.0 :    1 : [435]
 84.7 :    1 : [431]
 85.2 :    1 : [439]
 86.6 :    1 : [437]
 86.9 :    1 : [431]
 88.2 :    1 : [433]
 88.7 :    1 : [437]
 89.0 :    1 : [431]
 89.7 :    1 : [439]
 90.3 :    1 : [433]
 90.4 :    1 : [434]
 91.2 :    1 : [431]
 91.8 :    1 : [439]
 92.4 :    1 : [433]
 92.5 :    1 : [434]
 93.3 :    1 : [431]
 94.1 :    1 : [439]
 94.6 :    1 : [433]
 95.8 :    1 : [431]
 96.5 :    1 : [439]
 97.7 :    1 : [436]
 97.8 :    1 : [437]
 97.9 :    1 : [431]
 99.0 :    1 : [433]
 99.8 :    1 : [436]
 99.9 :    1 : [437]
100.1 :    1 : [431]
101.1 :    1 : [433]
101.5 :    1 : [439]
102.2 :    1 : [431]
103.6 :    2 : [433, 439]
103.7 :    1 : [434]
104.4 :    1 : [431]
105.7 :    2 : [433, 439]
105.8 :    1 : [434]
106.5 :    1 : [431]
107.8 :    2 : [433, 439]
107.9 :    1 : [434]
109.6 :    1 : [431]
110.0 :    1 : [434]
110.1 :    1 : [433]
111.7 :    1 : [431]
111.9 :    1 : [437]
112.1 :    1 : [434]
112.5 :    1 : [439]
113.8 :    1 : [431]
114.0 :    1 : [437]
114.6 :    1 : [439]
115.9 :    1 : [431]
116.1 :    1 : [437]
116.7 :    2 : [433, 439]
118.8 :    2 : [433, 439]
119.0 :    1 : [431]
120.9 :    1 : [433]
121.1 :    1 : [431]
123.2 :    1 : [431]
125.3 :    1 : [431]
125.7 :    1 : [439]
126.8 :    1 : [433]
127.8 :    1 : [439]
128.9 :    1 : [433]
129.6 :    1 : [431]
131.0 :    1 : [433]
131.7 :    1 : [431]
133.1 :    1 : [433]
133.7 :    1 : [436]
133.8 :    1 : [431]
133.9 :    1 : [439]
135.2 :    1 : [433]
135.8 :    1 : [436]
135.9 :    1 : [431]
136.0 :    1 : [439]
137.5 :    1 : [433]
138.1 :    1 : [439]
139.7 :    1 : [433]
140.0 :    1 : [431]
140.3 :    1 : [439]
142.1 :    1 : [431]
144.2 :    1 : [431]
145.7 :    1 : [439]
146.3 :    1 : [431]
147.8 :    1 : [439]
148.1 :    1 : [433]
149.9 :    2 : [431, 439]
150.2 :    1 : [433]
152.0 :    1 : [431]
152.1 :    1 : [439]
152.3 :    1 : [433]
154.1 :    1 : [431]
154.4 :    1 : [433]
156.2 :    1 : [431]
156.8 :    2 : [433, 439]
158.9 :    1 : [439]
159.0 :    2 : [431, 433]
161.0 :    1 : [439]
161.1 :    1 : [431]
163.2 :    2 : [431, 439]
165.3 :    1 : [431]
165.5 :    1 : [433]
167.6 :    1 : [433]
168.9 :    1 : [439]
169.3 :    1 : [431]
169.7 :    1 : [433]
171.0 :    1 : [439]
171.4 :    1 : [431]
171.9 :    1 : [436]
173.1 :    1 : [439]
