Name: DR  [5HT], Title: Raster plot from device '20312', Hist: False
 29.5 :   10 : [251, 252, 253, 254, 255, 256, 257, 258, 259, 260]
 75.3 :    2 : [254, 260]
 75.4 :    8 : [251, 252, 253, 255, 256, 257, 258, 259]
 78.3 :    2 : [254, 260]
 78.4 :    4 : [251, 252, 253, 256]
 78.5 :    4 : [255, 257, 258, 259]
130.2 :    2 : [254, 260]
130.3 :    4 : [253, 255, 257, 259]
130.4 :    4 : [251, 252, 256, 258]
133.2 :    2 : [254, 260]
133.3 :    2 : [253, 259]
133.4 :    3 : [251, 255, 257]
133.5 :    3 : [252, 256, 258]
185.2 :    3 : [254, 259, 260]
185.3 :    7 : [251, 252, 253, 255, 256, 257, 258]
188.2 :    3 : [254, 259, 260]
188.3 :    3 : [251, 253, 256]
188.4 :    4 : [252, 255, 257, 258]
213.3 :    1 : [251]
214.1 :    1 : [255]
214.5 :    1 : [252]
215.4 :    1 : [259]
216.0 :    1 : [251]
216.8 :    1 : [257]
216.9 :    1 : [256]
217.7 :    1 : [252]
218.0 :    1 : [255]
219.0 :    1 : [251]
220.3 :    1 : [256]
222.1 :    1 : [251]
222.7 :    1 : [254]
222.8 :    1 : [253]
222.9 :    1 : [255]
224.1 :    1 : [256]
225.1 :    1 : [252]
225.2 :    1 : [251]
226.4 :    1 : [255]
226.7 :    1 : [253]
227.8 :    1 : [256]
228.1 :    1 : [251]
228.5 :    1 : [252]
229.9 :    1 : [254]
230.4 :    1 : [255]
232.0 :    1 : [251]
233.0 :    1 : [253]
233.7 :    1 : [254]
234.0 :    1 : [255]
236.4 :    1 : [253]
237.1 :    1 : [256]
237.9 :    1 : [252]
238.0 :    1 : [254]
239.1 :    1 : [251]
241.4 :    1 : [259]
241.5 :    1 : [254]
241.6 :    1 : [255]
242.6 :    1 : [251]
248.3 :    1 : [257]
248.7 :    1 : [255]
248.8 :    1 : [253]
249.0 :    1 : [251]
249.9 :    1 : [256]
252.1 :    2 : [255, 257]
252.6 :    1 : [259]
252.7 :    1 : [251]
254.8 :    1 : [255]
255.7 :    1 : [251]
256.1 :    1 : [259]
256.2 :    2 : [252, 257]
257.6 :    1 : [255]
258.4 :    1 : [251]
259.7 :    1 : [259]
261.1 :    1 : [255]
262.9 :    1 : [259]
265.4 :    1 : [256]
265.9 :    1 : [255]
267.0 :    1 : [254]
267.8 :    1 : [257]
268.9 :    1 : [259]
269.5 :    1 : [252]
270.2 :    1 : [256]
270.5 :    1 : [251]
270.7 :    1 : [253]
272.9 :    1 : [257]
273.0 :    1 : [252]
273.5 :    1 : [255]
274.0 :    1 : [251]
276.0 :    1 : [259]
277.2 :    1 : [251]
277.6 :    1 : [256]
279.5 :    1 : [255]
279.9 :    1 : [252]
280.2 :    1 : [251]
281.5 :    1 : [257]
282.9 :    1 : [255]
283.2 :    1 : [251]
286.1 :    1 : [251]
286.6 :    1 : [255]
287.3 :    1 : [259]
287.6 :    1 : [257]
289.0 :    1 : [251]
289.6 :    1 : [255]
291.2 :    1 : [259]
292.5 :    1 : [254]
293.7 :    1 : [251]
294.8 :    1 : [259]
295.1 :    1 : [255]
296.8 :    1 : [252]
300.0 :    2 : [255, 257]
300.2 :    1 : [254]
301.7 :    1 : [252]
302.1 :    1 : [251]
303.2 :    1 : [254]
303.6 :    1 : [255]
304.4 :    1 : [253]
304.9 :    1 : [251]
307.7 :    1 : [254]
308.6 :    1 : [252]
309.3 :    1 : [251]
309.9 :    1 : [255]
310.5 :    1 : [257]
358.0 :    2 : [254, 260]
358.1 :    2 : [252, 253]
358.2 :    5 : [255, 256, 257, 258, 259]
358.3 :    1 : [251]
361.0 :    2 : [254, 260]
361.1 :    2 : [252, 253]
361.3 :    5 : [255, 256, 257, 258, 259]
361.4 :    1 : [251]
413.3 :    2 : [254, 260]
413.4 :    8 : [251, 252, 253, 255, 256, 257, 258, 259]
416.3 :    2 : [254, 260]
416.4 :    2 : [251, 253]
416.5 :    6 : [252, 255, 256, 257, 258, 259]
468.4 :    2 : [254, 260]
468.5 :    8 : [251, 252, 253, 255, 256, 257, 258, 259]
471.3 :    1 : [254]
471.4 :    2 : [251, 260]
471.5 :    5 : [252, 253, 256, 258, 259]
471.6 :    2 : [255, 257]
523.3 :    2 : [254, 260]
523.4 :    6 : [251, 252, 253, 255, 257, 259]
523.5 :    2 : [256, 258]
526.2 :    1 : [254]
526.3 :    3 : [251, 253, 260]
526.4 :    4 : [252, 255, 257, 259]
526.6 :    2 : [256, 258]
578.6 :    1 : [260]
578.7 :    4 : [253, 254, 255, 259]
578.8 :    5 : [251, 252, 256, 257, 258]
581.5 :    1 : [260]
581.6 :    2 : [253, 254]
581.7 :    2 : [255, 259]
581.8 :    4 : [251, 252, 256, 258]
581.9 :    1 : [257]
633.7 :    2 : [254, 260]
633.8 :    8 : [251, 252, 253, 255, 256, 257, 258, 259]
636.6 :    2 : [254, 260]
636.7 :    2 : [251, 253]
636.8 :    6 : [252, 255, 256, 257, 258, 259]
688.7 :    3 : [254, 259, 260]
688.8 :    7 : [251, 252, 253, 255, 256, 257, 258]
691.6 :    3 : [254, 259, 260]
691.7 :    2 : [251, 253]
691.8 :    5 : [252, 255, 256, 257, 258]
711.9 :    1 : [252]
714.3 :    1 : [260]
714.5 :    1 : [257]
714.9 :    1 : [252]
717.3 :    1 : [253]
717.4 :    1 : [258]
718.0 :    2 : [252, 260]
721.0 :    1 : [252]
721.7 :    2 : [251, 260]
722.6 :    1 : [257]
723.7 :    1 : [252]
724.1 :    1 : [258]
724.6 :    1 : [260]
725.4 :    1 : [257]
726.1 :    1 : [253]
728.0 :    1 : [258]
729.5 :    1 : [253]
729.9 :    1 : [251]
730.7 :    1 : [252]
731.3 :    1 : [260]
731.5 :    1 : [257]
734.5 :    1 : [252]
737.7 :    2 : [252, 258]
739.3 :    1 : [253]
739.4 :    1 : [260]
741.1 :    1 : [257]
741.6 :    1 : [252]
744.2 :    1 : [258]
744.3 :    1 : [251]
744.8 :    1 : [252]
