Name: GPe [GABA], Title: Raster plot from device '20331', Hist: False
415.3 :    1 : [526]
415.5 :    1 : [518]
415.6 :    4 : [489, 497, 499, 506]
415.7 :    1 : [495]
415.8 :    3 : [503, 509, 520]
415.9 :    2 : [490, 512]
416.0 :    3 : [488, 517, 525]
416.1 :    1 : [511]
416.2 :    2 : [504, 507]
416.3 :    1 : [521]
416.5 :    2 : [510, 516]
416.6 :    1 : [502]
416.7 :    1 : [500]
416.8 :    1 : [508]
416.9 :    1 : [522]
417.1 :    1 : [519]
417.2 :    1 : [528]
417.4 :    1 : [498]
417.5 :    3 : [486, 501, 524]
417.7 :    1 : [527]
417.8 :    2 : [487, 493]
417.9 :    1 : [515]
418.1 :    1 : [496]
418.4 :    2 : [485, 523]
418.5 :    1 : [491]
418.7 :    1 : [513]
418.9 :    1 : [494]
419.2 :    1 : [492]
424.4 :    1 : [514]
425.8 :    1 : [505]
