Name: MnR  [5HT], Title: Raster plot from device '20305', Hist: False
 29.5 :   10 : [181, 182, 183, 184, 185, 186, 187, 188, 189, 190]
 75.3 :    4 : [182, 184, 186, 188]
 75.4 :    5 : [181, 183, 185, 187, 190]
 75.5 :    1 : [189]
 78.3 :    4 : [182, 184, 186, 188]
 78.4 :    3 : [181, 185, 190]
 78.5 :    2 : [183, 187]
 78.6 :    1 : [189]
130.2 :    2 : [182, 186]
130.3 :    4 : [181, 184, 185, 188]
130.4 :    3 : [183, 187, 190]
130.5 :    1 : [189]
133.1 :    1 : [182]
133.2 :    1 : [186]
133.3 :    4 : [181, 184, 185, 188]
133.5 :    3 : [183, 187, 190]
133.7 :    1 : [189]
185.1 :    1 : [186]
185.2 :    4 : [181, 182, 184, 188]
185.3 :    4 : [183, 185, 187, 190]
185.4 :    1 : [189]
188.0 :    1 : [186]
188.2 :    4 : [181, 182, 184, 188]
188.3 :    1 : [190]
188.4 :    3 : [183, 185, 187]
188.6 :    1 : [189]
215.3 :    1 : [181]
215.5 :    1 : [182]
215.8 :    1 : [190]
215.9 :    1 : [186]
216.3 :    1 : [188]
218.5 :    1 : [182]
219.3 :    1 : [190]
220.2 :    2 : [187, 188]
221.1 :    1 : [186]
221.2 :    1 : [189]
221.4 :    1 : [181]
221.9 :    1 : [182]
223.5 :    1 : [187]
224.6 :    1 : [186]
224.9 :    1 : [188]
225.0 :    1 : [190]
225.8 :    1 : [182]
226.1 :    1 : [187]
227.9 :    1 : [186]
228.3 :    1 : [190]
229.9 :    1 : [187]
230.5 :    1 : [189]
230.7 :    1 : [182]
232.2 :    1 : [186]
232.4 :    1 : [190]
232.7 :    1 : [181]
233.8 :    1 : [182]
235.1 :    2 : [186, 189]
235.3 :    1 : [188]
236.4 :    1 : [190]
237.1 :    1 : [181]
238.4 :    1 : [187]
239.2 :    1 : [182]
240.4 :    1 : [186]
241.3 :    1 : [189]
241.7 :    1 : [188]
241.9 :    1 : [190]
242.7 :    1 : [182]
243.6 :    1 : [187]
244.7 :    1 : [186]
245.6 :    1 : [182]
245.7 :    1 : [190]
245.8 :    1 : [188]
246.0 :    1 : [181]
248.9 :    1 : [186]
249.4 :    1 : [187]
249.5 :    1 : [182]
250.3 :    1 : [190]
250.9 :    1 : [181]
251.8 :    1 : [186]
252.8 :    1 : [182]
254.0 :    1 : [181]
255.1 :    1 : [187]
255.5 :    1 : [182]
256.9 :    1 : [190]
258.8 :    1 : [187]
259.8 :    1 : [181]
260.2 :    1 : [182]
262.5 :    1 : [190]
264.2 :    1 : [182]
264.4 :    1 : [181]
267.1 :    1 : [182]
267.5 :    1 : [188]
267.7 :    1 : [186]
269.2 :    1 : [187]
271.0 :    1 : [181]
271.1 :    1 : [182]
274.7 :    1 : [187]
275.2 :    1 : [190]
276.1 :    1 : [189]
276.9 :    1 : [181]
277.6 :    1 : [186]
277.9 :    1 : [182]
278.1 :    1 : [190]
279.1 :    1 : [187]
280.7 :    1 : [190]
281.6 :    1 : [188]
281.7 :    1 : [181]
281.8 :    1 : [182]
283.6 :    1 : [189]
285.8 :    1 : [188]
285.9 :    1 : [190]
287.8 :    1 : [189]
289.6 :    3 : [181, 186, 190]
289.7 :    1 : [188]
290.7 :    1 : [187]
291.2 :    1 : [189]
292.3 :    2 : [182, 190]
293.7 :    2 : [181, 186]
295.1 :    1 : [188]
295.2 :    1 : [182]
296.2 :    1 : [190]
296.6 :    1 : [187]
297.6 :    1 : [186]
298.2 :    1 : [182]
298.4 :    1 : [189]
299.0 :    1 : [188]
300.0 :    1 : [190]
301.1 :    1 : [187]
301.6 :    1 : [182]
302.8 :    1 : [186]
303.8 :    1 : [188]
305.4 :    1 : [187]
305.5 :    1 : [186]
306.9 :    1 : [190]
308.9 :    1 : [186]
310.3 :    1 : [182]
311.9 :    1 : [189]
358.0 :    1 : [186]
358.1 :    3 : [182, 188, 190]
358.2 :    5 : [181, 183, 184, 185, 187]
358.3 :    1 : [189]
361.0 :    1 : [186]
361.1 :    3 : [182, 188, 190]
361.2 :    1 : [184]
361.3 :    4 : [181, 183, 185, 187]
361.5 :    1 : [189]
413.3 :    3 : [182, 184, 186]
413.4 :    6 : [181, 183, 185, 187, 188, 190]
413.5 :    1 : [189]
416.3 :    3 : [182, 184, 186]
416.5 :    6 : [181, 183, 185, 187, 188, 190]
416.7 :    1 : [189]
468.4 :    3 : [182, 184, 186]
468.5 :    5 : [181, 185, 187, 188, 190]
468.6 :    2 : [183, 189]
471.3 :    3 : [182, 184, 186]
471.5 :    4 : [181, 185, 188, 190]
471.6 :    1 : [187]
471.7 :    2 : [183, 189]
523.3 :    2 : [182, 186]
523.4 :    5 : [181, 184, 185, 187, 188]
523.5 :    2 : [183, 190]
523.6 :    1 : [189]
526.2 :    2 : [182, 186]
526.4 :    5 : [181, 184, 185, 187, 188]
526.5 :    1 : [190]
526.6 :    1 : [183]
526.8 :    1 : [189]
578.6 :    2 : [182, 186]
578.7 :    3 : [181, 184, 188]
578.8 :    4 : [183, 185, 187, 190]
578.9 :    1 : [189]
581.5 :    2 : [182, 186]
581.6 :    1 : [184]
581.7 :    2 : [181, 188]
581.8 :    3 : [183, 185, 190]
581.9 :    1 : [187]
582.0 :    1 : [189]
633.6 :    1 : [186]
633.7 :    2 : [182, 184]
633.8 :    6 : [181, 183, 185, 187, 188, 190]
633.9 :    1 : [189]
636.5 :    1 : [186]
636.6 :    2 : [182, 184]
636.8 :    6 : [181, 183, 185, 187, 188, 190]
637.0 :    1 : [189]
688.6 :    1 : [186]
688.7 :    2 : [182, 184]
688.8 :    6 : [181, 183, 185, 187, 188, 190]
688.9 :    1 : [189]
691.5 :    1 : [186]
691.6 :    2 : [182, 184]
691.8 :    6 : [181, 183, 185, 187, 188, 190]
691.9 :    1 : [189]
711.8 :    1 : [190]
714.5 :    1 : [182]
714.7 :    1 : [190]
716.4 :    1 : [188]
716.5 :    1 : [189]
717.3 :    1 : [190]
719.8 :    1 : [182]
719.9 :    2 : [189, 190]
724.5 :    2 : [189, 190]
725.1 :    1 : [182]
727.9 :    1 : [190]
728.2 :    1 : [182]
730.8 :    1 : [190]
730.9 :    1 : [189]
731.3 :    1 : [188]
734.5 :    1 : [189]
735.3 :    1 : [190]
737.3 :    1 : [182]
737.9 :    1 : [190]
738.8 :    1 : [189]
739.1 :    2 : [187, 188]
740.1 :    1 : [182]
740.6 :    1 : [190]
742.1 :    1 : [189]
742.3 :    1 : [187]
743.1 :    1 : [182]
743.2 :    1 : [188]
743.3 :    1 : [190]
745.9 :    1 : [187]
746.2 :    2 : [182, 188]
746.8 :    1 : [190]
749.2 :    1 : [190]
749.8 :    1 : [189]
750.2 :    1 : [182]
751.7 :    1 : [190]
752.6 :    1 : [189]
753.0 :    1 : [188]
754.7 :    1 : [190]
755.4 :    1 : [189]
755.5 :    1 : [187]
757.4 :    1 : [190]
757.8 :    1 : [182]
759.7 :    1 : [187]
759.8 :    1 : [189]
760.2 :    1 : [190]
760.4 :    1 : [188]
761.7 :    1 : [182]
763.3 :    1 : [190]
763.7 :    1 : [187]
764.7 :    1 : [182]
765.6 :    1 : [189]
765.9 :    1 : [190]
768.4 :    1 : [190]
768.8 :    1 : [189]
768.9 :    1 : [182]
771.5 :    1 : [190]
771.8 :    1 : [182]
772.1 :    1 : [189]
772.2 :    2 : [187, 188]
774.4 :    1 : [190]
775.0 :    1 : [189]
775.8 :    1 : [187]
776.9 :    1 : [182]
