Name: Prefrontal cortex [Glu0], Title: Raster plot from device '20335', Hist: False
414.3 :    1 : [823]
414.4 :    2 : [802, 822]
414.7 :    2 : [801, 879]
414.8 :    1 : [811]
415.8 :    3 : [814, 859, 881]
415.9 :    5 : [806, 825, 865, 874, 880]
416.0 :    1 : [789]
416.5 :    2 : [841, 872]
416.7 :    4 : [793, 812, 819, 835]
417.2 :   10 : [797, 824, 827, 831, 840, 846, 863, 870, 871, 877]
417.4 :    4 : [802, 823, 843, 848]
417.5 :    2 : [822, 828]
417.6 :    6 : [815, 821, 833, 854, 861, 876]
417.7 :    7 : [787, 801, 807, 826, 838, 850, 853]
417.8 :    8 : [786, 792, 808, 811, 816, 837, 856, 879]
417.9 :    3 : [813, 857, 866]
418.1 :    6 : [798, 803, 830, 842, 847, 860]
418.2 :    2 : [844, 873]
418.3 :    4 : [790, 820, 832, 852]
418.4 :    2 : [851, 867]
418.5 :    5 : [788, 799, 800, 818, 858]
418.6 :    5 : [794, 805, 810, 834, 881]
418.7 :    3 : [814, 875, 878]
418.8 :    2 : [809, 859]
418.9 :    5 : [806, 825, 836, 874, 880]
419.0 :    4 : [796, 829, 864, 869]
419.1 :    4 : [791, 793, 817, 872]
419.2 :    4 : [789, 839, 855, 865]
419.3 :    5 : [795, 819, 835, 841, 845]
419.5 :    1 : [849]
419.6 :    2 : [840, 877]
419.7 :    6 : [797, 812, 823, 846, 862, 868]
419.8 :    2 : [824, 871]
419.9 :    1 : [863]
420.0 :    4 : [802, 848, 854, 870]
420.1 :    3 : [801, 831, 833]
420.2 :    5 : [822, 827, 828, 843, 876]
420.3 :    2 : [807, 861]
420.4 :    6 : [792, 811, 815, 826, 853, 879]
420.5 :    5 : [803, 816, 821, 838, 842]
420.6 :    5 : [787, 798, 837, 850, 856]
420.7 :    3 : [786, 860, 873]
420.8 :    1 : [832]
420.9 :    3 : [820, 847, 866]
421.0 :    3 : [790, 857, 881]
421.1 :    6 : [799, 808, 814, 844, 852, 858]
421.2 :    5 : [788, 794, 800, 810, 867]
421.3 :    4 : [806, 830, 851, 859]
421.4 :    4 : [805, 813, 874, 880]
421.5 :    4 : [793, 818, 825, 878]
421.6 :    4 : [791, 796, 864, 872]
421.7 :    4 : [789, 829, 836, 869]
421.8 :    2 : [819, 865]
421.9 :    3 : [795, 817, 855]
422.0 :    4 : [823, 835, 840, 875]
422.1 :    2 : [809, 877]
422.2 :    4 : [797, 834, 839, 846]
422.3 :    2 : [848, 854]
422.4 :    2 : [801, 871]
422.5 :    2 : [833, 841]
422.6 :    2 : [862, 863]
422.8 :    2 : [870, 876]
422.9 :    3 : [822, 831, 842]
423.0 :    3 : [807, 827, 828]
423.1 :    3 : [811, 815, 821]
423.2 :    6 : [798, 803, 816, 845, 856, 873]
423.3 :    3 : [826, 838, 853]
423.4 :    2 : [820, 850]
423.5 :    4 : [790, 832, 860, 881]
423.6 :    3 : [799, 837, 866]
423.7 :    5 : [794, 806, 843, 858, 879]
423.8 :    4 : [786, 792, 814, 852]
423.9 :    4 : [788, 861, 867, 880]
424.0 :    4 : [793, 800, 810, 874]
424.2 :    4 : [791, 796, 824, 864]
424.3 :    3 : [823, 859, 868]
424.4 :    6 : [789, 808, 818, 836, 872, 878]
424.5 :    5 : [797, 813, 840, 851, 869]
424.6 :    7 : [787, 795, 805, 830, 847, 848, 877]
424.7 :    1 : [854]
424.8 :    1 : [801]
424.9 :    2 : [833, 871]
425.0 :    4 : [802, 844, 846, 849]
425.1 :    7 : [812, 817, 819, 829, 839, 841, 855]
425.2 :    3 : [834, 835, 863]
425.3 :    3 : [809, 825, 842]
425.4 :    2 : [865, 876]
425.5 :    3 : [807, 822, 828]
425.6 :    7 : [811, 815, 816, 831, 870, 873, 875]
425.7 :    3 : [798, 821, 856]
425.8 :    3 : [820, 826, 862]
425.9 :    3 : [803, 827, 853]
426.0 :    2 : [806, 881]
426.1 :    5 : [790, 799, 838, 860, 879]
426.2 :    1 : [850]
426.3 :    1 : [866]
426.4 :    1 : [852]
426.5 :    1 : [794]
426.6 :    2 : [823, 867]
426.8 :    1 : [796]
426.9 :    2 : [797, 848]
427.0 :    4 : [791, 836, 864, 878]
427.1 :    1 : [877]
427.2 :    1 : [818]
427.3 :    1 : [851]
427.4 :    2 : [795, 871]
427.6 :    1 : [808]
427.7 :    2 : [842, 863]
427.9 :    3 : [813, 839, 841]
428.0 :    2 : [822, 854]
428.1 :    1 : [873]
428.2 :    2 : [798, 870]
428.3 :    1 : [856]
428.5 :    2 : [821, 833]
428.8 :    1 : [790]
428.9 :    2 : [827, 838]
429.2 :    1 : [799]
429.3 :    1 : [794]
429.4 :    4 : [823, 848, 867, 875]
429.5 :    1 : [877]
429.7 :    2 : [797, 836]
430.2 :    1 : [818]
430.5 :    1 : [862]
430.9 :    1 : [809]
431.0 :    1 : [796]
431.1 :    1 : [873]
431.2 :    1 : [852]
431.3 :    1 : [842]
431.5 :    4 : [790, 854, 863, 864]
431.6 :    3 : [798, 856, 878]
431.7 :    2 : [827, 871]
431.8 :    2 : [823, 848]
432.0 :    4 : [794, 799, 850, 870]
432.1 :    2 : [867, 877]
432.2 :    1 : [797]
432.4 :    1 : [795]
432.6 :    3 : [821, 836, 851]
432.7 :    1 : [833]
432.8 :    2 : [839, 875]
433.0 :    1 : [818]
436.8 :    1 : [790]
437.0 :    1 : [867]
439.3 :    1 : [797]
