Name: Striatum [D1], Title: Raster plot from device '20340', Hist: False
414.1 :    1 : [2315]
414.3 :    1 : [2326]
414.5 :    1 : [2332]
414.6 :    7 : [2287, 2294, 2296, 2298, 2305, 2334, 2337]
414.7 :    6 : [2265, 2286, 2297, 2304, 2320, 2349]
414.8 :    2 : [2310, 2331]
414.9 :    2 : [2275, 2341]
415.0 :    1 : [2318]
415.2 :    1 : [2284]
415.3 :   10 : [2264, 2271, 2285, 2323, 2329, 2330, 2335, 2339, 2348, 2356]
415.4 :    6 : [2262, 2267, 2272, 2289, 2319, 2322]
415.5 :    2 : [2259, 2263]
415.6 :    2 : [2288, 2312]
415.7 :    5 : [2293, 2306, 2311, 2325, 2346]
415.8 :    2 : [2269, 2336]
415.9 :    4 : [2278, 2299, 2338, 2357]
416.0 :    2 : [2273, 2281]
416.1 :   13 : [2266, 2279, 2283, 2302, 2303, 2316, 2327, 2328, 2340, 2345, 2347, 2351, 2355]
416.2 :    9 : [2268, 2274, 2292, 2307, 2317, 2321, 2324, 2342, 2353]
416.3 :    3 : [2291, 2343, 2358]
416.4 :    4 : [2261, 2301, 2308, 2333]
416.5 :    5 : [2270, 2277, 2314, 2315, 2344]
416.6 :    1 : [2280]
416.7 :    2 : [2309, 2326]
417.0 :    1 : [2300]
417.2 :    3 : [2296, 2313, 2332]
417.3 :    9 : [2286, 2287, 2294, 2297, 2305, 2320, 2334, 2337, 2349]
417.4 :    2 : [2298, 2304]
417.5 :    6 : [2260, 2265, 2282, 2290, 2310, 2331]
417.6 :    4 : [2275, 2276, 2295, 2341]
417.7 :    3 : [2271, 2318, 2356]
417.8 :    6 : [2264, 2284, 2285, 2329, 2330, 2339]
417.9 :    7 : [2272, 2322, 2323, 2335, 2348, 2352, 2354]
418.0 :    2 : [2259, 2289]
418.1 :    4 : [2262, 2267, 2288, 2319]
418.2 :    4 : [2263, 2269, 2293, 2312]
418.3 :    5 : [2306, 2311, 2325, 2346, 2350]
418.5 :    5 : [2278, 2299, 2336, 2338, 2357]
418.6 :    6 : [2279, 2281, 2315, 2328, 2340, 2347]
418.7 :   10 : [2266, 2273, 2283, 2292, 2316, 2321, 2327, 2345, 2353, 2358]
418.8 :   10 : [2268, 2274, 2302, 2303, 2307, 2317, 2324, 2326, 2342, 2355]
418.9 :    5 : [2261, 2291, 2333, 2343, 2351]
419.0 :    4 : [2270, 2277, 2301, 2308]
419.1 :    2 : [2314, 2344]
419.2 :    1 : [2309]
419.3 :    3 : [2280, 2296, 2332]
419.4 :    9 : [2286, 2287, 2294, 2297, 2305, 2320, 2334, 2337, 2349]
419.5 :    2 : [2298, 2304]
419.6 :    5 : [2265, 2300, 2310, 2313, 2331]
419.7 :    2 : [2275, 2341]
419.8 :    3 : [2271, 2318, 2356]
419.9 :    6 : [2264, 2284, 2285, 2329, 2330, 2339]
420.0 :    5 : [2272, 2322, 2323, 2335, 2348]
420.1 :    7 : [2259, 2260, 2276, 2282, 2289, 2290, 2295]
420.2 :    4 : [2262, 2267, 2288, 2319]
420.3 :    4 : [2263, 2269, 2293, 2312]
420.4 :    6 : [2306, 2311, 2325, 2346, 2352, 2354]
420.6 :    5 : [2278, 2299, 2336, 2338, 2357]
420.7 :    6 : [2279, 2281, 2315, 2328, 2340, 2347]
420.8 :   11 : [2266, 2273, 2283, 2292, 2316, 2321, 2327, 2345, 2350, 2353, 2358]
420.9 :   10 : [2268, 2274, 2302, 2303, 2307, 2317, 2324, 2326, 2342, 2355]
421.0 :    5 : [2261, 2291, 2333, 2343, 2351]
421.1 :    4 : [2270, 2277, 2301, 2308]
421.2 :    2 : [2314, 2344]
421.3 :    1 : [2309]
421.4 :    3 : [2280, 2296, 2332]
421.5 :    9 : [2286, 2287, 2294, 2297, 2305, 2320, 2334, 2337, 2349]
421.6 :    2 : [2298, 2304]
421.7 :    5 : [2265, 2300, 2310, 2313, 2331]
421.8 :    2 : [2275, 2341]
421.9 :    3 : [2271, 2318, 2356]
422.0 :    6 : [2264, 2284, 2285, 2329, 2330, 2339]
422.1 :    5 : [2272, 2322, 2323, 2335, 2348]
422.2 :    7 : [2259, 2260, 2276, 2282, 2289, 2290, 2295]
422.3 :    4 : [2262, 2267, 2288, 2319]
422.4 :    4 : [2263, 2269, 2293, 2312]
422.5 :    6 : [2306, 2311, 2325, 2346, 2352, 2354]
422.7 :    5 : [2278, 2299, 2336, 2338, 2357]
422.8 :    6 : [2279, 2281, 2315, 2328, 2340, 2347]
422.9 :   11 : [2266, 2273, 2283, 2292, 2316, 2321, 2327, 2345, 2350, 2353, 2358]
423.0 :   10 : [2268, 2274, 2302, 2303, 2307, 2317, 2324, 2326, 2342, 2355]
423.1 :    5 : [2261, 2291, 2333, 2343, 2351]
423.2 :    4 : [2270, 2277, 2301, 2308]
423.3 :    2 : [2314, 2344]
423.4 :    1 : [2309]
423.5 :    3 : [2280, 2296, 2332]
423.6 :    9 : [2286, 2287, 2294, 2297, 2305, 2320, 2334, 2337, 2349]
423.7 :    2 : [2298, 2304]
423.8 :    5 : [2265, 2300, 2310, 2313, 2331]
423.9 :    2 : [2275, 2341]
424.0 :    3 : [2271, 2318, 2356]
424.1 :    6 : [2264, 2284, 2285, 2329, 2330, 2339]
