Name: rpa [5HT], Title: Raster plot from device '20304', Hist: False
 29.5 :   10 : [171, 172, 173, 174, 175, 176, 177, 178, 179, 180]
 75.2 :    1 : [176]
 75.3 :    3 : [175, 179, 180]
 75.4 :    5 : [172, 173, 174, 177, 178]
 75.5 :    1 : [171]
 78.1 :    1 : [176]
 78.3 :    3 : [175, 179, 180]
 78.4 :    2 : [174, 177]
 78.5 :    3 : [172, 173, 178]
 78.6 :    1 : [171]
130.2 :    1 : [176]
130.3 :    5 : [172, 173, 175, 179, 180]
130.4 :    4 : [171, 174, 177, 178]
133.2 :    1 : [176]
133.3 :    2 : [179, 180]
133.4 :    3 : [172, 173, 175]
133.5 :    3 : [171, 174, 177]
133.6 :    1 : [178]
185.1 :    1 : [176]
185.2 :    4 : [173, 175, 179, 180]
185.3 :    4 : [172, 174, 177, 178]
185.4 :    1 : [171]
188.0 :    1 : [176]
188.2 :    4 : [173, 175, 179, 180]
188.3 :    2 : [174, 177]
188.4 :    2 : [172, 178]
188.5 :    1 : [171]
358.0 :    1 : [176]
358.1 :    2 : [175, 180]
358.2 :    6 : [171, 172, 173, 174, 178, 179]
358.3 :    1 : [177]
361.0 :    1 : [176]
361.1 :    1 : [180]
361.2 :    3 : [175, 178, 179]
361.3 :    4 : [171, 172, 173, 174]
361.4 :    1 : [177]
413.3 :    3 : [175, 176, 179]
413.4 :    6 : [172, 173, 174, 177, 178, 180]
413.5 :    1 : [171]
416.3 :    3 : [175, 176, 179]
416.4 :    2 : [174, 180]
416.5 :    4 : [172, 173, 177, 178]
416.6 :    1 : [171]
468.4 :    2 : [176, 179]
468.5 :    6 : [172, 173, 174, 175, 178, 180]
468.6 :    2 : [171, 177]
471.3 :    2 : [176, 179]
471.5 :    5 : [172, 173, 174, 175, 180]
471.6 :    1 : [178]
471.7 :    2 : [171, 177]
523.3 :    1 : [176]
523.4 :    6 : [172, 173, 175, 178, 179, 180]
523.5 :    3 : [171, 174, 177]
526.2 :    1 : [176]
526.4 :    5 : [172, 173, 175, 179, 180]
526.5 :    3 : [171, 174, 178]
526.6 :    1 : [177]
578.6 :    1 : [176]
578.7 :    5 : [172, 173, 175, 179, 180]
578.8 :    3 : [174, 177, 178]
578.9 :    1 : [171]
581.5 :    1 : [176]
581.6 :    2 : [179, 180]
581.7 :    3 : [172, 173, 175]
581.8 :    2 : [174, 177]
581.9 :    1 : [178]
582.0 :    1 : [171]
633.7 :    4 : [175, 176, 179, 180]
633.8 :    5 : [172, 173, 174, 177, 178]
633.9 :    1 : [171]
636.6 :    3 : [176, 179, 180]
636.7 :    1 : [175]
636.8 :    5 : [172, 173, 174, 177, 178]
636.9 :    1 : [171]
688.6 :    1 : [176]
688.7 :    3 : [175, 179, 180]
688.8 :    5 : [172, 173, 174, 177, 178]
688.9 :    1 : [171]
691.5 :    1 : [176]
691.6 :    2 : [179, 180]
691.7 :    2 : [174, 175]
691.8 :    4 : [172, 173, 177, 178]
691.9 :    1 : [171]
856.4 :    2 : [172, 176]
856.5 :    3 : [175, 179, 180]
856.6 :    1 : [178]
856.7 :    4 : [171, 173, 174, 177]
859.4 :    2 : [172, 176]
859.5 :    2 : [179, 180]
859.6 :    1 : [175]
859.7 :    1 : [178]
859.8 :    4 : [171, 173, 174, 177]
911.7 :    4 : [175, 176, 179, 180]
911.8 :    5 : [172, 173, 174, 177, 178]
911.9 :    1 : [171]
914.7 :    3 : [176, 179, 180]
914.8 :    2 : [174, 175]
914.9 :    4 : [172, 173, 177, 178]
915.0 :    1 : [171]
966.6 :    1 : [176]
966.7 :    4 : [173, 175, 179, 180]
966.8 :    5 : [171, 172, 174, 177, 178]
969.5 :    1 : [176]
969.7 :    4 : [173, 175, 179, 180]
969.8 :    2 : [171, 174]
969.9 :    3 : [172, 177, 178]
