Name: BNST[BNST_GABA], Title: Raster plot from device '3237', Hist: False
 21.6 :   12 : [295, 296, 297, 298, 299, 301, 302, 304, 306, 307, 308, 309]
 21.7 :    2 : [300, 305]
 21.8 :    1 : [303]
 24.1 :    6 : [296, 297, 298, 299, 302, 309]
 24.2 :    8 : [295, 300, 301, 304, 305, 306, 307, 308]
 24.3 :    1 : [303]
 26.4 :    2 : [296, 299]
 26.5 :    6 : [297, 298, 302, 306, 307, 309]
 26.6 :    6 : [295, 300, 301, 304, 305, 308]
 26.8 :    1 : [303]
 28.6 :    1 : [296]
 28.7 :    1 : [299]
 28.8 :    4 : [297, 298, 302, 309]
 28.9 :    2 : [306, 307]
 29.0 :    2 : [301, 308]
 29.1 :    4 : [295, 300, 304, 305]
 30.2 :    1 : [303]
 30.9 :    1 : [296]
 31.0 :    1 : [299]
 31.2 :    2 : [297, 309]
 31.3 :    2 : [298, 302]
 31.5 :    2 : [306, 307]
 31.8 :    2 : [301, 308]
 32.1 :    1 : [300]
 32.2 :    2 : [304, 305]
 32.3 :    1 : [295]
 33.3 :    1 : [296]
 33.5 :    1 : [299]
 33.9 :    1 : [297]
 34.0 :    1 : [309]
 34.3 :    1 : [298]
 34.4 :    1 : [302]
 34.5 :    1 : [303]
 35.1 :    2 : [306, 307]
 35.4 :    2 : [301, 308]
 35.9 :    1 : [300]
 36.0 :    2 : [304, 305]
 36.1 :    2 : [295, 296]
 36.8 :    1 : [299]
 37.8 :    1 : [297]
 37.9 :    1 : [309]
 38.1 :    1 : [306]
 38.6 :    1 : [298]
 39.0 :    1 : [302]
 40.4 :    1 : [307]
 41.5 :    2 : [296, 308]
 41.8 :    1 : [301]
 43.0 :    1 : [295]
 50.9 :    1 : [302]
 51.0 :    1 : [296]
 51.3 :    1 : [307]
 51.4 :    3 : [295, 301, 308]
 51.7 :    1 : [298]
 54.1 :    1 : [302]
 55.3 :    1 : [296]
 55.6 :    2 : [307, 308]
 55.7 :    2 : [295, 301]
 55.8 :    1 : [298]
 57.9 :    1 : [302]
 58.8 :    1 : [296]
 66.1 :    2 : [298, 307]
 66.2 :    3 : [295, 301, 308]
 66.4 :    2 : [296, 302]
 69.3 :    1 : [298]
 69.4 :    2 : [295, 308]
 69.5 :    2 : [301, 307]
 71.1 :    2 : [296, 302]
 81.4 :    1 : [296]
 81.5 :    2 : [302, 308]
 81.6 :    3 : [295, 298, 307]
 81.8 :    1 : [301]
 84.2 :    1 : [296]
 85.8 :    1 : [302]
 85.9 :    1 : [298]
 86.0 :    2 : [295, 308]
 86.2 :    2 : [301, 307]
 86.9 :    1 : [296]
 89.1 :    1 : [298]
 89.2 :    1 : [301]
 89.5 :    1 : [302]
 89.7 :    1 : [295]
 90.3 :    1 : [296]
 96.8 :    1 : [307]
 96.9 :    1 : [308]
 97.1 :    1 : [302]
 97.3 :    1 : [298]
 97.4 :    1 : [301]
 97.5 :    1 : [295]
 97.7 :    1 : [296]
 99.9 :    1 : [307]
100.6 :    1 : [308]
101.6 :    1 : [302]
101.8 :    1 : [298]
102.1 :    2 : [295, 301]
102.3 :    1 : [296]
105.3 :    1 : [308]
105.5 :    1 : [307]
112.2 :    1 : [302]
112.3 :    1 : [296]
112.5 :    1 : [298]
112.6 :    2 : [295, 301]
112.8 :    2 : [307, 308]
116.2 :    1 : [302]
116.4 :    1 : [296]
116.7 :    1 : [298]
116.9 :    2 : [295, 301]
117.1 :    1 : [307]
117.3 :    1 : [308]
120.0 :    1 : [296]
120.1 :    1 : [302]
122.4 :    1 : [298]
127.7 :    3 : [295, 301, 307]
127.8 :    3 : [296, 302, 308]
128.2 :    1 : [298]
132.1 :    1 : [308]
132.3 :    5 : [295, 296, 301, 302, 307]
132.7 :    1 : [298]
136.6 :    1 : [296]
136.7 :    1 : [308]
136.8 :    1 : [302]
137.1 :    1 : [307]
137.4 :    1 : [295]
143.0 :    1 : [301]
143.4 :    2 : [296, 298]
143.6 :    1 : [302]
143.8 :    1 : [295]
143.9 :    2 : [307, 308]
146.7 :    1 : [301]
147.0 :    1 : [296]
147.1 :    1 : [298]
148.5 :    1 : [302]
148.6 :    1 : [295]
148.8 :    1 : [308]
148.9 :    1 : [307]
151.3 :    1 : [301]
158.3 :    1 : [298]
158.4 :    1 : [296]
158.5 :    1 : [302]
158.7 :    2 : [307, 308]
158.8 :    1 : [295]
159.0 :    1 : [301]
161.3 :    1 : [298]
161.8 :    1 : [296]
162.9 :    1 : [302]
163.1 :    2 : [307, 308]
163.3 :    1 : [295]
163.5 :    1 : [301]
165.6 :    1 : [296]
165.7 :    1 : [298]
166.4 :    1 : [302]
167.3 :    1 : [308]
173.8 :    1 : [295]
173.9 :    2 : [296, 301]
174.1 :    2 : [298, 302]
174.5 :    1 : [307]
174.7 :    1 : [308]
176.8 :    1 : [296]
177.2 :    1 : [301]
177.8 :    1 : [295]
178.7 :    2 : [298, 302]
179.0 :    1 : [307]
179.3 :    1 : [308]
180.1 :    1 : [296]
189.1 :    2 : [295, 301]
189.2 :    3 : [296, 298, 302]
189.3 :    1 : [307]
189.8 :    1 : [308]
192.3 :    2 : [295, 301]
192.4 :    2 : [298, 302]
192.6 :    1 : [307]
192.9 :    1 : [296]
194.5 :    1 : [308]
196.4 :    2 : [298, 302]
196.5 :    1 : [295]
196.8 :    2 : [296, 301]
197.9 :    1 : [307]
204.7 :    1 : [308]
204.8 :    2 : [296, 302]
205.0 :    2 : [295, 298]
205.1 :    1 : [301]
205.2 :    1 : [307]
207.7 :    1 : [296]
207.9 :    1 : [302]
208.5 :    1 : [308]
209.6 :    2 : [295, 298]
209.7 :    1 : [301]
209.8 :    1 : [307]
213.1 :    1 : [308]
213.5 :    1 : [302]
213.9 :    1 : [296]
220.1 :    3 : [298, 301, 307]
220.2 :    1 : [295]
220.3 :    1 : [296]
220.4 :    1 : [302]
220.7 :    1 : [308]
224.4 :    1 : [298]
224.5 :    1 : [301]
224.6 :    1 : [307]
224.8 :    2 : [295, 296]
224.9 :    1 : [302]
225.2 :    1 : [308]
229.0 :    1 : [307]
229.2 :    1 : [296]
235.4 :    3 : [295, 298, 301]
235.5 :    1 : [308]
235.6 :    1 : [302]
235.8 :    1 : [296]
236.3 :    1 : [307]
238.6 :    1 : [298]
239.9 :    2 : [295, 301]
240.0 :    1 : [302]
240.1 :    1 : [308]
240.3 :    1 : [296]
240.9 :    1 : [307]
243.0 :    1 : [298]
243.8 :    1 : [295]
244.0 :    1 : [302]
244.5 :    1 : [308]
244.8 :    1 : [301]
250.9 :    1 : [296]
251.2 :    2 : [298, 302]
251.4 :    1 : [295]
251.5 :    2 : [301, 307]
251.6 :    1 : [308]
254.2 :    1 : [296]
255.6 :    2 : [298, 302]
255.8 :    1 : [307]
256.1 :    2 : [295, 301]
256.2 :    1 : [308]
258.2 :    1 : [296]
266.3 :    4 : [296, 298, 302, 307]
266.6 :    3 : [295, 301, 308]
269.6 :    1 : [296]
269.7 :    2 : [298, 307]
269.8 :    1 : [302]
271.0 :    2 : [295, 301]
271.1 :    1 : [308]
273.7 :    1 : [302]
273.8 :    1 : [296]
273.9 :    1 : [298]
274.3 :    1 : [307]
281.5 :    3 : [295, 301, 308]
281.7 :    1 : [296]
281.8 :    1 : [302]
281.9 :    1 : [298]
282.2 :    1 : [307]
284.5 :    1 : [308]
284.9 :    1 : [295]
285.1 :    1 : [301]
285.3 :    2 : [296, 302]
286.4 :    1 : [298]
286.9 :    1 : [307]
288.8 :    1 : [308]
289.5 :    2 : [295, 302]
296.7 :    1 : [296]
296.8 :    1 : [301]
296.9 :    1 : [298]
297.1 :    1 : [307]
297.3 :    1 : [302]
297.4 :    2 : [295, 308]
299.5 :    1 : [296]
300.0 :    1 : [301]
300.4 :    1 : [298]
301.5 :    1 : [307]
301.9 :    1 : [302]
302.1 :    2 : [295, 308]
302.3 :    1 : [296]
304.2 :    1 : [301]
305.2 :    1 : [298]
306.5 :    1 : [296]
312.3 :    2 : [302, 307]
312.4 :    1 : [295]
312.5 :    1 : [308]
312.6 :    1 : [301]
312.8 :    1 : [298]
313.0 :    1 : [296]
315.3 :    1 : [302]
315.4 :    1 : [307]
316.2 :    1 : [308]
316.7 :    1 : [295]
317.3 :    1 : [301]
317.4 :    1 : [298]
317.9 :    1 : [296]
319.7 :    1 : [307]
319.9 :    1 : [302]
327.8 :    2 : [296, 308]
327.9 :    3 : [295, 298, 301]
328.0 :    1 : [302]
328.3 :    1 : [307]
331.1 :    1 : [296]
332.1 :    1 : [298]
332.3 :    3 : [301, 302, 308]
332.4 :    1 : [295]
332.7 :    1 : [307]
335.0 :    1 : [296]
335.9 :    1 : [308]
336.0 :    1 : [298]
336.4 :    1 : [302]
336.9 :    1 : [301]
337.2 :    1 : [295]
343.2 :    1 : [296]
343.3 :    1 : [307]
343.6 :    2 : [298, 302]
343.7 :    1 : [308]
343.8 :    1 : [295]
343.9 :    1 : [301]
346.5 :    1 : [296]
348.0 :    1 : [307]
348.1 :    1 : [295]
348.3 :    1 : [302]
348.4 :    2 : [298, 308]
349.1 :    1 : [301]
352.0 :    1 : [296]
358.5 :    1 : [307]
358.6 :    1 : [302]
358.7 :    1 : [308]
358.8 :    2 : [295, 298]
358.9 :    1 : [296]
359.0 :    1 : [301]
362.2 :    1 : [307]
362.3 :    1 : [302]
362.6 :    1 : [296]
363.1 :    2 : [295, 298]
363.2 :    1 : [308]
363.3 :    1 : [301]
366.1 :    1 : [307]
366.5 :    1 : [302]
373.7 :    1 : [296]
373.8 :    1 : [298]
374.0 :    2 : [295, 308]
374.1 :    2 : [301, 302]
374.4 :    1 : [307]
376.3 :    1 : [296]
377.2 :    1 : [298]
378.4 :    1 : [301]
378.5 :    1 : [295]
378.6 :    1 : [302]
378.7 :    1 : [308]
378.9 :    1 : [307]
379.1 :    1 : [296]
381.3 :    1 : [298]
382.3 :    1 : [296]
382.4 :    1 : [308]
382.6 :    1 : [295]
382.7 :    1 : [302]
389.2 :    1 : [301]
389.6 :    1 : [298]
389.8 :    1 : [302]
389.9 :    2 : [295, 296]
390.0 :    1 : [308]
390.1 :    1 : [307]
392.5 :    1 : [301]
394.3 :    1 : [298]
394.4 :    1 : [307]
394.5 :    1 : [302]
394.6 :    3 : [295, 296, 308]
404.5 :    2 : [296, 301]
404.6 :    1 : [298]
404.7 :    2 : [302, 307]
404.8 :    1 : [295]
405.0 :    1 : [308]
407.7 :    1 : [296]
407.8 :    1 : [301]
408.0 :    1 : [298]
409.1 :    1 : [302]
409.2 :    2 : [295, 307]
409.4 :    1 : [308]
411.2 :    1 : [296]
411.8 :    1 : [301]
411.9 :    1 : [298]
412.5 :    1 : [302]
413.1 :    1 : [307]
420.1 :    1 : [296]
420.2 :    1 : [308]
420.4 :    4 : [295, 298, 301, 302]
420.7 :    1 : [307]
423.4 :    1 : [296]
423.8 :    1 : [308]
425.1 :    3 : [298, 301, 302]
425.2 :    1 : [295]
425.5 :    1 : [307]
428.6 :    1 : [296]
430.3 :    1 : [295]
435.2 :    1 : [308]
435.4 :    1 : [302]
435.6 :    1 : [301]
435.7 :    1 : [307]
435.8 :    2 : [296, 298]
436.3 :    1 : [295]
439.8 :    2 : [302, 308]
439.9 :    1 : [298]
440.1 :    2 : [296, 307]
440.2 :    1 : [301]
441.7 :    1 : [295]
444.2 :    1 : [302]
444.4 :    1 : [308]
444.9 :    1 : [298]
450.7 :    1 : [296]
450.9 :    1 : [301]
451.1 :    2 : [295, 302]
451.2 :    1 : [307]
451.4 :    2 : [298, 308]
453.3 :    1 : [296]
455.5 :    1 : [302]
455.6 :    1 : [295]
455.7 :    1 : [301]
455.8 :    2 : [307, 308]
455.9 :    1 : [298]
456.0 :    1 : [296]
459.2 :    1 : [296]
465.9 :    1 : [301]
466.1 :    2 : [302, 307]
466.2 :    1 : [298]
466.3 :    1 : [308]
466.4 :    1 : [295]
466.8 :    1 : [296]
469.2 :    1 : [298]
